Grasp120
Date:,2025/05/06
Time:,14:06:50
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,933.555176,723.516296,34.822590,1162.421875,882.774231,256.792511,1200.202515,825.874634,438.332214,850.571533,788.340820,33.457485,983.908630,800.504089,67.235504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,933.696960,723.727112,34.431404,1162.457642,882.759033,256.814972,1200.216431,825.847351,438.356140,850.613342,788.354248,33.382225,983.908630,800.504089,67.235504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,933.608459,723.846680,34.411850,1162.434692,882.778015,256.786011,1200.212891,825.749695,438.345978,850.629639,788.355652,33.359573,983.913086,800.577637,67.207199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,933.650513,723.689148,34.479576,1162.447998,882.700867,256.801086,1200.154785,825.648071,438.275726,850.624695,788.354309,33.367790,983.898682,800.615723,67.112869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,933.577209,723.504822,34.659946,1162.428711,882.661621,256.768341,1200.053955,825.633606,438.331787,850.531189,788.363281,33.355492,983.816528,800.539063,67.136139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,933.556946,723.367188,34.884087,1162.358521,882.611267,256.804657,1200.034668,825.543823,438.330994,850.535339,788.355774,33.438473,983.805786,800.600891,67.231812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,933.495972,723.589600,34.658119,1162.294434,882.612793,256.758118,1199.840576,825.487549,438.256653,850.520142,788.377686,33.400681,983.754639,800.584595,67.324486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,933.521606,723.714905,34.513306,1162.254028,882.469666,256.655731,1199.894775,825.438721,438.350494,850.539978,788.382996,33.352066,983.739563,800.594177,67.246140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,933.515137,723.737122,34.499725,1162.173706,882.409851,256.686401,1200.093628,825.285095,438.241150,850.483032,788.475159,33.396564,983.744934,800.621033,67.260513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,933.524780,723.709534,34.536716,1162.117188,882.358154,256.746124,1199.776245,825.241760,438.309052,850.435120,788.500000,33.471867,983.667725,800.604980,67.287231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
