Grasp24
Date:,2025/04/16
Time:,10:44:16
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,912.144775,783.113525,39.369713,952.015564,864.478149,76.449295,1106.851318,946.768616,245.932999,1180.268188,918.684631,377.461761,824.108704,843.392456,36.196587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,912.224670,783.007202,39.388824,952.015259,864.543213,76.256836,1106.511597,946.878235,246.101959,1179.833374,918.784973,377.088501,824.108704,843.392456,36.196587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,912.389587,782.845764,39.411518,952.130493,864.707153,76.065582,1106.524414,946.723145,246.121948,1179.875000,918.574524,377.495392,824.128174,843.411194,36.155952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,912.322083,782.968811,39.399246,952.031372,864.602966,76.140137,1106.562256,946.510315,246.398056,1179.790405,918.428040,377.681427,824.124146,843.398376,36.174561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,912.221802,783.015076,39.384205,952.036072,864.466431,76.395554,1106.380371,946.524109,246.177536,1179.846436,918.393738,377.705780,824.130493,843.410461,36.154209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,912.550415,782.549377,39.486942,952.046997,865.154175,75.485199,1106.386963,946.464539,246.155533,1179.801270,918.296753,377.738007,824.120300,843.397156,36.179760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,912.652344,782.488037,39.501419,952.218933,865.391541,75.083000,1106.392944,946.455872,246.177597,1179.742798,918.201477,377.790741,824.108032,843.391296,36.198456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,912.427368,782.776001,39.422344,952.232117,864.764954,75.888458,1106.278442,946.422058,246.617065,1179.815063,918.077576,378.061035,824.117126,843.405762,36.162476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,912.421143,782.375427,39.672138,952.138184,865.115845,75.560654,1106.282227,946.331360,246.770264,1179.531616,918.072632,378.105042,824.131897,843.411316,36.139328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,912.632629,782.354065,39.681011,952.158813,865.295593,75.293907,1106.208374,946.330444,246.795334,1179.654297,917.914795,378.120026,824.136658,843.411194,36.135120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,912.719604,782.384216,39.577663,952.198181,865.308838,75.282646,1106.167236,946.328186,246.894409,1179.507568,917.836731,378.443115,824.134216,843.410278,36.138912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,912.761169,782.425842,39.555061,952.220215,865.272583,75.342545,1106.042358,946.366516,246.913895,1179.509521,917.765686,378.292755,824.146606,843.485596,36.101677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,912.757568,782.431885,39.564285,952.096924,865.265137,75.409210,1106.019531,946.412903,246.939774,1179.589233,917.492371,378.376251,824.097473,843.523865,36.081635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,912.692566,782.399719,39.530228,951.943298,865.253052,75.656761,1106.089111,946.532776,247.003311,1179.502686,917.350891,378.441742,824.034546,843.535217,36.114922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,912.556030,782.422180,39.457859,951.746033,865.351563,75.836273,1106.182495,946.838135,247.183334,1179.457520,917.239502,378.449615,823.921997,843.636169,36.118427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,912.370972,782.289368,39.705902,951.572388,865.378723,76.050606,1106.481445,947.234680,247.269409,1179.220947,917.140991,378.340240,823.134216,844.127747,36.209141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,912.311829,782.277405,39.597466,951.473816,865.392212,76.348625,1106.715820,947.789551,247.410751,1178.874512,917.085205,378.065948,823.388184,843.882690,36.258152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,912.334778,782.334900,39.509182,951.158569,865.641174,76.452759,1106.951904,948.287537,247.503845,1178.779907,916.959534,377.812683,823.470154,843.921936,36.114998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,912.248779,782.235352,39.544544,951.101990,865.410278,77.864273,1107.196899,948.862305,247.729126,1178.754028,916.673584,377.694031,823.039673,844.275879,36.757801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,912.216248,782.090332,39.655060,950.983521,865.246521,78.770439,1108.010254,949.222656,247.798264,1178.624756,916.539673,377.465302,822.632507,844.398315,36.473488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,912.160095,781.944641,39.727230,950.532715,865.151917,79.255669,1109.014526,949.859680,247.867126,1178.562622,916.366760,377.297180,822.539246,844.462280,36.139362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,911.909119,781.847839,40.084278,950.137634,865.007690,80.037560,1111.025269,950.216309,247.754303,1178.532837,916.165710,377.118439,822.328491,844.716614,35.984409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,911.749207,781.269409,41.547768,949.501587,864.704956,81.094444,1112.241943,950.707458,247.558273,1178.477173,916.068359,376.810699,821.946899,844.782837,36.197136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,911.637207,780.543518,43.672016,948.626160,864.609619,82.588013,1112.069702,951.432007,247.772095,1178.267700,916.096558,376.565674,821.356873,844.994263,36.795284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,912.044922,779.444336,46.015392,948.218445,864.293640,83.723091,1112.220947,951.536377,248.002304,1178.053345,916.133789,376.261719,820.760132,845.405762,38.016098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,911.993652,778.247070,48.218475,947.955872,863.611206,85.628654,1112.702393,951.756165,248.134537,1177.912720,916.147644,376.015808,820.135742,845.795837,39.801144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,911.603149,777.146240,51.322369,947.651123,862.859192,87.445618,1113.445923,952.247620,247.947449,1177.847900,916.247498,375.742065,819.154907,846.096375,42.231972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,911.214783,776.189087,54.070564,947.061401,862.004944,88.949776,1114.288330,952.396240,247.652740,1177.910767,916.389893,375.596222,818.169006,846.052734,45.709061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,910.370300,775.053162,56.855476,946.805786,860.321838,91.511360,1115.024780,952.420288,247.478806,1177.845825,916.489014,375.356628,817.468018,845.490723,49.946964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,909.457336,773.434753,60.360600,946.555542,859.280823,93.601654,1115.628662,952.314941,247.458252,1177.880737,916.607910,375.118896,816.408081,844.785767,54.508766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,908.930298,771.844604,63.605499,946.521057,858.383545,95.482941,1116.235718,951.859863,247.635971,1177.898193,916.728638,375.061523,815.659607,843.715759,57.998375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,908.392761,769.755371,66.450493,946.353943,857.224182,96.771362,1116.711060,951.472534,247.670471,1177.987915,916.827087,374.923615,814.444153,842.785461,61.834091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,908.692444,767.787598,69.371017,946.205383,855.100830,99.417557,1117.233643,951.067993,247.529510,1178.126343,916.820557,374.846008,814.527283,841.418396,65.357010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
