Grasp117
Date:,2025/04/26
Time:,15:57:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,1137.106934,753.296997,328.547699,1188.115112,832.386353,202.406937,859.039246,800.214111,64.892113,928.434570,714.924683,44.092522,,,,992.189270,785.135437,79.266663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1136.776978,753.245361,328.116608,1187.390015,832.139587,201.787186,857.942566,799.331177,66.867409,926.828552,713.306885,47.134399,,,,991.048096,784.050476,79.901070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1136.526245,753.159607,327.869873,1186.577759,831.896118,201.252609,856.824524,798.864319,68.949776,925.341919,712.075928,49.107166,,,,989.941956,783.103516,80.988419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1136.266846,753.014465,327.609711,1186.053589,831.598999,200.656540,855.925659,798.357605,71.133621,924.059814,710.426941,51.221767,,,,988.649719,781.860291,82.001961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1135.863647,752.903442,327.198151,1185.395752,831.114075,200.036896,854.450073,797.524170,73.374039,922.049622,709.182739,53.491943,,,,987.108765,780.231628,83.368523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1135.419434,752.777405,326.689148,1184.613159,830.633179,199.413025,852.812988,796.470154,76.676071,920.385498,707.503479,56.323158,,,,986.043152,779.156189,84.207085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1134.849609,752.631592,326.144928,1183.746704,830.320557,198.360870,851.736694,795.501770,79.014465,918.611511,705.757690,58.577370,,,,984.834534,777.760071,84.976822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1134.368652,752.428345,325.753967,1183.222046,830.072876,197.532028,850.383728,794.551880,81.424667,917.214661,703.859924,60.752037,,,,983.492432,776.011658,86.223740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1133.920288,752.206604,325.353912,1182.610229,829.624817,196.870468,848.749084,793.630920,84.228172,915.542664,701.806580,62.607162,,,,982.009766,774.691101,87.531204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1133.415405,752.049438,324.899139,1181.354126,829.169617,195.837341,847.413513,792.412415,86.889259,914.075073,699.919128,64.998512,,,,980.370361,772.840088,88.403404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1132.822876,751.896790,324.175171,1180.222900,828.698181,194.928284,846.211487,791.002075,89.169670,912.393799,697.969177,67.242897,,,,978.913330,771.601685,89.337524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1132.351196,751.628601,323.355865,1179.260498,828.048401,194.033417,844.473816,789.336243,91.808838,910.757935,695.901794,69.509193,,,,977.058105,769.693970,90.526634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1131.579102,751.496887,322.895966,1178.008789,827.422607,192.887039,843.053589,787.678101,93.975838,909.063904,693.704529,71.213829,,,,975.425842,767.765747,91.704811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1130.959351,751.388611,322.502411,1176.847656,826.903015,191.929764,841.638794,785.897644,96.142700,907.660461,691.435059,73.438454,,,,973.716064,766.046875,92.677406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
