Grasp117
Date:,2025/04/30
Time:,17:42:05
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,1144.457886,773.691467,493.732361,881.000610,681.860352,33.749660,1104.697144,813.354553,277.884521,954.233459,742.368103,68.838669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1144.585083,773.669617,493.518768,,,,1104.956909,813.649475,277.934570,954.172546,742.358154,68.975815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1144.614624,773.696106,493.479156,,,,1105.256714,813.835510,278.157013,954.140442,742.454590,69.075760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1144.668579,773.719482,493.385742,,,,1105.670410,814.055542,278.367493,954.121094,742.480225,69.267532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1144.676758,773.814270,493.307251,,,,1106.003296,814.392517,278.468597,953.862793,742.614441,69.888557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1144.738159,773.837341,493.218597,,,,1106.298706,814.730103,278.454437,953.486816,742.783508,70.413780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1144.717651,773.853943,493.120911,,,,1106.865601,814.984131,278.556610,953.129272,742.851013,70.847237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1144.716675,773.918518,493.000977,,,,1107.575684,815.216248,278.326569,953.074768,743.037598,71.163345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1144.744141,773.935913,492.975525,,,,1108.609741,815.436279,278.161957,953.026489,743.324280,71.497337,881.978149,679.598206,36.615707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1144.954102,774.030823,492.863037,,,,1109.493530,815.652405,277.895264,952.668030,743.507813,72.555153,882.206726,679.782288,36.969921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1144.977905,774.039978,492.766602,,,,1110.246582,816.034058,277.898346,952.224731,743.802979,73.966759,882.254089,680.106445,37.355442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1145.205200,774.149780,492.630035,,,,1111.059448,816.470642,278.075775,951.775330,744.222961,74.888527,882.254700,680.320923,37.784832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1145.297363,774.266724,492.455322,,,,1111.990234,816.686401,278.150848,951.526672,744.672424,75.610275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
