Grasp121
Date:,2025/04/24
Time:,14:05:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,900.148743,900.759033,433.609955,798.135925,462.978302,35.335869,895.905518,553.504883,82.306488,888.253784,467.975677,32.568783,879.457642,803.783569,232.149612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,900.183411,901.705566,433.379456,799.754333,462.289917,38.716530,896.379333,553.000610,84.963318,890.010620,468.322266,32.928463,879.638245,805.728027,231.930756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,900.064941,902.704651,433.878876,800.886353,461.005341,42.508621,896.992310,552.658875,88.339394,892.022705,468.938049,32.705208,879.714355,807.439758,231.532684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,899.895203,903.665283,434.268066,802.623840,459.086609,47.085251,898.182434,551.919739,92.321976,894.355286,469.337952,33.441097,880.338928,809.282349,231.603806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,899.966797,904.448425,434.314850,804.498535,457.843262,51.218407,899.809021,550.992676,96.245094,896.964478,469.914459,34.366524,880.580017,811.055664,231.746262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,900.336182,905.260010,434.379120,806.585205,456.065491,55.956978,900.989929,550.823730,99.887413,899.706238,470.313141,35.294678,880.722839,813.275879,231.777878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,900.705750,906.399841,434.388062,809.918396,454.393890,60.475361,902.558472,550.522095,104.326622,902.960083,470.496033,37.238060,881.046265,815.611450,231.835236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,901.220703,907.453674,434.124054,813.152710,452.830872,64.822884,904.372009,550.183167,108.197754,906.011597,470.913055,39.805229,881.669861,817.340637,231.746841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,901.768860,908.325378,434.265045,815.935303,451.011108,70.268860,905.998108,550.507080,112.900803,907.973572,472.450958,41.488140,882.024719,819.747986,231.313095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,902.033630,909.351990,434.746216,819.389282,449.757507,75.228790,908.181702,550.346069,118.219971,911.283997,472.610107,46.110321,882.396729,821.891968,231.277344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
