Grasp124
Date:,2025/04/24
Time:,16:10:01
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,708.157959,467.605804,27.428022,919.752563,685.021667,259.606110,841.977051,499.231293,59.964626,798.085144,414.664124,27.918949,1003.751282,778.299500,423.283051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,708.365356,467.675385,27.399641,919.725586,685.016663,259.488464,842.042358,499.233795,59.906425,798.078613,414.666534,27.971397,1003.784058,778.288147,423.264740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,708.390198,467.691284,27.396158,919.692627,685.045410,259.511230,842.055054,499.236786,59.892525,798.061768,414.588226,28.006987,1003.739502,778.275146,423.284668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,708.371460,467.678864,27.395639,919.674500,685.035461,259.479370,842.047668,499.235748,59.899986,798.042114,414.541321,28.004980,1003.903442,778.239685,423.149475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,708.203796,467.614807,27.454390,919.687500,685.049255,259.464020,842.078003,499.219482,59.894398,798.069153,414.640442,27.985382,1003.793579,778.268250,423.228790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,708.123291,467.614929,27.506233,919.603760,685.140381,259.507904,842.052307,499.231323,59.900417,798.137512,414.600952,27.765333,1003.900574,778.243774,423.151642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,708.166138,467.583984,27.443056,919.658875,685.081482,259.482544,842.034790,499.215179,59.912598,798.137268,414.637268,27.839617,1003.786865,778.181824,423.220825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,708.225525,467.593903,27.405460,919.578064,685.103577,259.418610,842.052979,499.218719,59.871189,798.116028,414.637695,27.894245,1003.860779,778.123657,423.146271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,708.221558,467.594910,27.455700,919.574463,685.042786,259.468597,842.107910,499.226593,59.856899,798.095764,414.554016,27.929750,1003.743408,778.145264,423.239777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,708.203491,467.598755,27.428814,919.609009,685.038086,259.467255,842.078796,499.227570,59.847301,798.112305,414.475952,27.906952,1003.847290,778.130127,423.158325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
