Grasp61
Date:,2025/04/22
Time:,16:05:10
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47,,,*48,,,*49,,,*50,,,*51,,,*52,,,*53,,,*54,,,*55,,,*56,,,*57,,,*58,,,*59,,,*60,,,*61,,,*62,,,*63,,,*64
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
140,1056.648560,833.465088,288.641327,899.583191,740.147400,108.069016,,,,1109.776855,886.489075,489.369080,,,,873.977417,642.858276,109.461876,762.363464,709.414307,103.038963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1056.145752,832.795776,288.639099,899.018494,739.344116,108.088493,,,,1109.325684,886.029541,489.374420,,,,873.656128,641.845154,109.206734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1055.458252,832.019592,288.614838,898.362854,738.721008,108.151474,,,,1108.431030,885.954468,489.397827,,,,873.416748,640.975098,108.879387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1054.873901,831.324829,288.660431,897.949280,737.841553,107.965042,,,,1108.033569,885.667236,489.231842,,,,873.070251,640.121948,108.659096,,,,761.422241,706.856384,103.417519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1054.450806,830.758972,288.543671,897.562439,737.091125,108.023026,,,,1107.842896,885.422913,489.022705,,,,872.288147,639.560364,108.358894,,,,761.043152,706.164185,103.649803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1054.305420,830.415771,288.107697,897.960815,736.194641,107.742966,,,,1107.148438,885.506836,488.878479,,,,871.721924,638.999451,108.850525,,,,760.852844,705.753784,103.919594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1054.163330,830.018494,287.716919,898.173462,735.584595,107.434387,,,,1106.525757,885.289612,488.729919,,,,871.356873,638.241882,108.760582,,,,760.726440,705.409363,104.125626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1054.100830,829.214783,287.273743,897.434570,735.506165,107.754448,,,,1105.922852,885.011169,488.567627,,,,871.108948,637.524780,108.892609,,,,760.384521,705.087769,104.271767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1054.075195,828.538757,287.086914,896.807373,735.005188,107.943077,,,,1105.669800,884.726563,488.219086,,,,870.098572,637.026978,108.702583,,,,760.057312,704.690186,104.390236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1053.870972,827.969604,287.029297,896.680359,734.505920,107.788651,,,,1105.209595,884.367004,488.006744,,,,868.339905,637.127686,108.398277,,,,759.776794,704.297607,104.394379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1053.415771,827.506897,286.994476,896.963928,733.775879,107.524979,,,,1104.817627,884.085999,487.875458,,,,867.025940,637.055969,108.371330,,,,759.680908,703.813354,104.358444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1053.059814,826.982666,287.146118,896.498291,733.662476,107.374481,,,,1104.425659,883.830200,487.709900,,,,866.445129,636.754211,108.388962,,,,759.646118,703.349792,104.260391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1052.750977,826.562805,287.154694,895.882874,733.221497,107.416786,,,,1104.221924,883.572876,487.592010,,,,865.784851,636.566467,108.153648,,,,759.552490,702.926514,104.246529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1052.523804,826.301025,287.133850,895.628601,732.835693,107.491707,,,,1103.983032,883.360413,487.386322,,,,864.842712,636.155457,107.797134,,,,759.646545,702.607544,104.079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1052.378174,826.013672,287.011108,895.245300,732.540527,107.443230,,,,1103.837036,883.003845,487.241577,,,,864.268738,636.055786,106.573860,,,,759.484131,702.195618,103.373352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1052.241943,825.695435,286.874939,895.105530,732.237000,107.254143,,,,1103.551025,882.738586,487.115936,,,,862.993164,635.554321,105.911942,,,,759.418701,701.901978,102.982491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1052.159058,825.377075,286.787140,895.001160,732.053040,107.097038,,,,1103.213867,882.544983,487.160828,,,,862.520569,634.398315,105.821747,,,,759.279785,701.728455,102.768898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1051.958374,824.992798,286.579987,894.874512,731.828430,107.044449,,,,1102.909912,882.375732,487.148071,,,,860.946777,635.116516,104.763229,,,,759.213257,701.654419,102.559052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1051.814819,824.619568,286.371216,894.703064,731.696289,107.015465,,,,1102.531250,882.188782,487.154541,,,,859.516846,635.487793,104.037918,,,,759.412231,701.422180,102.380028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1051.669189,824.299561,286.189575,894.669128,731.560364,106.894485,,,,1102.177002,882.060852,487.079926,,,,858.325500,635.380554,103.276489,,,,759.573486,701.229736,102.117828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1051.489624,823.990417,286.117401,894.609314,731.389038,106.698395,,,,1101.935791,881.841431,487.084198,,,,857.045532,635.057007,102.526329,,,,759.903931,700.865662,101.885910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1051.350708,823.678955,286.035248,894.653015,731.289673,106.538132,,,,1101.655884,881.673340,487.006775,,,,856.267639,634.730835,102.024406,,,,760.432617,700.340820,101.498405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1050.901978,823.452759,285.891754,894.465820,731.259705,106.385361,,,,1101.296753,881.502747,486.851959,,,,855.040039,635.246948,101.548553,,,,760.864441,699.875549,101.170303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1050.772827,823.204468,285.842316,894.468262,731.188599,106.339897,,,,1101.077026,881.295837,486.660339,,,,853.817871,635.370667,100.470543,,,,761.002991,699.567688,100.824615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1050.515137,823.042847,285.715820,894.557007,731.056091,106.151360,,,,1101.062622,881.086243,486.521698,,,,852.917786,635.337891,99.736572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1050.173096,822.917847,285.631317,894.678833,730.930847,105.895370,,,,1101.128296,880.668396,486.504272,,,,851.975525,635.206970,98.964539,,,,,,,762.145142,698.636047,100.005783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1049.689209,822.864990,285.479309,894.732605,730.870178,105.881630,,,,1101.017212,880.496826,486.381836,,,,851.220703,635.101196,98.542686,,,,,,,762.354553,698.422058,100.330429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1049.262939,822.728271,285.482666,894.638489,730.863342,105.648514,,,,1100.934692,880.417542,486.288574,,,,850.263550,635.413818,98.624664,,,,,,,762.587769,698.231689,100.393082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1049.155640,822.610962,285.454651,894.666626,730.790344,105.445671,,,,1101.123291,880.146606,485.919464,,,,849.792664,635.474609,97.974724,,,,,,,762.780823,698.000916,100.181480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1048.909668,822.403198,285.466125,894.764343,730.708984,105.290413,,,,1101.282471,879.962463,485.652100,,,,848.919006,636.112427,96.841209,,,,,,,763.205933,697.659607,99.801132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1048.934814,822.190857,285.214722,894.815979,730.616333,105.113373,,,,1101.153198,879.787476,485.583923,,,,847.647339,636.534607,95.627625,,,,,,,763.650940,697.155396,99.390793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1048.819092,822.086670,285.103546,894.731323,730.615845,105.018456,,,,1100.787598,879.691528,485.664795,,,,847.157593,636.526306,95.018433,,,,,,,764.137512,696.833557,99.202019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1048.703003,821.940369,285.074463,894.595154,730.557617,104.995895,,,,1100.645752,879.566772,485.702087,,,,847.221375,635.697021,95.317993,,,,,,,764.213745,696.643921,99.250275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1048.651001,821.815186,285.005646,894.589600,730.505554,104.832314,,,,1099.995117,879.595581,486.007996,,,,846.920410,635.525818,95.468346,,,,,,,764.487549,696.507019,99.065323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1048.565552,821.724243,284.976349,894.642944,730.495239,104.755371,,,,1099.937500,879.253906,485.866302,,,,846.625427,635.847473,95.310120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1048.439941,821.617371,284.942078,894.653809,730.591064,104.736145,,,,1099.815796,879.120850,485.731567,,,,846.053406,636.933899,94.465187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1048.408936,821.515442,284.888214,894.818481,730.558960,104.663979,,,,1099.544678,878.935486,485.728210,,,,845.239014,638.670410,93.333618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1048.381104,821.435852,284.837433,894.854431,730.464905,104.644379,,,,1099.424805,878.766479,485.778290,,,,844.611633,639.867676,92.537735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1048.353394,821.319946,284.812103,894.784363,730.462646,104.673164,,,,1099.188721,878.675720,485.797363,,,,844.137024,640.295776,92.058472,,,,,,,,,,765.607666,695.791260,98.232513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1048.243896,821.321167,284.722565,894.804626,730.427124,104.667953,,,,1098.992676,878.528625,485.758789,,,,843.770752,640.328918,91.934868,,,,,,,,,,765.789978,695.699585,98.096024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1048.193726,821.310547,284.713165,894.713745,730.390747,104.631554,,,,1098.893921,878.427856,485.740509,,,,843.003967,640.659973,91.494896,,,,,,,,,,765.901245,695.702637,98.038368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1048.124878,821.314880,284.662933,894.721497,730.350159,104.637215,,,,1098.727051,878.334290,485.745239,,,,842.401245,641.337097,91.110649,,,,,,,,,,765.983276,695.508911,98.109337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1048.172607,821.229614,284.597992,894.671143,730.359436,104.655586,,,,1098.674927,878.239929,485.755188,,,,842.009521,641.816162,90.932381,,,,,,,,,,766.078491,695.383057,98.082085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1048.091064,821.214050,284.560303,894.680237,730.323425,104.695267,,,,1098.556396,878.146057,485.721344,,,,841.910706,641.998108,90.837990,,,,,,,,,,766.196777,695.266785,98.055588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1048.039917,821.214661,284.523529,894.579834,730.271179,104.719131,,,,1098.525269,878.134155,485.724030,,,,841.773499,641.887024,90.850998,,,,,,,,,,766.286438,695.135010,98.067162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1047.974609,821.114502,284.535614,894.526672,730.266052,104.793190,,,,1098.195435,878.125000,485.793915,,,,841.692139,641.830078,90.954666,,,,,,,,,,766.358582,695.113220,98.015007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1047.980835,821.133789,284.400909,894.470703,730.260620,104.878845,,,,1098.178955,877.986389,485.707214,,,,841.576233,641.769470,91.233711,,,,,,,,,,766.359924,695.028015,98.056030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1047.985962,821.159546,284.334045,894.427551,730.243896,104.888924,,,,1098.172241,877.951782,485.679871,,,,841.922302,641.555603,91.799416,,,,,,,,,,766.210266,694.940613,98.196404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1047.967163,821.155579,284.340363,894.617920,730.220947,104.849297,,,,1098.241455,877.896912,485.652802,,,,842.140381,640.934204,91.962997,,,,,,,,,,766.164856,694.851990,98.280853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1047.954712,821.089233,284.292419,894.593872,730.141235,105.211380,,,,1098.131226,877.788513,485.622742,,,,842.269470,640.548645,92.379494,,,,,,,,,,766.221069,694.719177,98.323296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1047.919800,821.283020,284.004395,894.289063,730.111511,105.184082,,,,1097.936523,877.829346,485.573792,,,,842.798889,639.424866,92.716835,,,,,,,,,,766.245544,694.607300,98.311546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
