Grasp116
Date:,2025/04/28
Time:,14:02:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,944.534302,829.396118,68.568367,1188.929199,824.737061,471.096405,809.528687,840.029053,35.602203,1104.814941,888.287903,270.265045,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,944.147278,829.164795,68.963051,1188.935303,824.766663,471.130615,809.467773,840.026672,35.582432,1104.766602,888.308594,270.049408,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,944.324707,829.284363,68.868721,1188.993774,824.769592,471.068359,809.479858,840.027832,35.584076,1104.829102,888.370056,270.079498,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,944.226990,829.207947,68.892052,1188.994751,824.734558,471.045380,809.520996,839.992920,35.628864,1104.906616,888.367249,270.169983,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,944.426270,829.340210,68.681694,1189.038086,824.730896,470.981476,809.467834,840.023010,35.587738,1104.865112,888.370300,270.130798,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,944.560547,829.411682,68.538498,1189.012207,824.768921,470.934967,809.439514,840.011414,35.647038,1104.898804,888.363403,270.167267,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,944.615601,829.405884,68.567711,1189.002563,824.773804,470.931244,809.467163,840.018677,35.654442,1104.908325,888.405640,270.186737,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,944.528503,829.380310,68.602921,1188.996582,824.777100,470.915741,809.503357,840.030823,35.686085,1104.910156,888.470703,270.192810,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,944.528137,829.373413,68.612297,1189.081177,824.751282,470.880615,809.548279,840.020874,35.669983,1104.973267,888.472412,270.133392,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,944.565002,829.377625,68.630478,1189.076172,824.739990,470.876099,809.535339,840.026794,35.607319,1105.012451,888.474670,270.121826,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,944.557068,829.380188,68.600082,1189.088745,824.747925,470.879395,809.503357,840.030273,35.568203,1105.014648,888.474731,270.126099,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,944.182983,829.161743,68.603455,1189.091797,824.749634,470.880798,809.554077,840.020996,35.636253,1105.010742,888.474792,270.127991,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,944.136353,829.107422,68.914444,1189.084229,824.783630,470.851379,809.561157,840.017639,35.661121,1104.979736,888.559631,270.083771,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,944.131653,829.119446,69.041847,1189.123535,824.763245,470.806427,809.538635,840.098145,35.619850,1104.991211,888.598633,270.101471,,,,,,,,,,,,,,,,,,,,,,,,,,,
