Grasp126
Date:,2025/04/23
Time:,11:18:29
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
23,743.138611,503.122131,30.576908,871.638794,528.165100,77.016258,824.845337,459.008972,31.027596,1064.792358,813.456665,491.035950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,742.568909,503.436890,30.859341,870.655273,527.791992,78.622253,824.655579,458.983521,31.084448,1065.765869,814.050049,491.227814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,742.456055,503.970642,31.231686,869.857666,527.400818,80.940781,824.399841,459.005219,31.371719,1066.827515,814.469421,491.601135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,742.262024,504.346313,31.393936,868.509216,526.370544,83.690109,824.398804,458.968506,31.628345,1067.973022,815.070862,492.221802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,742.268860,504.844330,31.586611,868.120789,525.779175,86.789383,824.430054,459.028625,31.923666,1069.362427,815.792969,492.630707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,742.198792,505.636993,31.869314,867.045410,525.440796,89.535210,824.940857,459.004669,31.692579,1070.396118,816.397644,492.802521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,742.112671,506.266846,32.455429,866.478760,525.333069,91.852943,825.122375,459.072357,32.417809,1071.414917,816.825012,493.472321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,742.356689,506.717072,33.647198,865.636536,525.131226,95.122749,825.589722,459.043701,33.183548,1072.707397,817.341492,494.441040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,742.093262,507.190002,35.690613,864.235168,524.515076,98.813850,826.152649,458.947723,33.961769,1073.684692,818.128357,494.880951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,741.839111,506.880402,38.035896,863.773865,524.166138,102.466698,826.956970,458.557678,35.175026,1074.911865,818.663330,495.919800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
