Grasp126
Date:,2025/05/06
Time:,14:07:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,815.015381,456.077118,29.518150,935.272888,516.139587,66.620155,896.155273,433.157684,30.677683,,,,,,,1097.059937,753.980896,401.530060,,,,,,,,,,,,,,,,,,,,,,,,
33,814.883362,456.104889,29.635069,934.907288,516.109314,67.337868,896.061401,433.145508,30.721558,,,,,,,1097.289917,754.149048,401.702637,,,,,,,,,,,,,,,,,,,,,,,,
34,814.804504,456.135437,29.721346,934.424805,516.067139,68.126732,895.770081,433.235809,30.628826,,,,,,,1097.530396,754.345886,401.893066,,,,,,,,,,,,,,,,,,,,,,,,
35,814.721069,456.233185,29.783175,934.151306,516.143616,68.768936,895.690979,433.305511,30.823151,,,,,,,1097.934692,754.461121,402.034485,,,,,,,,,,,,,,,,,,,,,,,,
36,814.568420,456.288544,29.883812,933.476379,516.030640,70.378670,895.107605,433.486725,31.343281,,,,,,,1098.650024,754.654175,402.326477,,,,,,,,,,,,,,,,,,,,,,,,
37,814.433289,456.392670,30.235773,932.988708,516.024109,71.938026,894.873230,433.520630,31.748425,,,,,,,1099.412354,754.927185,402.154449,,,,,,,,,,,,,,,,,,,,,,,,
38,814.531250,456.606171,30.192614,932.398743,516.337158,73.370407,895.055237,433.434692,31.976822,,,,,,,1100.052856,755.168701,402.145691,,,,,,,,,,,,,,,,,,,,,,,,
39,814.638611,456.738770,30.260220,931.984497,516.566833,74.304016,895.337280,433.401489,32.562778,,,,,,,1100.412964,755.458069,402.314911,,,,,,,,,,,,,,,,,,,,,,,,
40,814.484436,456.953430,31.088640,931.843506,516.706238,75.738136,895.525635,433.423279,34.098251,,,,,,,1100.612793,755.685486,402.664459,,,,,,,,,,,,,,,,,,,,,,,,
41,814.115662,457.210510,32.378792,931.210388,517.070129,77.810242,895.310242,433.380432,36.247372,,,,,,,1100.713501,756.101318,402.952576,,,,,,,,,,,,,,,,,,,,,,,,
42,813.711121,457.591919,33.556103,930.842651,517.431335,79.739159,895.084045,433.289459,38.482132,,,,,,,1100.799316,756.537292,403.207520,,,,,,,,,,,,,,,,,,,,,,,,
43,813.250854,458.006592,36.034874,930.223145,517.674866,82.085274,895.033997,433.418365,41.632401,,,,,,,1100.951050,756.976685,403.432007,,,,,,,,,,,,,,,,,,,,,,,,
44,812.976868,458.562531,38.494007,929.619324,518.299866,84.161942,894.514954,433.197418,44.612335,,,,,,,1101.334229,757.459290,403.574829,,,,,,,,,,,,,,,,,,,,,,,,
45,812.379089,459.185608,41.625607,929.510742,519.124146,86.496315,894.131226,433.223999,48.204029,,,,,,,1101.757202,757.953918,403.896667,,,,,,,,,,,,,,,,,,,,,,,,
46,811.413574,459.598419,46.184860,929.308411,519.511169,89.031288,893.295532,433.468170,52.136074,,,,,,,1102.513794,758.374878,404.260742,,,,,,,,,,,,,,,,,,,,,,,,
47,810.428772,460.067719,50.650040,929.595276,519.951660,91.819527,892.803650,433.241577,55.984005,,,,,,,1102.866333,759.000916,404.995209,,,,,,,,,,,,,,,,,,,,,,,,
48,809.686523,460.467651,55.693840,929.644287,520.438660,94.774315,892.436035,433.515167,60.005211,,,,,,,1102.939453,760.069702,405.520203,,,,,,,,,,,,,,,,,,,,,,,,
49,809.073608,461.277283,60.053886,929.404297,521.115417,97.467567,891.976807,433.850037,63.960960,,,,,,,1103.656006,760.780701,406.207428,,,,,,,,,,,,,,,,,,,,,,,,
50,808.484192,461.723480,64.440582,929.180298,521.634338,101.094734,891.604797,434.234161,68.097679,,,,,,,1104.548340,761.496277,406.141632,,,,,,,,,,,,,,,,,,,,,,,,
51,808.062134,462.026581,69.375099,929.184509,522.328064,104.250603,891.108093,434.625031,72.536469,,,,,,,1105.622803,762.142090,406.565033,,,,,,,,,,,,,,,,,,,,,,,,
52,807.756897,462.471191,74.157593,928.798401,523.057617,107.855377,890.605286,435.034424,76.829102,,,,,,,1106.642700,763.021912,407.082214,,,,,,,,,,,,,,,,,,,,,,,,
53,807.315796,462.908539,79.110542,928.859558,524.285034,110.681709,890.299316,435.537476,81.130920,,,,,,,1107.440063,763.999329,407.774323,,,,,,,,,,,,,,,,,,,,,,,,
54,806.669922,463.022339,85.336525,928.537598,525.323547,114.193802,890.062683,435.863678,85.067085,,,,,,,1108.234619,764.921265,408.264130,,,,,,,,,,,,,,,,,,,,,,,,
55,806.010925,463.107574,91.332275,928.414124,525.841064,118.201546,889.963196,436.364441,88.818611,,,,,,,1109.313232,765.570007,408.356750,1055.061890,750.861267,223.042709,,,,,,,,,,,,,,,,,,,,,
56,805.794739,463.503662,96.863846,928.247314,526.486816,122.042191,889.991821,436.994324,92.649078,,,,,,,1110.551636,766.353333,408.892670,1055.652466,753.073792,223.194580,,,,,,,,,,,,,,,,,,,,,
57,805.716675,463.726959,102.482323,927.940979,527.585144,125.888199,889.865173,437.596039,96.604492,,,,,,,1111.565796,767.265869,409.694763,1056.070068,754.749634,223.716904,,,,,,,,,,,,,,,,,,,,,
58,805.630615,463.928070,107.842079,927.775208,528.895935,129.435043,889.577271,438.449402,100.690811,,,,,,,1112.398926,768.200745,410.458038,1056.450928,756.492920,224.677032,,,,,,,,,,,,,,,,,,,,,
59,805.503052,464.281219,113.405418,927.295410,529.923401,133.215286,889.210083,439.335571,104.732681,,,,,,,1113.383301,768.934692,410.475006,1057.051758,758.090820,225.948975,,,,,,,,,,,,,,,,,,,,,
60,805.337891,464.809998,118.708794,927.030518,531.450256,136.636444,888.764160,440.195587,108.215492,,,,,,,1114.447998,769.738647,411.269958,1057.640625,759.952881,226.356247,,,,,,,,,,,,,,,,,,,,,
61,805.203857,465.543915,123.670952,926.448547,532.734558,140.502319,888.412903,441.311127,111.788277,,,,,,,1115.327759,770.632202,412.082672,,,,,,,,,,,,,,,,,,,,,,,,
62,804.843323,466.498596,128.527283,926.146729,534.018616,143.973251,887.675720,442.495087,114.888283,,,,,,,1116.170654,771.524902,412.836670,,,,,,,,,,,,,,,,,,,,,,,,
63,804.246582,467.568909,133.647110,925.639404,535.274719,147.628128,886.762512,444.484558,118.147972,,,,,,,1117.013672,772.259888,413.267212,,,,,,,,,,,,,,,,,,,,,,,,
64,803.766602,468.837646,138.969177,924.919189,537.144226,151.286804,885.591187,445.777313,121.899498,,,,,,,1118.274658,772.697937,413.830627,,,,,,,,,,,,,,,,,,,,,,,,
65,803.016296,470.364380,143.775818,924.389404,538.375671,154.830658,884.257080,446.992279,124.889511,,,,,,,1119.002930,773.569153,414.585419,,,,1059.167725,768.776794,230.300644,,,,,,,,,,,,,,,,,,
66,801.849731,471.767090,148.598755,923.852051,540.108337,157.952133,882.960510,449.092682,127.922852,,,,,,,1120.023071,774.458679,414.988861,,,,1059.222900,770.201843,231.110321,,,,,,,,,,,,,,,,,,
67,801.113770,473.623688,153.104492,922.979736,541.731323,161.368164,881.741455,450.622528,131.142441,,,,,,,1121.095947,775.167358,415.390106,,,,,,,,,,,,,,,,,,,,,,,,
68,800.214294,475.370941,157.399841,922.291870,543.533020,164.324615,879.881226,452.299164,134.245682,,,,,,,1122.234375,775.953796,416.175659,,,,,,,,,,,,,,,,,,,,,,,,
69,799.031616,477.441254,161.241409,921.534607,545.341125,167.267075,878.128418,454.276917,137.092621,,,,,,,1122.348877,777.364563,417.228790,,,,,,,,,,,,,,,,,,,,,,,,
70,797.848022,479.463531,165.376129,920.406921,547.182068,170.273682,876.211060,456.541321,139.800873,,,,,,,1122.754761,778.293457,418.056732,,,,,,,1059.873291,776.982666,234.645493,,,,,,,,,,,,,,,
71,796.835876,482.024628,168.527924,919.480835,549.107239,172.662796,874.240601,458.881195,142.306473,,,,,,,1123.528076,778.770264,418.820953,,,,,,,1059.880371,778.541138,235.669373,,,,,,,,,,,,,,,
72,795.339050,484.104797,171.589981,918.086243,550.932861,175.945053,872.145630,461.101593,144.738266,,,,,,,1124.076782,779.344910,419.774384,,,,,,,1059.885498,780.231995,236.713226,,,,,,,,,,,,,,,
73,794.140869,486.803711,174.518372,916.909668,552.657776,178.636612,869.826233,463.366882,147.210083,,,,,,,1124.622681,779.949768,420.488190,,,,,,,1059.832520,781.485535,237.621948,,,,,,,,,,,,,,,
74,792.392273,489.388245,178.049057,915.724915,554.599304,180.698853,867.502686,465.879761,149.436111,,,,,,,1125.121460,780.626709,420.954102,,,,,,,,,,,,,,,,,,,,,,,,
75,790.462097,491.834076,181.121063,914.558533,556.928040,182.622360,865.226929,468.709229,151.359070,,,,,,,1125.903687,781.386414,421.217560,,,,,,,,,,1060.509277,784.604492,238.585037,,,,,,,,,,,,
76,789.019409,494.585785,183.596588,912.578430,558.493469,185.784058,862.934021,471.468903,152.973877,,,,,,,1126.550415,781.792053,421.829254,,,,,,,,,,1060.294312,786.174683,239.549866,,,,,,,,,,,,
77,786.962463,497.529602,186.139374,911.236572,560.536743,187.226456,860.405029,474.001953,154.999146,,,,,,,1127.193970,782.207520,422.622467,,,,,,,,,,1060.167114,787.708191,240.533737,,,,,,,,,,,,
78,785.050659,500.294861,187.735443,909.810730,563.115540,189.265549,857.737000,476.553223,156.193405,,,,,,,1127.297119,782.661255,423.680206,,,,,,,,,,1060.109009,788.848145,241.564560,,,,,,,,,,,,
79,783.274475,503.531830,189.057129,908.545349,565.264954,190.406647,855.209290,479.424530,157.707489,,,,,,,1127.384033,783.181213,424.388824,,,,,,,,,,,,,,,,,,,,,,,,
80,781.340027,506.770233,190.171280,906.908569,567.771179,192.155334,852.659851,482.673584,158.879272,,,,,,,1127.621094,783.615906,424.917084,,,,,,,,,,,,,,,,,,,,,,,,
81,779.127258,509.800751,191.382751,905.247070,569.713806,193.895966,849.923645,485.399597,159.270569,,,,,,,1127.878418,783.983398,425.385651,,,,,,,,,,,,,1059.430420,792.734009,244.624161,,,,,,,,,
82,776.901672,512.906738,192.105301,903.507935,571.756897,195.399918,847.394287,488.440643,160.347458,,,,,,,1128.187500,784.367615,425.928497,,,,,,,,,,,,,1058.715942,794.386475,246.158066,,,,,,,,,
83,774.602295,516.063538,193.104477,901.749878,573.672424,196.871735,844.620361,491.239624,160.850754,,,,,,,1128.524536,784.750000,426.517639,,,,,,,,,,,,,1058.462402,795.718872,246.950287,,,,,,,,,
84,772.308228,519.467285,193.786407,899.508728,575.860474,198.304108,842.752563,494.819824,160.221985,,,,,,,1128.777344,785.123718,427.029419,,,,,,,,,,,,,,,,,,,,,,,,
85,770.248962,522.966431,193.377045,897.924011,578.343445,199.159042,839.619873,497.886292,161.203781,,,,,,,1129.054932,785.491272,427.530640,,,,,,,,,,,,,,,,,,,,,,,,
86,768.125916,526.491943,193.255508,896.332153,580.791809,200.021027,837.703552,500.743591,161.016449,,,,,,,1129.324463,785.800110,427.865570,,,,,,,,,,,,,,,,1058.945557,799.096313,249.172791,,,,,,
87,765.701294,529.846497,193.601822,894.680542,582.929810,200.354691,834.662109,503.791718,161.817993,,,,,,,1129.567627,786.121277,428.332092,,,,,,,,,,,,,,,,1058.786743,800.319214,249.966324,,,,,,
88,763.535706,533.218506,193.252594,892.958130,585.172546,201.796906,832.434265,506.511658,162.147385,,,,,,,1129.576416,786.507263,428.785858,,,,,,,,,,,,,,,,1058.715210,801.612305,250.791580,,,,,,
89,761.268250,536.253113,193.123917,891.194702,587.100769,202.697205,830.208618,509.172119,161.974304,,,,,,,1129.812744,786.830139,429.348846,,,,,,,,,,,,,,,,1058.470215,802.756470,251.656143,,,,,,
90,759.043457,539.713806,192.579468,889.218811,589.324341,202.948120,828.371887,512.156433,161.939362,,,,,,,1130.015625,786.971924,430.124634,,,,,,,,,,,,,,,,,,,,,,,,
91,757.128479,543.465271,191.419250,887.628723,592.093384,203.020325,826.144836,515.272522,161.632553,,,,,,,1130.262573,787.182678,430.724762,,,,,,,,,,,,,,,,,,,,,,,,
