Grasp30
Date:,2025/04/16
Time:,10:56:10
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,746.476135,458.561707,31.415169,879.379395,503.154999,60.459370,958.011719,699.030823,255.841751,841.754517,418.550018,31.163286,1001.400818,730.061584,433.406891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,746.490417,458.568817,31.405249,879.363037,503.233490,60.337254,958.098816,698.963196,255.837128,841.770203,418.590363,31.156208,1001.452393,730.048035,433.382324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,746.501160,458.537445,31.479416,879.426758,503.182434,60.404507,958.143127,698.875183,255.854172,841.714844,418.642914,31.132956,1001.420410,730.059753,433.394073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,746.473022,458.553101,31.435797,879.105835,503.045715,60.587658,958.048767,698.995544,255.830978,841.693970,418.547241,31.148777,1001.440735,730.049866,433.389404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,746.480469,458.510834,31.461807,878.994690,503.003571,60.793701,958.115784,698.981262,255.868759,841.980835,418.200714,31.521364,1001.466309,730.042664,433.377136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,746.461304,458.540497,31.506584,879.252319,503.175995,60.480263,958.116699,698.958435,255.839645,841.779114,418.429962,31.236719,1001.558044,730.025085,433.401184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,746.497314,458.539825,31.499321,879.357117,503.212769,60.395512,958.053101,698.994080,255.912109,841.737122,418.569702,31.098326,1001.579468,730.023254,433.398865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,746.441833,458.534027,31.412683,879.052246,503.088135,60.498238,957.985168,698.927063,255.908890,841.719421,418.652527,31.046854,1001.673950,730.026611,433.389496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,746.432617,458.535339,31.394745,879.271118,503.154144,60.496822,957.979736,698.893005,255.966537,841.761292,418.681519,31.112137,1001.865234,729.936401,433.232422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,746.519348,458.545990,31.463760,879.351563,503.177246,60.412899,958.108643,698.836975,255.955383,841.716736,418.655579,31.132469,1001.923279,729.928406,433.195435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,746.492615,458.543701,31.393061,879.315186,503.201965,60.240299,957.984863,698.886169,255.932373,841.935730,418.243744,31.507877,1001.751343,730.022095,433.329712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
