Grasp118
Date:,2025/04/23
Time:,14:05:55
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,890.421143,709.019775,93.219505,947.826050,795.226563,98.602562,812.979614,792.719116,100.798447,1191.939819,870.987549,399.933990,1157.320435,908.228394,242.164642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,890.366333,705.822632,95.102821,946.561646,793.596375,99.159706,810.744324,790.431396,102.792511,1191.414429,870.756714,399.568146,1156.092407,907.928650,241.876785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,889.675598,703.819275,96.434967,944.953125,791.897705,100.325897,809.359863,787.210022,103.981873,1190.845825,870.566589,399.106293,1154.680054,907.301880,241.852295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,889.447693,701.116455,97.540642,943.172485,790.122681,101.496376,807.977539,784.379578,104.629059,1190.127441,870.457397,398.648560,1153.057617,906.697876,241.233185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,888.945068,698.373840,98.771706,940.773987,788.368286,102.441071,806.799133,781.423035,105.789009,1189.464111,870.265747,398.044281,1151.755859,906.242493,240.453705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,887.774353,696.291504,99.405190,939.183716,786.809570,102.839729,805.243469,778.203857,106.961426,1188.779541,870.108887,397.390869,1150.275513,905.455383,240.209305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,886.715637,694.038025,100.427162,937.030029,784.747253,103.980698,803.554321,775.023682,107.871384,1188.093018,869.952942,396.665802,1148.156006,904.926147,239.975052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,885.486084,691.481689,101.696770,935.515381,782.590576,104.800827,801.658447,772.195496,109.345062,1187.352905,869.974243,396.135254,1146.554077,904.331726,239.578323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,884.872498,688.743164,102.426567,933.398621,780.410767,105.723602,799.494141,769.634338,110.551773,1186.539795,869.781433,395.779083,1145.096191,903.509033,239.116974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,883.707947,685.958130,103.654938,932.012756,778.641113,106.283066,797.939392,766.742188,111.479248,1185.247437,869.494873,395.120270,1143.347778,902.934448,237.841553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,882.834045,683.355957,104.368462,930.220886,776.679260,107.243027,795.898987,764.067627,112.671959,1184.157959,869.314697,394.725098,1141.447144,902.149536,237.710510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,881.942932,680.933594,105.195328,928.538208,774.786865,107.829041,794.251099,761.317017,113.306816,1183.226807,869.095764,394.477295,1139.655640,901.318298,237.443619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,880.775269,678.550415,105.930061,926.867920,772.632751,108.216064,792.586304,759.012024,114.599457,1182.144653,868.880432,393.977051,1138.010986,900.642700,236.754898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,879.776062,676.298645,106.923935,925.324341,770.371338,108.670662,790.833679,756.029846,115.775284,1180.758545,868.655518,393.182678,1136.464600,899.704041,236.360825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,878.240906,674.105286,107.403458,923.667847,768.649597,109.045792,789.119751,753.724854,116.494530,1179.653320,868.445313,392.654968,1134.903809,898.599304,235.720154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,877.069275,671.903992,108.325554,921.876648,766.813904,109.751137,787.876648,751.307983,117.175308,1178.926636,868.169373,392.201996,1132.846924,897.645386,235.370041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,875.737610,669.703674,109.435059,919.906311,764.810059,110.974472,785.924255,748.963684,117.831993,1177.937622,867.946899,391.600067,1131.307861,896.914429,235.059540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,874.119141,667.801208,109.874847,917.472717,763.052063,111.708282,784.139954,746.710327,118.619545,1176.724365,867.743164,391.177124,1129.256226,895.735413,234.222504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,872.781128,666.050964,110.114342,915.464844,761.451172,111.873253,782.396301,744.560974,118.773399,1175.406372,867.490295,390.905609,1127.596069,894.687134,233.563187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,871.260742,663.650146,110.689819,913.649048,759.494568,112.345955,780.894165,742.743286,118.960434,1174.261963,867.221802,390.758453,1126.368286,893.764465,233.059265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,869.449341,661.363831,111.310928,912.558044,757.829346,112.369949,779.395935,740.674011,119.490288,1172.901611,867.014221,390.127747,1124.441406,893.033508,232.351776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,868.101563,659.773621,110.503151,910.378235,756.179932,112.423988,777.862854,738.604126,119.844742,1171.541748,866.729736,389.418243,1122.711548,891.581848,232.080673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,867.186462,657.479980,110.695641,908.951843,754.204163,112.513222,776.186401,736.838318,120.150887,1170.621460,866.411499,388.819000,1121.083862,890.128174,231.706543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,865.888367,655.316467,110.163513,907.383606,752.330566,112.403442,774.740173,734.367859,120.297989,1169.606689,866.150757,388.400208,1119.765869,889.151611,230.733078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
