Grasp125
Date:,2025/04/23
Time:,14:06:36
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,926.492859,511.077332,67.522217,870.714172,438.765869,30.998415,794.346558,506.140289,31.348948,1076.670898,807.216736,395.322876,1013.802429,736.506714,254.786926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,926.453369,511.098938,67.529594,870.782043,438.749939,30.981121,794.437561,506.107117,31.239679,1076.797974,807.162598,395.228760,1013.887024,736.480652,254.770874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,926.379578,511.028198,67.641251,870.780090,438.759308,30.943365,794.401306,506.107880,31.225943,1077.047241,807.169312,395.166016,1013.823120,736.572815,254.717880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,926.314941,511.027588,67.701187,870.749023,438.804199,31.002094,794.318665,506.037384,31.213676,1077.216309,807.159912,395.156738,1013.896301,736.685974,254.693466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,926.302490,511.053741,67.659134,870.704163,438.772858,31.001574,793.983459,506.035675,31.078991,1077.398071,807.182617,395.029419,1013.959717,736.885315,254.641083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,926.294189,510.788818,68.266533,870.664246,438.778595,31.002577,793.880432,505.969330,30.859760,1077.564209,807.100769,395.022186,1014.003662,737.017578,254.694168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,926.117432,510.906952,67.947144,870.638062,438.796204,30.933233,794.133240,505.917877,31.034058,1077.779541,807.089539,395.008423,1013.957825,737.238708,254.740784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,925.947449,510.793732,68.247849,870.539307,438.852600,30.915668,794.388245,505.957397,31.208567,1077.962646,807.192932,394.944183,1013.997070,737.475769,254.702469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,925.719238,510.701508,68.409523,870.458496,438.875305,30.784710,794.271973,505.918427,31.257917,1078.092041,807.231506,394.925995,1014.044678,737.734619,254.673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,925.614807,510.669556,68.435600,870.338745,438.849976,30.778234,794.124451,505.879669,31.286409,1078.200562,807.212952,395.039124,1014.042847,737.995483,254.754105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,925.538086,510.683533,68.850784,870.198181,438.937622,30.774559,793.950745,505.890533,31.212156,1078.372559,807.306763,395.080902,1014.010376,738.382690,254.737747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,925.306030,510.599854,69.369225,870.158569,438.881348,30.558910,793.845642,505.899780,31.234043,1078.504150,807.450317,395.252716,1013.796814,738.832642,254.816330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,924.954468,510.475616,69.945229,869.991821,438.901031,30.465614,793.684387,505.803650,31.281656,,,,1013.862488,739.513977,254.433792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,924.401917,510.228668,70.768753,869.839478,438.900177,30.390133,793.527710,505.755524,31.275650,,,,1014.307068,740.383240,254.176819,1078.760986,807.682068,395.557983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,923.837341,509.729553,71.624222,869.650574,438.779510,30.420769,793.423950,505.735992,31.221977,,,,1014.350647,741.090210,254.149612,1079.303711,807.735596,395.370911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,923.267761,509.357635,72.582153,869.487793,438.709351,30.435583,793.243164,505.729004,31.205946,,,,1014.295410,741.699890,254.420319,1079.978760,807.741638,395.293762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,922.951782,508.948334,73.785797,869.370483,438.684631,30.500010,793.064392,505.639709,31.147945,,,,1014.315063,742.306335,254.188919,1081.031494,807.900330,395.576172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,922.324341,508.454742,74.956741,869.175476,438.560364,30.707472,792.840759,505.609344,31.109148,,,,1014.405273,743.006165,253.964066,1081.695313,808.092163,395.504211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,921.850891,508.293884,75.920929,869.018066,438.339203,30.895563,792.594666,505.517761,31.143837,,,,1014.366333,743.873352,253.937851,1082.364746,808.273682,395.314056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,921.209473,507.868500,77.293068,868.817566,438.121429,30.875498,792.424500,505.521606,31.194752,,,,1014.358826,744.667175,254.076141,1082.847656,808.631836,395.059143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,920.509766,507.373779,78.972313,868.742004,437.734161,31.025963,792.285767,505.358978,31.227859,,,,1014.567383,745.295288,254.344376,1083.243408,808.858215,395.100433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,919.813965,507.087402,80.754433,868.885254,436.993103,30.990793,791.922974,505.050903,31.429363,,,,1014.687073,745.848267,254.369980,1083.522461,809.175537,395.105804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,918.912048,506.934052,82.283730,869.149353,436.159729,31.601320,791.629578,504.418243,31.597458,,,,1014.855164,746.200989,254.377060,1083.827881,809.398987,395.144440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,918.086548,506.793304,83.745842,869.358948,434.966980,32.395077,791.385132,503.669891,31.529202,,,,1014.895386,746.693115,254.377167,1084.103027,809.760010,395.124451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,917.254944,506.216858,85.430794,869.463684,433.724731,33.301453,790.951050,502.791077,32.171032,,,,1015.003662,747.461731,254.437439,1084.515503,810.146179,395.079803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,916.360291,505.689819,88.043533,869.433899,432.573273,34.596527,790.372986,502.083679,33.402756,,,,1015.193359,748.252686,254.622253,1084.601440,810.669556,395.245605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,915.428406,505.112305,90.580177,868.993896,431.703766,36.670181,789.992249,501.570496,34.816124,,,,1015.545227,749.042786,254.761185,1084.934204,811.089539,395.327454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
