Grasp126
Date:,2025/04/23
Time:,16:09:25
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
26,805.743713,478.900085,29.106205,868.828491,548.587769,65.466133,734.917236,527.687317,29.511900,1127.583496,719.362000,371.516663,,,,1097.361206,713.861877,217.300507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,806.160461,479.259674,28.979515,868.919800,549.156189,65.684273,735.448730,527.725464,29.415674,1127.912354,719.433899,371.495972,,,,1097.832886,714.085938,217.391037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,806.502991,479.683014,28.939840,869.096680,549.710327,65.687126,735.848083,527.900146,29.264956,1128.085083,719.537781,371.384796,,,,1098.373657,714.194397,217.298996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,806.984863,480.065308,28.828970,869.287659,550.364502,65.632362,736.132874,528.047668,29.390770,1128.288818,719.637512,371.440704,,,,1098.984009,714.452148,216.948547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,807.489441,480.350922,28.508717,869.434387,551.086731,65.642715,736.347717,528.354736,29.194378,1128.528198,719.732239,371.423767,,,,1099.389771,714.589661,216.732925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,807.963623,480.606995,28.389444,869.671326,551.611267,65.406189,736.760376,528.362671,29.514936,1128.716553,719.801086,371.419861,,,,1099.600708,714.935242,216.913391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,808.402954,480.905487,28.712938,870.012695,552.015625,65.426971,737.092285,528.487488,29.596451,1128.750732,719.928223,371.385681,,,,1099.634644,715.219299,217.106339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,808.756836,481.056122,28.758057,869.956421,552.079773,65.522438,737.383789,528.594360,29.564224,1128.831177,720.074524,371.434021,,,,1099.785645,715.581360,217.223633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,809.125610,481.198181,28.728298,870.289673,552.350220,65.574257,737.623596,528.524536,29.526279,1128.943359,720.157471,371.507141,,,,1099.971436,715.834534,217.358536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,809.407043,481.365570,28.941343,870.580322,552.535217,65.618111,737.942993,528.420410,29.431175,1128.974121,720.287781,371.626251,,,,1099.916260,716.201355,217.532166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
