Grasp119
Date:,2025/05/06
Time:,14:06:47
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,848.398987,808.515991,74.946594,983.341370,794.795288,81.383141,925.271545,718.332642,45.229256,1179.251465,871.194580,252.164215,1206.952271,814.656433,434.277405,,,,,,,,,,,,,,,,,,,,,
2,847.705383,808.530457,77.581131,982.655090,794.296936,81.970451,924.371216,717.256348,46.785076,1179.217407,871.018127,252.061218,1206.635620,814.613403,434.129456,,,,,,,,,,,,,,,,,,,,,
3,847.227600,808.490601,79.546005,981.791199,793.368469,83.123436,923.663208,716.272705,48.202209,1179.160522,870.872864,251.835815,1206.394653,814.622314,434.017670,,,,,,,,,,,,,,,,,,,,,
4,846.726013,808.398926,80.918472,980.982971,792.378113,84.220306,922.806702,715.298767,50.031845,1179.058716,870.714966,251.691895,1206.116089,814.655457,433.868622,,,,,,,,,,,,,,,,,,,,,
5,845.777527,807.845520,83.119797,980.139526,791.776978,85.231476,921.901001,713.966492,52.653458,1178.750244,870.542419,251.306747,1205.821899,814.650635,433.731323,,,,,,,,,,,,,,,,,,,,,
6,844.559021,807.443665,84.676559,978.983276,791.086853,86.253593,920.701233,712.748352,54.377403,1178.501831,870.298828,251.001678,1205.507568,814.686096,433.550171,,,,,,,,,,,,,,,,,,,,,
7,843.673462,807.191956,86.009781,977.837646,790.109558,87.530411,920.253967,711.189392,56.288105,1178.318359,869.972412,250.801788,1205.015015,814.687378,433.237518,,,,,,,,,,,,,,,,,,,,,
8,842.994934,806.492432,87.512215,976.841675,788.841003,88.687622,919.400452,709.726135,57.883728,1177.979248,869.604065,250.561447,1204.564087,814.693970,432.892151,,,,,,,,,,,,,,,,,,,,,
9,841.958984,805.836792,88.948692,975.625427,787.756287,89.967026,918.498474,708.734680,59.241421,1177.367432,869.157593,250.214966,1204.116211,814.680420,432.595764,,,,,,,,,,,,,,,,,,,,,
10,840.465088,805.216919,90.463875,974.415222,786.812683,91.405304,917.067505,707.129395,62.423042,1176.828857,868.802490,249.838058,1203.787842,814.642883,432.407623,,,,,,,,,,,,,,,,,,,,,
11,839.784363,804.443481,91.822586,973.666016,785.551331,92.393875,916.009399,705.349670,64.411118,1176.348877,868.414001,249.550232,1203.557495,814.560669,432.298889,,,,,,,,,,,,,,,,,,,,,
12,838.946106,803.190247,93.514069,972.526367,784.074890,93.615791,914.843018,703.864441,66.702721,1175.962158,868.117432,249.243073,1203.252197,814.573242,432.151337,,,,,,,,,,,,,,,,,,,,,
13,837.450867,801.968628,95.030754,971.271240,782.937500,94.564568,913.837463,702.273682,68.748032,1175.536499,867.775085,248.942184,1202.864990,814.431396,431.957458,,,,,,,,,,,,,,,,,,,,,
14,836.627014,800.772827,96.256996,970.536438,781.765930,95.574265,913.342834,700.313110,70.860420,1175.111816,867.240234,248.370880,1202.447876,814.298889,431.765350,,,,,,,,,,,,,,,,,,,,,
15,835.540771,799.485046,98.420197,969.544617,780.284058,96.586464,912.018555,698.658813,73.580551,1174.516724,866.695740,247.787216,1201.993652,814.183777,431.504364,,,,,,,,,,,,,,,,,,,,,
16,834.043701,797.778625,99.718658,968.221558,778.934082,97.803009,911.459290,696.738403,75.605980,1173.855835,865.951233,247.575943,1201.499512,814.085938,431.179443,,,,,,,,,,,,,,,,,,,,,
17,833.208740,796.219055,101.003510,966.998169,777.892883,98.801956,910.626099,694.926697,77.165268,1173.048096,865.465698,247.093445,1200.975830,813.937927,430.834717,,,,,,,,,,,,,,,,,,,,,
18,831.712280,794.360352,102.497734,965.550659,776.203674,100.404243,909.984924,692.988708,79.140732,1172.498169,864.999878,246.603271,1200.593872,813.870483,430.320282,,,,,,,,,,,,,,,,,,,,,
19,830.491211,792.840881,103.823975,964.022949,774.727051,101.704376,909.039917,691.387390,80.800369,1171.944092,864.630798,246.217804,1200.010376,813.828979,430.208496,,,,,,,,,,,,,,,,,,,,,
20,829.209656,791.246704,105.442009,963.262817,773.260559,103.028084,907.844849,689.301208,83.554695,1171.240967,863.995850,245.709488,1199.332520,813.734680,429.880951,,,,,,,,,,,,,,,,,,,,,
21,827.708862,789.331909,107.024086,961.752686,771.612488,104.113319,907.022949,687.460815,85.718483,1170.332764,863.196289,245.512604,1198.666992,813.545471,429.411530,,,,,,,,,,,,,,,,,,,,,
22,826.763245,787.913757,108.243530,960.332153,770.400208,105.273232,906.077942,685.333557,88.072906,1169.204102,862.441711,244.941360,1198.234619,813.338623,429.206848,,,,,,,,,,,,,,,,,,,,,
23,825.360718,786.072083,109.843735,958.941406,768.585693,106.711723,905.188660,683.892395,89.349236,1168.313477,861.946228,244.553833,1197.487305,813.293213,428.756836,,,,,,,,,,,,,,,,,,,,,
24,824.069336,784.394348,111.024765,957.555969,766.961304,107.632858,904.042542,681.622986,91.655067,1167.509644,861.499756,244.016312,1196.727783,813.134949,428.297668,,,,,,,,,,,,,,,,,,,,,
25,822.747437,782.760864,112.128960,956.528076,765.465637,108.410828,903.132385,679.726929,93.467369,1166.728760,860.960815,243.546341,1196.218994,812.911926,427.889801,,,,,,,,,,,,,,,,,,,,,
26,821.546570,780.878052,113.184250,955.291931,763.237671,109.123138,902.037292,677.707458,95.110458,1165.802246,860.119873,242.996628,1195.663574,812.745056,427.653442,,,,,,,,,,,,,,,,,,,,,
27,820.171082,779.005188,114.540459,953.957214,761.997009,110.250008,900.908997,675.696960,96.923538,1164.917358,859.374023,242.350861,1194.995361,812.583069,427.394165,,,,,,,,,,,,,,,,,,,,,
28,818.805969,776.993286,115.292290,952.406128,760.178833,111.473099,899.786926,673.891724,98.636246,1164.010498,858.846741,241.562683,1194.151611,812.514771,427.016907,,,,,,,,,,,,,,,,,,,,,
29,817.643616,775.286072,116.157753,951.295166,758.518677,112.615791,898.604919,671.920288,100.736397,1162.967773,858.281189,241.184189,1193.284058,812.364136,426.539063,,,,,,,,,,,,,,,,,,,,,
30,816.315430,773.259338,117.091667,950.327454,756.910706,113.115631,897.684143,669.728821,102.015694,1161.631226,857.452576,240.721619,1192.420166,812.173706,426.133270,,,,,,,,,,,,,,,,,,,,,
31,815.303101,771.533875,117.912117,948.480103,755.112610,114.247597,896.722839,668.112549,103.379417,1160.450073,856.630493,240.380646,1191.821289,811.975952,425.770905,,,,,,,,,,,,,,,,,,,,,
32,813.661987,769.515503,118.184570,947.226501,753.674377,115.179024,896.109192,665.841064,104.539841,1159.393433,855.999512,239.870682,1191.125488,811.928589,425.397034,,,,,,,,,,,,,,,,,,,,,
33,812.321045,767.798035,118.471909,945.874390,751.841431,116.188454,894.738953,664.131592,105.922958,1158.299438,855.342407,239.369904,1190.406494,811.765320,424.927643,,,,,,,,,,,,,,,,,,,,,
34,810.950745,765.599976,118.735947,944.701416,750.335754,116.998337,893.896057,662.079224,107.176605,1157.299194,854.494263,238.705780,1189.280396,811.588440,424.308502,,,,,,,,,,,,,,,,,,,,,
35,809.520569,763.926086,119.022926,943.657349,748.518250,117.346344,892.572754,660.604431,108.797554,1156.456299,853.558777,238.186859,1188.255371,811.381287,423.975159,,,,,,,,,,,,,,,,,,,,,
36,808.151917,762.061035,119.501549,942.057861,747.120422,118.166512,891.409058,658.788147,109.752670,1155.463501,852.877930,237.352310,1187.480469,811.191101,423.631317,,,,,,,,,,,,,,,,,,,,,
37,806.623657,760.489441,119.453911,940.816711,745.537109,118.884338,889.952515,656.810181,111.400650,1154.288818,852.205444,236.992752,1186.670288,810.966614,423.411041,,,,,,,,,,,,,,,,,,,,,
38,805.437134,758.550354,119.368416,939.600830,743.723938,119.528160,888.669556,655.196838,112.339813,1152.994873,851.234680,236.489609,1185.750366,810.688965,422.998627,,,,,,,,,,,,,,,,,,,,,
39,803.921875,756.852295,119.255951,938.130798,742.366882,119.892761,887.540894,653.683105,112.807663,1151.516724,850.411255,235.905212,1184.790039,810.472351,422.487793,,,,,,,,,,,,,,,,,,,,,
40,802.634155,755.153320,119.201447,936.411621,740.773865,120.223297,885.769592,651.747742,114.485107,1150.059692,849.755676,235.259506,1183.666138,810.353638,421.915466,,,,,,,,,,,,,,,,,,,,,
41,801.339417,753.690552,119.559837,935.153503,739.340210,120.535522,884.695374,650.345947,114.863998,1148.903198,849.255249,234.799866,1182.653931,810.183472,421.393036,,,,,,,,,,,,,,,,,,,,,
42,799.922729,751.984009,119.384720,934.318542,737.772888,120.640488,883.885498,648.784546,115.453400,1148.042725,848.126160,234.111816,1181.694092,810.045532,420.974396,,,,,,,,,,,,,,,,,,,,,
43,798.874268,750.548523,119.049286,932.710754,736.169922,121.363945,882.445923,647.040100,116.310196,1146.790283,846.957825,233.498413,1180.809814,809.872253,420.477905,,,,,,,,,,,,,,,,,,,,,
44,797.536377,748.998535,118.701309,931.516724,734.621277,122.060501,881.238403,645.832153,116.780128,1145.641968,846.180176,233.197250,1179.876343,809.577515,420.205658,,,,,,,,,,,,,,,,,,,,,
45,796.729126,747.230042,118.881958,930.479553,733.269104,122.185677,880.176147,643.707703,117.663025,1144.378906,845.489807,233.042709,1179.247559,809.201172,420.362762,,,,,,,,,,,,,,,,,,,,,
46,795.308044,745.812073,119.450363,929.188416,731.814331,122.325562,878.872437,642.266785,118.283974,1142.750244,844.269104,232.803818,1177.890259,809.126160,419.554504,,,,,,,,,,,,,,,,,,,,,
47,793.643372,744.127563,119.710487,928.366638,730.281555,122.097176,877.759094,640.785706,118.598694,1141.116577,843.397766,232.023270,1176.561768,808.928162,418.935608,,,,,,,,,,,,,,,,,,,,,
48,792.450745,742.842041,119.600891,926.992554,728.719543,122.119026,876.629089,639.237976,118.884865,1140.140381,842.856201,231.389221,1175.559814,808.552551,418.590149,,,,,,,,,,,,,,,,,,,,,
49,791.317444,740.994324,119.268867,925.524109,727.224487,122.063263,875.972351,637.710083,118.877693,1139.085815,841.741089,230.698196,1174.486328,808.227295,418.100006,,,,,,,,,,,,,,,,,,,,,
50,790.314514,739.596008,119.214714,924.717651,725.893005,121.913422,874.349060,636.343872,119.582741,1137.898071,840.661804,230.138809,1173.789185,807.944763,417.656769,,,,,,,,,,,,,,,,,,,,,
51,788.894775,737.954590,119.230278,923.092224,724.645691,121.749023,872.988525,635.052856,119.993553,1136.705444,839.898865,229.673264,1172.276733,807.726196,417.013031,,,,,,,,,,,,,,,,,,,,,
52,787.399841,736.395691,118.896713,921.624146,723.428955,122.106384,871.959351,633.801514,120.098381,1135.195190,839.007263,229.411560,1171.214355,807.488281,416.700195,,,,,,,,,,,,,,,,,,,,,
53,786.185730,734.983582,118.852524,920.631348,721.985901,122.105667,871.163330,632.134583,120.221329,1133.876343,837.940369,228.940094,1170.037231,807.171387,416.412231,,,,,,,,,,,,,,,,,,,,,
54,785.162048,733.299866,118.758842,919.195007,720.750427,122.015305,869.918823,630.804077,120.633568,1132.777588,837.091187,228.164032,1168.729370,806.891663,415.994812,,,,,,,,,,,,,,,,,,,,,
55,784.045166,731.887207,117.976341,918.117615,719.401001,122.021065,868.282104,629.557373,120.491760,1131.611328,836.369568,227.584076,1167.646484,806.512512,415.587463,,,,,,,,,,,,,,,,,,,,,
56,782.906311,730.388672,117.370544,916.932617,718.228882,121.896492,867.437439,627.865601,120.232719,1130.401978,835.296082,227.216751,1166.738403,806.125610,415.279022,,,,,,,,,,,,,,,,,,,,,
57,781.692627,729.107056,117.071327,915.672913,717.046387,121.861382,866.665955,626.382690,119.706322,1129.275391,834.402649,227.009384,1165.661865,805.722046,414.842957,,,,,,,,,,,,,,,,,,,,,
58,780.379700,727.893616,116.651367,914.455078,715.595764,121.429230,865.704224,625.190674,119.206390,1127.603027,833.578125,226.731506,1164.363892,805.435181,414.304443,,,,,,,,,,,,,,,,,,,,,
59,779.409668,726.477234,116.061531,913.477356,714.049194,120.660637,864.383728,623.808899,119.267830,1126.435425,832.633484,226.399063,1163.183228,805.171448,413.789032,,,,,,,,,,,,,,,,,,,,,
60,778.307556,725.474915,115.517792,912.217285,712.833435,120.210617,862.961304,622.349304,119.116257,1125.629395,831.427917,225.950180,1162.080322,804.882263,413.396179,,,,,,,,,,,,,,,,,,,,,
61,777.253479,724.198914,114.979851,911.112732,711.644348,119.942993,861.724792,621.524170,118.345207,1124.345581,830.660828,225.355194,1160.855347,804.573486,413.229889,,,,,,,,,,,,,,,,,,,,,
62,776.272400,722.906189,114.246269,910.162720,710.518127,119.587898,860.347168,620.588806,117.824150,1122.850830,830.066956,224.775497,1159.443726,804.211853,412.666626,,,,,,,,,,,,,,,,,,,,,
63,775.237854,721.948425,113.553574,908.969482,709.326416,119.461792,859.311951,619.491821,116.279823,1121.490356,829.135864,224.394775,1158.354126,803.789063,412.301819,,,,,,,,,,,,,,,,,,,,,
64,773.905701,720.763611,112.773567,907.711914,708.116638,119.085442,858.312256,618.417542,115.507675,1120.285645,827.998779,224.146072,1157.534424,803.292114,411.806976,,,,,,,,,,,,,,,,,,,,,
65,772.982910,719.481506,112.179649,907.093750,706.947083,118.328682,856.745117,617.479187,114.939751,1118.795044,827.325806,223.443604,1156.206543,802.911926,411.518005,,,,,,,,,,,,,,,,,,,,,
66,772.058777,718.478516,111.368317,906.368103,705.902649,117.582336,855.226135,616.757874,114.482407,1117.949097,826.774902,222.953995,1154.815186,802.615173,411.132202,,,,,,,,,,,,,,,,,,,,,
67,770.984070,716.968018,110.810028,905.258667,704.885071,116.807076,853.961121,615.725037,113.342674,1117.031738,825.552307,222.454102,1153.548950,802.476074,410.786011,,,,,,,,,,,,,,,,,,,,,
68,769.344604,715.622131,110.698792,904.001709,703.897339,116.291260,852.647461,614.700928,112.488861,1115.843872,824.513184,221.941742,1152.268066,802.226013,410.422668,,,,,,,,,,,,,,,,,,,,,
69,768.517395,714.470032,109.834984,902.680298,703.335632,115.861603,851.303650,613.686890,111.700508,1114.525146,824.026001,221.418701,1150.806274,801.848938,409.931213,,,,,,,,,,,,,,,,,,,,,
70,767.679871,712.785889,108.710518,901.506042,702.685974,115.742142,850.241699,613.171265,110.168488,1113.291382,823.508667,221.215424,1149.650024,801.565308,409.295410,,,,,,,,,,,,,,,,,,,,,
71,766.905579,711.394531,107.734207,900.356140,701.655579,114.262077,848.598083,612.612793,108.837479,1111.866089,822.469421,221.022766,1148.650757,801.279053,408.987091,,,,,,,,,,,,,,,,,,,,,
72,766.020264,709.601501,106.582764,899.774841,700.743469,113.232170,846.688477,611.869629,107.351349,1110.828613,821.462891,220.599823,1147.120972,800.973999,408.985077,,,,,,,,,,,,,,,,,,,,,
73,765.070618,707.792664,105.504807,899.057251,699.971313,112.846367,845.270508,611.409485,105.874947,1109.926147,820.799011,220.028931,1145.690552,800.679504,408.536438,,,,,,,,,,,,,,,,,,,,,
74,764.303284,705.499756,104.543274,897.677490,699.372925,112.264137,843.975098,611.070313,104.571167,1109.083740,820.173767,219.593933,1144.538452,800.481812,408.262085,,,,,,,,,,,,,,,,,,,,,
75,763.502686,703.173950,103.152420,896.450195,698.808411,111.623924,842.209412,610.602783,103.026077,1108.037720,819.356201,219.314194,1143.651367,800.051819,407.902649,,,,,,,,,,,,,,,,,,,,,
76,762.737793,700.684937,101.525093,895.444275,698.011719,111.117043,840.679810,610.263489,101.139542,1106.944458,818.457581,219.136841,1142.066650,799.651489,407.700989,,,,,,,,,,,,,,,,,,,,,
77,,,,894.192505,697.398315,110.439148,838.963989,610.113770,99.345116,1104.445557,817.257385,217.879745,1140.551758,799.337280,407.263336,,,,,,,,,,,,,,,,,,,,,
78,,,,893.377808,697.011230,109.631523,837.120056,609.830078,97.915993,1103.667480,817.476257,218.153687,1139.255615,798.968567,407.120239,761.995605,694.611267,98.650467,,,,,,,,,,,,,,,,,,
79,,,,892.244568,696.755188,109.298744,835.184875,609.827576,96.187302,1102.838867,817.405457,217.944519,1137.942139,798.719299,406.970337,761.462708,691.145447,96.864624,,,,,,,,,,,,,,,,,,
80,,,,891.278198,696.483215,108.831635,833.398315,610.162109,94.115715,1102.580933,816.814697,217.556778,1137.207153,798.317261,406.407990,,,,,,,,,,,,,,,,,,,,,
81,,,,890.068054,696.144287,108.324013,831.028992,610.784180,92.988274,1102.019653,816.291504,217.063583,1135.629761,798.119385,406.036987,,,,761.091248,686.279053,95.013046,,,,,,,,,,,,,,,
82,,,,888.959534,696.029724,108.100227,828.852844,611.601379,92.384605,1101.030640,815.797119,216.502808,1134.019409,797.927673,405.889282,,,,761.220093,684.843201,94.407860,,,,,,,,,,,,,,,
83,,,,887.986145,696.274902,108.097809,826.360779,613.082642,92.214218,1100.284424,815.214783,216.141754,1132.562988,797.596802,405.760712,,,,761.140076,683.272156,94.251472,,,,,,,,,,,,,,,
84,,,,886.792297,696.819092,108.949112,823.780823,614.370789,92.757477,1099.789551,814.883240,215.826355,1131.422974,797.142761,405.431305,,,,761.035889,681.675781,94.301636,,,,,,,,,,,,,,,
85,,,,885.177551,697.068542,109.874985,822.575317,614.641479,93.216759,1099.395630,814.533691,215.534470,1130.187500,796.837219,405.002991,,,,760.651489,679.714661,93.869980,,,,,,,,,,,,,,,
86,,,,883.477783,697.111328,110.331017,823.030640,613.598022,94.095665,1098.671997,814.380249,215.412109,1128.693481,796.456970,404.939392,,,,760.334717,678.544312,93.536156,,,,,,,,,,,,,,,
87,,,,882.486633,697.024292,110.646484,823.168030,612.703918,94.902222,1098.042114,814.290466,215.290359,1127.500366,796.304993,404.945770,,,,759.785889,677.491272,93.715721,,,,,,,,,,,,,,,
88,,,,881.780701,696.891052,111.126999,822.332336,612.397766,95.528145,1097.444214,814.279175,215.084244,1126.228760,796.180115,404.859467,,,,758.761902,676.372009,94.366264,,,,,,,,,,,,,,,
89,,,,880.651001,696.742188,112.097511,821.551147,612.353821,96.013092,1096.819702,814.394897,214.827759,1125.047485,795.953674,404.339386,,,,757.468079,675.346436,94.716057,,,,,,,,,,,,,,,
90,,,,878.933533,696.842773,113.330292,821.045532,611.928711,96.915352,1096.047485,814.536438,214.550537,1123.804565,795.693359,404.174255,,,,756.845520,674.371643,94.377312,,,,,,,,,,,,,,,
91,,,,877.622681,696.946228,114.708038,820.362671,611.517334,99.215401,1095.506592,814.366577,214.624664,1122.571411,795.604736,404.408356,,,,756.328491,673.467529,94.218239,,,,,,,,,,,,,,,
92,,,,876.768005,696.924988,115.552986,819.482605,611.038940,101.204849,1095.252319,814.258484,214.792465,1121.474487,795.601440,404.514862,,,,755.300171,672.522766,94.938858,,,,,,,,,,,,,,,
