Grasp127
Date:,2025/04/23
Time:,16:09:29
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,718.963501,501.948120,28.148298,854.008911,518.854370,60.541557,792.176758,451.578491,27.794594,1108.091431,714.185486,384.361511,1050.951294,702.916870,238.337814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,718.963501,501.948120,28.148298,854.505798,518.935303,59.868507,792.176758,451.578491,27.794594,1108.217041,714.196045,384.357361,1050.951294,702.916870,238.337814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,719.016479,501.918884,28.192944,854.593872,518.969666,59.746971,792.180542,451.605011,27.785276,1108.304565,714.303406,384.195648,1051.027344,702.917297,238.301666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,719.032227,501.921692,28.218925,854.110046,518.969421,60.343540,792.122314,451.594940,27.866989,1108.404785,714.342896,384.235291,1051.133301,702.959167,238.289581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,719.038391,501.938568,28.228140,853.912598,518.917053,60.596489,792.158081,451.669037,27.857342,1108.658813,714.308777,384.133820,1051.332764,703.018311,238.824905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,719.094543,501.924286,28.204760,853.862122,518.929138,60.723351,792.187744,451.620209,27.814741,1108.877563,714.336060,384.128998,1051.271240,703.114685,238.476212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,719.143677,502.012512,28.222752,854.381409,518.992004,60.161446,792.224487,451.657593,27.866423,1109.065674,714.335938,384.075348,1051.375244,703.110657,238.214645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,719.163879,502.042999,28.212339,854.137756,518.990051,60.506351,792.266235,451.713928,27.885397,1109.344849,714.326416,383.917358,1051.687500,703.203613,238.106659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,719.229187,502.029785,28.205465,853.932068,518.987854,60.866241,792.178467,451.716248,27.888504,1109.615112,714.255554,383.881775,1051.917236,703.411865,238.066574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,719.243408,502.118774,28.229441,853.955627,519.057983,60.981609,792.188538,451.833527,27.846973,1109.807129,714.250549,383.791992,1052.282227,703.538879,237.968613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
