PTP357
Date:,2025/04/23
Time:,12:53:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
41,841.698547,599.925659,153.316895,,,,,,,,,,,,,,,,,,,,,
42,839.481934,598.105530,155.017426,,,,,,,,,,,,,,,,,,,,,
43,836.545166,596.131226,156.400330,,,,,,,,,,,,,,,,,,,,,
44,833.912903,594.396912,157.250549,,,,,,,,,,,,,,,,,,,,,
45,830.944519,592.401855,158.692459,,,,,,,,,,,,,,,,,,,,,
46,828.449829,590.435547,160.121246,,,,,,,,,,,,,,,,,,,,,
47,825.050720,588.507141,160.923111,,,,,,,,,,,,,,,,,,,,,
48,821.835693,586.516785,161.843582,,,,,,,,,,,,,,,,,,,,,
49,818.764709,584.566833,163.417282,,,,,,,,,,,,,,,,,,,,,
50,815.168030,582.384766,164.825821,,,,,,,,,,,,,,,,,,,,,
51,811.960815,580.449036,166.065826,,,,,,,,,,,,,,,,,,,,,
52,808.202515,578.602844,166.982895,,,,,,,,,,,,,,,,,,,,,
53,805.144165,576.537598,167.797852,,,,,,,,,,,,,,,,,,,,,
54,801.723633,574.616699,168.235550,,,,,,,,,,,,,,,,,,,,,
55,798.154663,572.495850,169.191391,,,,,,,,,,,,,,,,,,,,,
56,794.228333,570.220215,170.307281,,,,,,,,,,,,,,,,,,,,,
57,790.717834,568.289124,171.116318,,,,,,,,,,,,,,,,,,,,,
58,786.673889,566.078674,171.461273,,,,,,,,,,,,,,,,,,,,,
59,782.846008,563.972656,171.992889,,,,,,,,,,,,,,,,,,,,,
60,779.132080,561.838989,172.561020,,,,,,,,,,,,,,,,,,,,,
61,774.737183,559.775146,173.154816,,,,,,,,,,,,,,,,,,,,,
62,770.916687,557.610901,173.317062,,,,,,,,,,,,,,,,,,,,,
63,767.130127,555.446838,173.804291,,,,,,,,,,,,,,,,,,,,,
64,762.626282,553.502014,174.122131,,,,,,,,,,,,,,,,,,,,,
65,758.613037,551.119568,174.206284,,,,,,,,,,,,,,,,,,,,,
66,754.619019,548.874390,174.532135,,,,,,,,,,,,,,,,,,,,,
67,750.639587,546.909058,174.889603,,,,,,,,,,,,,,,,,,,,,
68,746.329895,544.666809,174.579803,,,,,,,,,,,,,,,,,,,,,
69,741.965576,542.484924,174.837204,,,,,,,,,,,,,,,,,,,,,
70,737.785950,540.340759,174.907455,,,,,,,,,,,,,,,,,,,,,
71,733.702332,538.216919,175.163589,,,,,,,,,,,,,,,,,,,,,
72,729.517883,536.208862,175.419846,,,,,,,,,,,,,,,,,,,,,
73,724.930725,533.951111,175.112625,,,,,,,,,,,,,,,,,,,,,
74,720.736694,531.929016,175.026535,,,,,,,,,,,,,,,,,,,,,
75,716.558655,529.852417,174.640167,,,,,,,,,,,,,,,,,,,,,
76,712.155029,527.905334,174.825562,,,,,,,,,,,,,,,,,,,,,
77,707.943481,525.905518,174.427536,,,,,,,,,,,,,,,,,,,,,
78,703.665222,524.042480,174.442413,,,,,,,,,,,,,,,,,,,,,
79,699.392334,522.214844,174.189880,,,,,,,,,,,,,,,,,,,,,
80,695.085754,520.446350,173.626205,,,,,,,,,,,,,,,,,,,,,
81,691.009827,518.577393,173.295914,,,,,,,,,,,,,,,,,,,,,
82,686.813293,516.586792,172.788696,,,,,,,,,,,,,,,,,,,,,
83,682.264526,514.829346,172.928802,,,,,,,,,,,,,,,,,,,,,
84,678.116211,512.998901,172.581497,,,,,,,,,,,,,,,,,,,,,
85,674.152161,511.027283,172.057480,,,,,,,,,,,,,,,,,,,,,
