PTP359
Date:,2025/04/23
Time:,12:53:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,879.276062,625.001953,110.001167,,,,,,,,,
2,879.343628,624.983032,109.921410,,,,,,,,,
3,879.324463,625.008728,109.951820,,,,,,,,,
4,879.334045,625.000610,109.968361,,,,,,,,,
5,879.349854,624.987366,109.926323,,,,,,,,,
6,879.387573,625.002991,109.804604,,,,,,,,,
7,879.398010,625.023560,109.799416,,,,,,,,,
8,879.411682,625.021667,109.835701,,,,,,,,,
9,879.424866,625.138123,109.750877,,,,,,,,,
10,879.504761,625.172668,109.643913,,,,,,,,,
11,879.531311,625.181580,109.640419,,,,,,,,,
12,879.522583,625.194885,109.614471,,,,,,,,,
13,879.537109,625.191956,109.567627,,,,,,,,,
14,879.550598,625.192505,109.550064,,,,,,,,,
15,879.563110,625.209595,109.504128,,,,,,,,,
16,879.567200,625.216003,109.490166,,,,,,,,,
17,879.564392,625.214722,109.494629,,,,,,,,,
18,879.511780,625.224365,109.447762,,,,,,,,,
19,879.502869,625.227905,109.436417,,,,,,,,,
20,879.555176,625.215759,109.491257,,,,,,,,,
21,879.515442,625.222595,109.453522,,,,,,,,,
22,879.511658,625.228333,109.434357,,,,,,,,,
23,879.508484,625.211182,109.476868,,,,,,,,,
24,879.489075,625.201721,109.504997,,,,,,,,,
25,879.445801,625.194824,109.528519,,,,,,,,,
26,879.436707,625.194275,109.535843,,,,,,,,,
27,879.445435,625.211670,109.489731,,,,,,,,,
28,879.441162,625.087036,109.601868,,,,,,,,,
29,879.393372,625.065308,109.600769,,,,,,,,,
30,879.444031,625.075928,109.519241,,,,,,,,,
31,879.492554,625.092041,109.466911,,,,,,,,,
32,879.449158,625.098083,109.520935,,,,,,,,,
33,879.415222,625.079468,109.528633,,,,,,,,,
34,879.413513,625.074646,109.524406,,,,,,,,,
35,879.464233,625.083313,109.495613,,,,,,,,,
36,879.440552,625.064941,109.545609,,,,,,,,,
37,879.404053,624.956970,109.623650,,,,,,,,,
38,879.387268,625.023743,109.614662,,,,,,,,,
39,879.395691,624.961487,109.628555,,,,,,,,,
40,879.387207,624.932556,109.643669,,,,,,,,,
41,879.388306,624.935120,109.644806,,,,,,,,,
42,879.385803,625.012939,109.658379,,,,,,,,,
43,879.374817,625.039734,109.700508,,,,,,,,,
44,879.361328,624.925171,109.722931,,,,,,,,,
45,879.325500,624.905579,109.753960,,,,,,,,,
46,879.287170,624.895447,109.862473,,,,,,,,,
47,879.303223,624.877502,109.884918,,,,,,,,,
48,879.320557,624.877258,109.866966,,,,,,,,,
49,879.261963,624.994324,109.878929,,,,,,,,,
50,879.204956,625.015015,109.906631,,,,,,,,,
51,879.218140,624.984070,109.971603,,,,,,,,,
52,879.217834,624.965393,110.094940,,,,,,,,,
53,879.185608,624.953857,110.139870,,,,,,,,,
54,879.196716,625.043579,110.120537,,,,,,,,,
55,879.197815,625.078918,110.135338,,,,,,,,,
56,879.136902,625.070374,110.268608,,,,,,,,,
57,879.109375,625.121582,110.376488,,,,,,,,,
58,879.070862,625.137634,110.450012,,,,,,,,,
59,878.952942,625.247925,110.592186,,,,,,,,,
60,878.887756,625.268738,110.755379,,,,,,,,,
61,879.072266,625.392944,110.955215,,,,,,,,,
62,878.755676,625.484863,111.240379,,,,,,,,,
63,878.560364,625.578552,111.627312,,,,,,,,,
64,878.312256,625.827148,112.335747,,,,,,,,,
65,878.076721,625.980225,112.770767,,,,,,,,,
66,877.788452,626.182617,113.561188,,,,,,,,,
67,877.567444,626.456543,114.590523,,,,,,,,,
68,877.285950,626.559143,115.441811,,,,,,,,,
69,877.049622,626.642334,116.009583,,,,,,,,,
70,876.942017,626.661316,116.491737,,,,,,,,,
71,876.802002,626.680847,117.078033,,,,,,,,,
72,876.512573,626.796448,117.837067,,,,,,,,,
73,876.053711,626.940918,118.478355,,,,,,,,,
74,875.345459,626.727478,119.697693,,,,,,,,,
75,874.774048,626.549072,120.587288,,,,,,,,,
76,874.310242,626.394592,121.073189,,,,,,,,,
77,873.932617,625.917847,122.184608,,,,,,,,,
78,873.252136,625.498901,123.191566,,,,,,,,,
79,872.514832,625.084900,124.402138,,,,,,,,,
80,871.693237,624.716064,125.989716,,,,,,,,,
81,870.794189,624.456482,127.113258,,,,,,,,,
82,869.992249,624.007568,128.214264,,,,,,,,,
83,869.133667,623.566711,129.499405,,,,,,,,,
84,868.364380,622.804871,131.069672,,,,,,,,,
85,867.325378,622.259644,132.319885,,,,,,,,,
86,866.024353,621.484375,133.823044,,,,,,,,,
87,864.201477,620.587402,135.616379,,,,,,,,,
88,862.564148,619.959778,137.005753,,,,,,,,,
89,861.249023,618.945618,138.425934,,,,,,,,,
90,859.367371,617.976013,139.537430,,,,,,,,,
91,857.289795,616.827393,141.716354,,,,,,,,,
92,855.207031,615.836853,143.279068,,,,,,,,,
93,852.633972,614.581665,145.002289,,,,,,,,,
94,849.894775,613.618835,146.444214,,,,,,,,,
95,847.736755,612.150391,148.394623,,,,,,,,,
96,845.130981,610.613831,149.987091,,,,,,,,,
97,842.300354,609.386169,150.725723,,,,,,,,,
98,839.123047,607.754089,152.492111,,,,,,,,,
99,836.038391,606.201172,154.228271,,,,,,,,,
100,832.795776,604.610657,155.655563,,,,,,,,,
101,829.098572,603.143921,156.696518,,,,,,,,,
102,825.753357,601.500549,158.333130,,,,,,,,,
103,821.937561,599.484253,160.230392,,,,,,,,,
104,818.012024,597.718079,161.653549,,,,,,,,,
105,814.348938,595.964050,162.345505,,,,,,,,,
106,810.677856,594.072937,163.273392,,,,,,,,,
107,806.267029,592.153992,163.823166,,,,,,,,,
108,802.157166,590.073792,165.364456,,,,,,,,,
109,797.765503,587.989197,166.583923,,,,,,,,,
110,793.209595,586.101196,167.539307,,,,,,,,,
111,788.949829,583.987610,168.635406,,,,,,,,,
112,784.679504,582.009460,169.060608,,,,,,,,,
113,779.889038,579.886230,169.705734,,,,,,,,,
114,775.142822,577.860046,170.672699,,,,,,,,,
115,770.548584,575.577393,171.593872,,,,,,,,,
116,765.665344,573.121155,171.947357,,,,,,,,,
117,760.643066,571.012268,172.672287,,,,,,,,,
118,755.734375,568.765564,173.882050,,,,,,,,,
119,750.792358,566.324707,174.412491,,,,,,,,,
120,745.929993,563.990417,174.976273,,,,,,,,,
121,740.894714,561.593018,175.106094,,,,,,,,,
122,735.779846,559.126404,175.024704,,,,,,,,,
123,730.654480,556.962402,174.946045,,,,,,,,,
124,725.786255,554.588379,175.146088,,,,,,,,,
125,720.764832,552.304077,175.357254,,,,,,,,,
126,715.663513,549.902039,174.974335,,,,,,,,,
127,710.364929,547.794617,174.990402,,,,,,,,,
128,705.336182,545.196594,174.429276,,,,,,,,,
129,700.186096,543.026123,173.837402,,,,,,,,,
130,694.968689,540.706360,173.542648,,,,,,,,,
131,689.815063,538.207458,173.213928,,,,,,,,,
132,684.776489,535.775574,172.553894,,,,,,,,,
133,679.960022,533.571350,171.400665,,,,,,,,,
134,674.893921,531.302795,170.911911,,,,,,,,,
135,669.662048,529.051880,170.425735,,,,,,,,,
136,664.859375,526.717773,169.543808,,,,,,,,,
137,659.912170,524.323425,168.886368,,,,,,,,,
138,655.172729,522.482361,167.740677,,,,,,,,,
139,650.642090,520.325562,166.621628,,,,,,,,,
140,645.943054,518.230286,166.032547,,,,,,,,,
141,641.062927,516.167542,165.504135,,,,,,,,,
142,636.470520,514.175659,164.362595,,,,,,,,,
143,632.137817,512.354980,163.330261,,,,,,,,,
144,627.765503,510.382507,162.275970,,,,,,,,,
145,623.213623,508.754913,161.856857,,,,,,,,,
146,618.742798,506.873901,160.992493,,,,,,,,,
147,614.469055,505.186646,159.591278,,,,,,,,,
148,610.125793,503.618591,158.755890,,,,,,,,,
149,605.986328,502.003998,158.015182,,,,,,,,,
150,601.935486,500.791321,157.001434,,,,,,,,,
151,597.936951,498.993347,155.677948,,,,,,,,,
152,593.951599,497.901733,154.734512,,,,,,,,,
153,590.135254,496.476044,154.001801,,,,,,,,,
154,586.531250,495.232208,152.912598,,,,,,,,,
155,582.706970,493.669189,151.994476,,,,,,,,,
156,579.094177,492.549438,150.913177,,,,,,,,,
157,575.599792,491.388977,149.932266,,,,,,,,,
158,572.257446,490.364960,148.903687,,,,,,,,,
159,569.022400,489.073822,148.207764,,,,,,,,,
160,565.808716,488.133636,146.800537,,,,,,,,,
161,562.869690,487.214386,146.328064,,,,,,,,,
162,559.677063,485.927338,145.347076,,,,,,,,,
163,556.891907,485.190002,144.191742,,,,,,,,,
164,554.330811,484.002563,143.389633,,,,,,,,,
165,551.588501,483.114258,142.191528,,,,,,,,,
166,548.964417,482.307556,141.278259,,,,,,,,,
167,546.707458,481.170288,140.572266,,,,,,,,,
168,544.220093,480.262451,139.926331,,,,,,,,,
169,542.268494,479.533142,138.961700,,,,,,,,,
170,540.254883,478.454407,138.193909,,,,,,,,,
171,538.151489,477.779053,137.363541,,,,,,,,,
172,536.220276,477.006714,136.542511,,,,,,,,,
173,534.523926,476.289642,135.508133,,,,,,,,,
174,532.735229,475.291046,134.928757,,,,,,,,,
175,531.263428,474.346558,134.353394,,,,,,,,,
176,529.914368,474.166595,132.966537,,,,,,,,,
177,528.208801,473.511902,132.690872,,,,,,,,,
178,526.603394,472.370270,131.905243,,,,,,,,,
179,525.636719,471.615570,130.822327,,,,,,,,,
180,524.594727,471.140869,130.203690,,,,,,,,,
181,523.351929,470.326538,129.760269,,,,,,,,,
182,522.004517,469.396912,129.102081,,,,,,,,,
183,521.098999,468.992920,128.405762,,,,,,,,,
184,520.407104,468.695953,127.279243,,,,,,,,,
185,519.726440,467.923920,126.349045,,,,,,,,,
186,518.960205,467.207428,125.661415,,,,,,,,,
187,517.977173,466.384613,125.028297,,,,,,,,,
188,517.522400,465.906830,124.420959,,,,,,,,,
189,516.932556,465.553040,123.444191,,,,,,,,,
190,516.444092,465.198914,122.073494,,,,,,,,,
191,515.843018,464.830597,121.333298,,,,,,,,,
192,515.454224,464.271790,120.544098,,,,,,,,,
193,515.060791,463.751404,119.443237,,,,,,,,,
194,514.637939,463.381866,118.843887,,,,,,,,,
195,514.098816,463.069611,118.365379,,,,,,,,,
196,513.867310,462.613708,117.477272,,,,,,,,,
197,513.570129,462.325531,116.426216,,,,,,,,,
198,513.271912,462.097504,114.882294,,,,,,,,,
199,513.211914,461.992554,114.099060,,,,,,,,,
200,513.045715,461.803833,113.487984,,,,,,,,,
201,512.895386,461.649750,112.932526,,,,,,,,,
202,512.864014,461.361664,112.063950,,,,,,,,,
203,512.805237,461.162201,111.117279,,,,,,,,,
204,512.980652,461.025879,110.203285,2310.881104,301.032593,-134.201538,,,,,,
205,513.064575,460.899811,108.929695,,,,,,,,,
