PTP-1121
Date:,2025/04/16
Time:,10:25:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
113,719.845520,704.870422,157.286850,,,,,,,,,,,,
114,716.401611,705.042419,156.487228,,,,,,,,,,,,
115,712.826660,705.023865,155.405212,,,,,,,,,,,,
116,709.080078,705.015869,154.923691,,,,,,,,,,,,
117,705.923523,705.276367,153.777863,,,,,,,,,,,,
118,702.835022,704.795715,152.968887,,,,,,,,,,,,
119,699.786560,704.806946,152.454956,,,,,,,,,,,,
120,696.721008,704.433655,151.806107,,,,,,,,,,,,
121,693.720703,704.298645,150.454224,,,,,,,,,,,,
122,690.894531,703.915955,150.066650,,,,,,,,,,,,
123,688.244019,703.894226,149.548401,,,,,,,,,,,,
124,685.303284,703.416138,148.884659,,,,,,,,,,,,
125,682.832581,703.096008,147.858078,,,,,,,,,,,,
126,680.439087,702.766479,147.494263,,,,,,,,,,,,
127,677.937317,702.176941,146.376053,,,,,,,,,,,,
128,675.778442,701.535339,145.607559,,,,,,,,,,,,
129,673.063049,701.268860,145.129898,,,,,,,,,,,,
130,670.879211,700.902771,144.249893,,,,,,,,,,,,
131,669.076965,700.639465,143.361389,,,,,,,,,,,,
132,666.619202,700.073059,143.327499,,,,,,,,,,,,
133,664.786682,699.739380,142.044861,,,,,,,,,,,,
134,662.814453,699.528931,140.858963,,,,,,,,,,,,
135,660.961426,698.949463,139.963501,,,,,,,,,,,,
136,659.205566,698.482056,139.862701,,,,,,,,,,,,
137,657.246948,698.213562,139.594208,,,,,,,,,,,,
138,655.255127,698.098206,138.216171,,,,,,,,,,,,
139,653.736267,697.779846,137.512329,,,,,,,,,,,,
140,652.011414,697.601379,136.956024,,,,,,,,,,,,
141,650.296753,697.273376,136.520599,,,,,,,,,,,,
142,648.933350,696.693481,135.568298,,,,,,,,,,,,
143,647.826721,696.456055,135.240021,,,,,,,,,,,,
144,646.229797,696.704590,133.885956,,,,,,,,,,,,
145,644.820190,696.232971,133.759064,,,,,,,,,,,,
146,643.405579,696.033325,133.775909,,,,,,,,,,,,
147,642.079712,696.016418,132.979340,,,,,,,,,,,,
148,641.207153,696.101868,131.791626,,,,,,,,,,,,
149,640.160156,695.789124,131.052567,,,,,,,,,,,,
150,638.705017,695.357361,130.931473,,,,,,,,,,,,
151,637.725281,695.148071,130.609573,,,,,,,,,,,,
152,636.854248,694.929016,130.022202,,,,,,,,,,,,
153,636.042786,694.692810,129.416977,,,,,,,,,,,,
154,635.115784,694.211914,129.220261,,,,,,,,,,,,
155,634.400635,693.801575,129.247055,,,,,,,,,,,,
156,633.557556,693.651917,128.885529,,,,,,,,,,,,
157,632.581543,693.655823,128.565689,,,,,,,,,,,,
158,631.800964,693.783752,127.205620,,,,,,,,,,,,
159,631.211731,693.934326,127.074463,,,,,,,,,,,,
160,630.546387,693.902161,126.956039,,,,,,,,,,,,
161,629.864868,693.709656,126.498466,,,,,,,,,,,,
162,629.091125,693.456421,125.638916,,,,,,,,,,,,
163,628.374329,693.463501,125.353828,,,,,,,,,,,,
164,627.753296,693.404358,125.486206,,,,,,,,,,,,
165,627.013062,693.418030,125.374992,,,,,,,,,,,,
166,626.240234,693.431396,124.963455,,,,,,,,,,,,
167,625.684448,693.438232,124.393913,,,,,,,,,,,,
168,625.215210,693.606934,123.781464,,,,,,,,,,,,
169,625.051514,693.715698,123.359772,,,,,,,,,,,,
170,624.841309,693.836365,122.918922,,,,,,,,,,,,
171,624.426514,693.905090,122.372566,,,,,,,,,,,,
172,623.955200,694.091309,121.770485,,,,,,,,,,,,
173,623.392456,694.055481,121.799347,,,,,,,,,,,,
174,622.814148,694.208374,122.010735,,,,,,,,,,,,
175,622.406555,694.318054,121.765594,,,,,,,,,,,,
176,622.105774,694.456543,121.562569,,,,,,,,,,,,
177,621.584229,694.852783,121.111580,,,,,,,,,,,,
178,621.226685,695.292053,120.377060,,,,,,,,,,,,
179,620.811157,695.541687,119.977631,,,,,,,,,,,,
180,620.440369,695.759888,119.720284,,,,,,,,,,,,
181,620.129517,696.008972,119.359024,,,,,,,,,,,,
182,619.930847,696.253357,119.139595,,,,,,,,,,,,
183,619.797852,696.566772,118.909309,,,,,,,,,,,,
184,619.682495,696.904480,118.650337,,,,,,,,,,,,
185,619.458435,697.257507,118.232277,,,,,,,,,,,,
186,619.264282,697.490234,117.605888,,,,,,,,,,,,
187,619.105042,697.665161,117.015335,,,,,,,,,,,,
188,619.059937,697.925110,116.669884,,,,,,,,,,,,
189,618.970459,698.230652,116.313744,,,,,,,,,,,,
190,618.839111,698.576660,116.201141,,,,,,,,,,,,
191,618.649536,698.783691,115.589211,,,,,,,,,,,,
192,618.847107,698.940918,115.054543,,,,,,,,,,,,
193,619.117065,699.206909,114.513123,,,,,,,,,,,,
194,619.465515,699.288269,114.513313,,,,,,,,,,,,
195,619.567322,699.456177,114.306343,,,,,,,,,,,,
196,619.684998,699.544922,113.917686,,,,,,,,,,,,
197,619.820984,699.653625,113.969460,,,,,,,,,,,,
198,620.011475,699.694519,113.483681,,,,,,,,,,,,
199,619.970642,700.016541,113.605255,,,,,,,,,,,,
200,619.830322,700.250977,113.392487,,,,,,,,,,,,
201,619.916748,700.444702,112.936745,,,,,,,,,,,,
202,619.983093,700.799438,111.950333,,,,,,,,,,,,
203,620.113342,700.997925,111.478767,,,,,,,,,,,,
204,620.181885,701.026794,111.244980,,,,,,,,,,,,
205,620.163635,700.768677,111.298668,,,,,,,,,,,,
206,620.107483,700.798279,111.266960,,,,,,,,,,,,
207,620.066650,700.829346,111.153473,,,,,,,,,,,,
208,620.121033,700.812561,110.643349,,,,,,,,,,,,
209,620.223389,700.919983,110.239792,,,,,,,,,,,,
210,620.271606,701.034973,109.827370,,,,,,,,,,,,
211,620.498962,701.234070,109.373215,,,,,,,,,,,,
212,620.807495,701.323120,108.969124,1635.163452,1971.477051,-74.781128,,,,,,,,,
213,620.951904,701.558594,108.519249,,,,,,,,,,,,
214,621.050720,701.736450,108.015121,,,,,,,,,,,,
215,621.169189,701.757751,107.852844,,,,,,,,,,,,
216,621.148804,701.859314,107.752319,,,,,,,,,,,,
217,621.089600,701.891418,107.694115,,,,,,,,,,,,
218,621.083191,701.992676,107.620018,,,,,,,,,,,,
219,621.017517,702.132874,107.488022,,,,,,,,,,,,
220,620.882019,702.174683,107.422058,,,,,,,,,,,,
221,620.858276,702.258423,107.411995,,,,,,,,,,,,
222,620.779724,702.388977,107.334930,,,,,,,,,,,,
223,620.588745,702.176208,107.660789,,,,,,,,,,,,
224,620.534424,702.119568,107.929466,,,,,,,,,,,,
225,620.538208,702.149353,107.872162,,,,,,,,,,,,
226,620.630554,702.266846,107.478279,,,,,,,,,,,,
227,620.755859,702.372192,107.464478,,,,,,,,,,,,
228,620.751831,702.500732,107.346603,,,,,,,,,,,,
229,620.799744,702.537903,107.257347,,,,,,,,,,,,
230,620.730835,702.575745,107.142548,,,,,,,,,,,,
231,621.041321,702.765198,106.651573,,,,,,,,,,,,
232,620.977112,702.727600,106.459038,,,,,,,,,,,,
233,621.029785,702.941162,106.441505,,,,,,,,,,,,
234,621.076721,703.126953,106.529716,,,,,,,,,,,,
235,621.040344,703.234192,106.567963,,,,,,,,,,,,
236,620.706360,703.165344,106.738029,,,,,,,,,,,,
237,620.519104,703.163574,106.854820,,,,,,,,,,,,
238,620.526917,703.198853,106.851898,,,,,,,,,,,,
239,620.568054,703.295166,106.802223,,,,,,,,,,,,
240,620.802307,703.174133,106.287041,,,,,,,,,,,,
241,620.672668,703.482605,106.514427,,,,,,,,,,,,
242,620.837341,703.347351,106.180260,,,,,,,,,,,,
243,620.700684,703.471375,106.407860,,,,,,,,,,,,
244,620.606934,703.484192,106.546616,,,,,,,,,,,,
245,620.609314,703.489136,106.489304,,,,,,,,,,,,
246,620.633911,703.416138,106.446884,,,,,,,,,,,,
247,620.865540,703.251099,105.993149,,,,,,,,,,,,
248,620.792358,703.349365,106.260185,,,,,,,,,,,,
249,620.656677,703.384949,106.469711,,,,,,,,,,,,
250,620.597717,703.400024,106.462181,,,,,,,,,,,,
251,620.654236,703.379150,106.369987,,,,,,,,,,,,
252,620.834351,703.472961,105.694305,,,,,,,,,,,,
253,620.611816,703.515686,105.838974,,,,,,,,,,,,
254,620.542114,703.499878,105.987617,,,,,,,,,,,,
255,620.522949,703.486816,105.969727,,,,,,,,,,,,
256,620.558472,703.485107,105.878197,,,,,,,,,,,,
257,620.509216,703.386536,105.651382,,,,,,,,,,,,
258,620.399475,703.389954,105.604256,,,,,,,,,,,,
259,620.420654,703.379700,105.569832,,,,1519.346313,1969.615967,-92.396477,,,,,,
260,620.493286,703.429260,105.400047,,,,,,,,,,,,
261,620.476440,703.432800,105.390457,,,,,,,,,,,,
262,620.466492,703.415222,105.385681,,,,,,,1520.244263,1968.328491,-91.841866,,,
263,620.539795,703.380249,105.078873,,,,,,,,,,,,
264,620.586243,703.368164,104.881096,,,,,,,,,,,,
265,620.546021,703.369446,104.905281,,,,,,,,,,,,
266,620.491272,703.276978,104.969482,,,,,,,,,,,,
267,620.409607,703.340881,104.964195,,,,,,,,,,,,
268,620.557861,703.242004,104.652344,,,,,,,,,,,,
269,620.627563,703.238159,104.548172,,,,,,,,,,1526.270386,1966.872192,-88.888000
270,620.510254,703.287964,104.867729,,,,,,,,,,,,
271,620.423096,703.266479,105.014656,,,,,,,,,,,,
272,620.486511,703.213013,104.758232,,,,,,,,,,,,
273,620.558899,703.366577,105.070107,,,,,,,,,,,,
274,620.340698,703.206177,105.138390,,,,,,,,,,,,
275,620.544128,703.206238,104.988190,,,,,,,,,,,,
276,620.836304,703.352478,104.760223,,,,,,,,,,,,
277,620.607239,703.287598,105.092583,,,,,,,,,,,,
278,620.719849,703.291626,104.985359,,,,,,,,,,,,
279,620.507690,703.127747,105.306343,,,,,,,,,,,,
280,620.524597,703.013184,105.260132,,,,,,,,,,,,
281,620.510132,703.033020,105.538239,,,,,,,,,,,,
282,620.537903,702.994385,105.324844,,,,,,,,,,,,
283,620.476196,702.941223,105.435722,,,,,,,,,,,,
284,620.394714,702.882263,105.599396,,,,,,,,,,,,
285,620.369263,702.792053,105.659233,,,,,,,,,,,,

