PTP1115
Date:,2025/04/15
Time:,12:57:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1
Field #,X,Y,Z
160,619.443481,707.675293,128.732101
161,619.331848,707.763611,128.854935
162,619.297974,707.866089,129.109894
163,619.273254,707.881714,129.089264
164,619.391418,707.878174,129.071777
165,619.475037,707.973450,129.014557
166,619.495300,707.987671,128.957565
167,619.506165,708.004028,128.972610
168,619.561096,708.073486,129.008438
169,619.579041,708.028687,128.916138
170,619.587158,708.018616,128.887314
171,619.629883,708.093567,128.854523
172,619.661743,708.106934,128.791763
173,619.714478,708.133606,128.789536
174,619.875183,708.201599,128.732681
175,619.982117,708.170105,128.414871
176,620.161377,708.127319,128.024063
177,620.053711,708.210754,128.163147
178,620.010681,708.190857,128.341949
179,620.065979,708.176514,128.403152
180,620.020569,708.174133,128.362686
181,620.101074,708.130798,127.980949
182,620.197571,708.169800,127.846046
183,620.182434,708.159729,127.855011
184,620.155273,708.146423,127.891220
185,620.193542,708.339661,128.133270
186,619.981628,708.238464,128.321503
187,620.018555,708.113525,128.065765
188,620.101318,708.261597,128.317429
189,620.275085,708.200806,127.947510
190,620.193237,708.070618,127.847443
191,620.083435,708.022583,127.936630
192,619.877686,707.992432,128.372162
193,620.130615,708.112488,128.342041
194,619.945496,708.008606,128.337860
195,619.982971,707.905457,128.083496
196,620.084900,707.922363,127.963348
197,620.068115,707.973450,128.078094
198,619.963074,707.994141,128.375916
199,619.906616,707.974365,128.471634
200,619.874634,707.963806,128.476257
201,619.988342,707.948425,128.200928
202,620.329163,708.092468,127.989914
203,620.189270,707.998047,128.055328
204,620.085449,707.940430,128.161926
205,620.333008,708.063660,128.034912
206,620.235596,707.998779,128.059525
207,620.139465,707.936462,128.129669

