PTP-1162
Date:,2025/04/23
Time:,14:00:26
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2
Field #,X,Y,Z,X,Y,Z
1,873.165771,648.471863,107.680740,,,
2,873.188965,648.521790,107.715446,,,
3,873.181274,648.562744,107.655296,,,
4,873.200745,648.560303,107.567169,,,
5,873.211548,648.559143,107.549370,,,
6,873.209412,648.557251,107.557098,,,
7,873.205872,648.555481,107.562859,,,
8,873.218018,648.546143,107.524841,,,
9,873.225220,648.547241,107.511955,,,
10,873.222900,648.633606,107.481766,,,
11,873.175476,648.599487,107.494110,,,
12,873.209106,648.634460,107.487228,,,
13,873.214661,648.565796,107.495949,,,
14,873.149597,648.667053,107.495659,,,
15,873.126343,648.609924,107.478951,,,
16,873.177246,648.647644,107.489586,,,
17,873.153198,648.692017,107.487709,,,
18,873.141785,648.697998,107.488289,,,
19,873.141418,648.693665,107.489876,,,
20,873.097656,648.684937,107.487297,,,
21,873.131470,648.689209,107.493843,,,
22,873.090637,648.691406,107.536049,,,
23,873.084412,648.674622,107.473221,,,
24,873.095703,648.676270,107.447639,,,
25,873.099182,648.678772,107.447319,,,
26,873.111877,648.692261,107.350822,,,
27,873.138733,648.780457,107.266289,,,
28,873.137512,648.720398,107.269302,,,
29,873.085632,648.684326,107.306458,,,
30,873.080627,648.763672,107.300758,,,
31,873.134705,648.789734,107.238350,,,
32,873.154846,648.791687,107.215858,,,
33,873.151978,648.788025,107.219955,,,
34,873.144226,648.792175,107.257706,,,
35,873.139343,648.791016,107.268730,,,
36,873.154358,648.868591,107.213318,,,
37,873.180847,648.889038,107.155441,,,
38,873.130615,648.916626,107.163437,,,
39,873.113708,648.910339,107.147911,,,
40,873.159363,649.008545,107.103249,,,
41,873.193665,649.034302,107.047554,,,
42,873.211121,649.115417,107.016167,,,
43,873.213074,649.133606,107.010170,,,
44,873.251221,649.131836,107.000877,,,
45,873.274719,649.120972,106.956276,,,
46,873.280396,649.218140,106.919617,,,
47,873.293213,649.233704,106.911522,,,
48,873.324585,649.241821,106.898468,,,
49,873.331970,649.243103,106.893341,,,
50,873.341431,649.326660,106.872963,,,
51,873.346436,649.349854,106.861069,,,
52,873.346252,649.345093,106.861855,,,
53,873.344543,649.340271,106.865326,,,
54,873.357239,649.330139,106.826813,,,
55,873.310486,649.358704,106.807594,,,
56,873.327515,649.396790,106.817276,,,
57,873.321960,649.387390,106.819374,,,
58,873.314331,649.449158,106.791298,,,
59,873.317261,649.468628,106.778145,,,
60,873.349182,649.482971,106.760979,,,
61,873.327698,649.468323,106.772163,,,
62,873.315613,649.460388,106.783279,,,
63,873.298645,649.487976,106.800713,,,
64,873.311462,649.466980,106.787506,,,
65,873.318298,649.459900,106.781319,,,
66,873.364075,649.492737,106.772301,,,
67,873.376648,649.504150,106.763809,,,
68,873.385437,649.585999,106.742226,,,
69,873.415283,649.575439,106.768578,,,
70,873.429077,649.644470,106.759361,,,
71,873.481506,649.673584,106.737167,,,
72,873.538452,649.776489,106.688133,,,
73,873.556335,649.813904,106.670776,,,
74,873.570313,649.888733,106.609764,,,
75,873.570251,649.983398,106.603706,,,
76,873.593384,650.076172,106.553719,,,
77,873.612122,650.116272,106.539055,,,
78,873.623962,650.199097,106.520882,,,
79,873.626892,650.216431,106.512909,,,
80,873.675659,650.217712,106.505386,,,
81,873.694275,650.221863,106.541344,,,
82,873.700867,650.152405,106.682899,,,
83,873.583191,650.092834,106.782524,,,
84,873.619812,650.010925,106.836929,,,
85,873.594177,649.974426,106.951843,,,
86,873.564453,649.897339,107.084953,,,
87,873.532715,649.771973,107.271217,,,
88,873.523376,649.788391,107.437035,,,
89,873.484009,649.615173,107.654175,,,
90,873.379028,649.450806,107.891190,,,
91,873.330994,649.355591,108.212448,,,
92,873.238342,649.360596,108.407555,,,
93,873.124207,649.285645,108.698906,,,
94,872.953064,649.166748,109.211937,,,
95,872.817444,649.021667,109.810547,,,
96,872.686523,648.940491,110.166542,,,
97,872.595825,648.920410,110.648483,,,
98,872.228088,648.996033,110.956497,,,
99,872.023987,649.134155,111.151459,,,
100,871.778748,649.231262,111.393318,,,
101,871.544495,649.360413,111.700714,,,
102,871.117859,649.514771,111.957352,,,
103,870.571106,649.656921,112.357742,,,
104,870.010376,649.856140,112.672516,,,
105,869.492920,650.155640,113.163750,,,
106,868.980469,650.584961,113.412537,,,
107,868.363159,650.886902,114.126549,,,
108,867.684570,651.166016,114.972305,,,
109,867.010010,651.462158,115.490509,,,
110,866.086914,651.627808,116.240273,,,
111,864.954712,651.403076,117.143753,,,
112,863.825684,651.706360,116.959320,,,
113,862.899414,652.226624,117.187744,,,
114,861.419617,652.651978,117.934143,,,
115,860.107544,652.624756,119.115791,,,
116,858.358948,652.984070,120.041550,,,
117,856.589539,653.816650,120.556892,,,
118,855.459595,654.162903,121.249130,,,
119,853.512146,654.469116,122.081573,,,
120,851.269348,655.229919,122.649948,,,
121,849.542053,655.585510,123.844582,,,
122,847.319763,656.147400,125.132759,,,
123,844.900940,656.600708,125.925758,,,
124,842.817627,656.889221,126.922859,,,
125,840.101990,657.439941,128.107529,,,
126,837.878662,658.132019,129.834961,,,
127,834.932983,658.763977,130.826843,,,
128,832.505310,659.367493,131.875702,,,
129,829.632263,659.931824,133.176712,,,
130,826.788086,660.835815,134.212509,,,
131,823.920898,661.331299,135.906174,,,
132,821.106384,661.570190,137.850601,,,
133,817.846191,662.066345,139.050400,,,
134,814.996155,662.406860,140.738541,,,
135,811.795593,663.059814,141.948242,,,
136,808.780823,663.601624,143.834320,,,
137,805.566956,664.006531,145.455582,,,
138,802.548767,664.472107,146.618942,,,
139,799.306030,664.966064,147.849808,,,
140,796.208557,665.483643,148.859985,,,
141,793.051025,666.108398,151.095673,,,
142,789.617310,666.425171,152.162506,,,
143,786.612366,666.740173,153.262115,,,
144,783.375916,666.758057,155.253403,,,
145,780.015869,667.401978,156.125015,,,
146,776.939697,667.637634,157.542892,,,
147,773.821472,667.647705,159.006210,,,
148,770.591919,668.280090,159.821838,,,
149,767.351868,668.330383,161.286240,,,
150,764.367554,668.677429,162.426529,,,
151,761.119141,668.845764,163.291748,,,
152,757.939575,669.066711,164.389282,,,
153,754.885193,669.470093,164.684006,,,
154,751.829224,669.565796,165.985825,,,
155,748.583557,670.071899,166.844101,,,
156,745.357178,670.273926,168.000610,,,
157,742.558533,670.386353,168.473434,,,
158,739.617798,670.928772,168.589569,,,
159,737.002319,670.969238,169.079453,,,
160,733.939148,671.069336,169.228119,,,
161,731.263977,671.275085,169.832321,,,
162,728.379944,671.397827,170.024811,,,
163,725.665771,671.763855,170.203903,,,
164,722.878235,671.740906,170.763443,,,
165,720.476440,671.906006,171.071976,,,
