Grasp20
Date:,2025/04/08
Time:,13:08:47
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
30,463.929291,643.501404,250.059540,,,,145.064285,803.324158,181.525269,98.119728,859.173767,353.249847,494.604034,727.712341,204.324875,389.915131,740.530151,188.187958,,,,,,,,,,,,,,,,,,,,,
31,457.678864,644.457520,254.046707,,,,141.373138,806.034607,181.688538,96.632690,860.493042,353.711700,489.077911,727.645020,207.845779,385.124573,741.979675,190.189392,,,,,,,,,,,,,,,,,,,,,
32,451.326355,645.280884,257.613953,,,,137.529190,808.884521,181.648514,94.880356,861.684387,354.349060,483.754120,727.555054,211.196442,380.297150,742.730042,191.873367,,,,,,,,,,,,,,,,,,,,,
33,444.915344,645.733887,260.775726,,,,133.654236,811.495178,181.462326,93.471588,863.168335,354.954010,478.310059,727.443420,214.554901,374.883942,743.003784,194.445053,,,,,,,,,,,,,,,,,,,,,
34,438.829346,646.279175,263.128113,,,,129.624878,814.182129,181.798904,92.214386,864.605591,355.147400,472.425079,727.158386,217.284119,369.558929,743.576111,196.868744,,,,,,,,,,,,,,,,,,,,,
35,431.842987,646.513367,266.233582,,,,125.832245,817.117798,182.031036,90.770348,866.121643,355.467743,466.831970,726.575562,219.158417,363.953674,744.198975,199.517914,,,,,,,,,,,,,,,,,,,,,
36,425.072906,646.499573,268.258423,,,,122.148048,819.969421,181.916290,89.412636,867.642456,355.911163,461.364990,725.713196,220.963394,359.671204,744.733643,199.568878,,,,,,,,,,,,,,,,,,,,,
37,419.218903,646.200439,269.844910,,,,118.421394,822.751770,182.096893,87.681946,869.280273,356.479340,455.513184,725.186157,223.094421,355.287903,745.265137,199.953674,,,,,,,,,,,,,,,,,,,,,
38,412.628357,646.102051,271.462250,,,,115.126656,825.788757,182.331421,86.404793,870.883484,356.792206,450.714325,724.375244,223.503967,350.180267,745.840576,201.497009,,,,,,,,,,,,,,,,,,,,,
39,405.804626,645.704407,273.023376,,,,111.500542,828.742188,183.021759,85.175285,872.522949,357.088074,446.580780,722.756165,223.287033,345.354645,746.095886,202.722366,,,,,,,,,,,,,,,,,,,,,
