Grasp117
Date:,2025/04/23
Time:,12:58:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,823.311646,808.181763,62.197865,956.114014,791.689087,85.712738,1178.567139,847.453369,228.193390,1193.614502,815.852417,316.786011,,,,873.493530,732.081421,67.484085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,821.874329,807.415405,65.870285,955.646667,791.058899,87.778183,1178.715820,847.179749,228.470444,1193.517212,815.794678,316.787170,,,,874.577087,729.787415,71.050407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,820.708069,806.642822,69.194138,954.973877,790.104980,89.759048,1178.850098,847.029968,228.513168,1193.345215,815.754822,316.640778,,,,875.462402,727.232666,76.098099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,820.731506,804.852295,72.272385,954.537903,789.354553,91.170174,1179.031860,846.842712,228.502075,1193.306274,815.693604,316.594818,,,,876.219910,724.978394,80.420433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,820.542847,803.226013,75.659691,954.641846,788.645996,93.023834,1179.193359,846.653015,228.510147,1193.234497,815.655579,316.511810,,,,876.950989,722.768616,85.342484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,819.686035,801.670715,78.876984,954.066223,788.056091,95.197075,1179.281006,846.441589,228.436615,1193.160522,815.541687,316.425049,,,,877.793152,720.499268,89.382065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,819.076538,799.968811,82.357880,953.469849,787.494934,96.723190,1179.387329,846.272949,228.375732,1193.212402,815.460449,316.350647,,,,878.522034,718.261780,94.125069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,818.642395,798.007385,85.976280,952.894226,786.407898,98.653854,1179.577637,846.135437,228.185638,1193.195068,815.310669,316.185303,,,,879.185486,716.365417,98.533150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,952.750610,784.041443,101.049889,1179.667969,845.916992,227.928665,1193.237793,815.195557,316.063080,,,,879.860718,714.027466,102.921104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,951.983337,783.955933,102.354073,1179.614502,845.571228,227.836380,1193.258667,815.051697,315.927277,,,,881.061218,712.189026,106.802345,817.700806,794.046387,92.605499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,951.256775,783.527771,103.874657,1179.423096,845.481140,227.577332,1193.238525,814.974548,315.787323,,,,882.213501,710.107666,110.377632,816.429626,792.445190,96.130127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,950.048645,782.405640,105.928299,1179.084106,845.361816,227.045486,1193.169312,814.928345,315.678436,,,,883.593750,708.249146,114.417709,815.118530,790.289429,99.493950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,949.104065,781.041504,107.599304,1178.742798,845.183716,226.851517,1193.284790,814.844910,315.409546,,,,884.242432,706.388672,117.952705,814.170593,789.023376,103.242050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,948.587769,779.760864,108.847366,1178.318237,844.987793,226.830353,1193.237183,814.733337,315.292786,,,,884.776978,704.492371,121.370110,813.044006,787.858704,106.391609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,947.618469,778.590149,110.670280,1177.743286,844.739319,226.581299,1193.125122,814.631287,315.196045,,,,885.609741,702.725647,124.577499,812.426025,785.817383,108.859352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,946.495483,777.159607,111.884399,1177.114380,844.576111,226.411636,1192.874023,814.507813,315.048523,,,,886.013428,700.832031,127.742973,811.641602,783.523560,111.907867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,945.880493,775.696045,112.719635,1176.530640,844.399536,226.121567,1192.451782,814.437500,314.974823,,,,886.515686,699.001587,130.816315,810.989807,782.043335,113.460426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,944.772644,774.182129,114.388641,1175.996582,844.273804,225.940552,1192.079834,814.299927,314.912140,,,,887.124329,696.601135,134.220215,809.869019,780.245056,116.121002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,943.697205,772.491272,115.613571,1175.354492,844.204529,225.700806,1191.487793,814.228638,314.723145,,,,887.183350,694.772156,136.491501,808.917297,778.228516,118.484901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,942.530273,771.293579,116.498383,1174.566040,843.925171,225.501099,1190.682251,814.154053,314.258636,,,,887.911926,693.163696,138.887207,807.996460,776.343201,120.511200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,941.082642,769.403564,117.892014,1173.359619,843.591003,225.145233,1189.879272,814.112488,313.955048,,,,887.567505,690.992432,141.638443,807.053040,774.468872,122.642204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,940.371277,767.589661,119.261734,1172.230347,843.391479,224.998520,1189.187622,814.015686,313.705017,,,,888.448914,689.307190,143.225540,805.641907,772.399902,124.134598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,939.380371,766.175110,120.034927,1170.980469,843.411255,224.976318,1188.501831,813.850769,313.556305,,,,888.637329,687.395569,145.053116,804.715820,770.277344,125.846397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,1169.806396,843.222473,224.630096,1187.797119,813.691650,313.380859,,,,888.429199,685.432922,147.125290,803.653625,768.086060,127.527374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,1168.710815,842.644226,224.323822,1187.021606,813.476868,313.037354,,,,888.531921,683.126892,148.723587,802.795532,765.646118,128.606659,937.029541,762.922058,121.665894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
