Grasp33
Date:,2025/04/16
Time:,14:17:13
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,920.807495,845.989746,67.202171,780.974915,831.496887,35.130825,868.993103,773.570435,36.856960,1101.094971,943.382690,299.276184,1121.951172,913.263306,440.495850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,920.807495,845.989746,67.202171,781.013062,831.511108,35.104145,869.818176,773.533691,36.516685,1101.094971,943.382690,299.276184,1121.927368,913.245544,440.523407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,920.807495,845.989746,67.202171,781.039246,831.520874,35.085232,869.290100,773.622986,36.534592,1101.094971,943.382690,299.276184,1121.918213,913.252075,440.501038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,920.807495,845.989746,67.202171,780.984436,831.526245,35.112404,869.622314,773.637146,36.577644,1101.094971,943.382690,299.276184,1121.946289,913.263184,440.493988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,920.807495,845.989746,67.202171,780.997437,831.512146,35.116756,869.788879,773.571472,36.475132,1101.100952,943.437866,299.282745,1121.889038,913.321411,440.443115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,920.783691,845.990173,67.173668,781.011292,831.509277,35.107773,869.824646,773.541565,36.366123,1101.164185,943.442261,299.228241,1121.871338,913.329895,440.433441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,920.730652,846.001892,67.114357,781.033386,831.518127,35.091557,869.796448,773.637390,36.392570,1101.171631,943.483215,299.221527,1121.880005,913.377686,440.442963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,920.724792,846.005859,67.102890,781.049927,831.511047,35.041031,869.768799,773.681458,36.423832,1101.235718,943.490845,299.057861,1121.883667,913.383972,440.446075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,920.728760,846.005127,67.106544,781.065674,831.532593,35.067410,869.747803,773.648315,36.393005,1101.123169,943.459900,299.099854,1121.883667,913.381348,440.445679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,920.779236,845.993286,67.161369,781.043030,831.524170,35.085518,869.764648,773.650635,36.420952,1101.082031,943.502258,299.132568,1121.798950,913.382324,440.388977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
