Grasp99
Date:,2025/04/22
Time:,17:34:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,903.437927,834.448242,67.043045,1033.871704,898.954651,250.050400,769.609253,835.824036,33.773361,831.040161,784.608154,33.571114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,903.451050,834.438049,66.998718,1033.734375,898.987488,250.082947,769.568726,835.824280,33.759541,831.020874,784.559265,33.760834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,903.456116,834.437622,66.990341,1033.724731,899.005859,250.043655,769.494202,835.819824,33.775841,830.955750,784.580139,33.706814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,903.453796,834.438293,66.995132,1033.747192,899.085022,250.002884,769.518372,835.810791,33.835331,830.966492,784.598145,33.631927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,903.416870,834.450073,67.014412,1033.692627,899.124023,249.956299,769.490723,835.829468,33.748276,831.026733,784.609741,33.574837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,903.360718,834.454407,66.995079,1033.745605,899.099121,249.991119,769.507385,835.836182,33.714005,831.016724,784.600769,33.656258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,903.346924,834.367737,66.992882,1033.621948,899.097900,250.079453,769.505737,835.731567,33.744217,830.935486,784.594360,33.666843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,903.383240,834.334412,66.980675,1033.558716,899.092712,250.063904,769.480774,835.794922,33.772743,830.954651,784.595886,33.643955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,903.370056,834.436279,66.983650,1033.541626,899.097229,250.027237,769.479126,835.733887,33.780685,830.948853,784.556580,33.768921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,903.361450,834.464478,66.987045,1033.572266,899.102173,250.060013,769.496399,835.815735,33.742153,830.917419,784.695374,33.674500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,903.360046,834.458740,66.988876,1033.508911,899.105591,250.072174,769.506775,835.839966,33.705231,830.997986,784.763855,33.550945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,903.395325,834.442383,66.973198,1033.460083,899.108154,250.062195,769.511719,835.835815,33.695992,831.063599,784.764648,33.481197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,903.416565,834.448975,67.008820,1033.449951,899.116638,250.090195,769.564697,835.847778,33.680016,831.131531,784.770630,33.434746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,903.445923,834.439331,67.007217,1033.481689,899.105896,250.086273,769.536743,835.837219,33.697575,831.162476,784.735657,33.547417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,903.419983,834.449036,67.013847,1033.423950,899.112610,250.103271,769.555908,835.844727,33.672951,831.127991,784.722107,33.626232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,903.440979,834.439758,67.006149,1033.398560,899.113647,250.118134,769.576721,835.847168,33.648975,831.089172,784.730896,33.572823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,903.443726,834.445435,67.025696,1033.398804,899.112915,250.119705,769.587036,835.849548,33.656445,831.072083,784.757629,33.494797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,903.447144,834.438843,67.006813,1033.358276,899.102844,250.165588,769.532837,835.836304,33.699776,831.160767,784.626343,33.597061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,903.446838,834.351990,66.997734,1033.379883,899.114502,250.160080,769.546692,835.844604,33.683304,831.156311,784.613281,33.530739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,903.449585,834.417114,67.000114,1033.359131,899.129578,250.102158,769.571716,835.847412,33.655209,831.103577,784.736328,33.466896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,903.407349,834.452454,66.954796,1033.279907,899.111938,250.122040,769.583496,835.846741,33.641235,831.113831,784.785400,33.441509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,903.395813,834.368408,66.945641,1033.248291,899.193298,250.180023,769.583252,835.846252,33.641418,831.160828,784.671753,33.459499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,903.395264,834.336365,66.967255,1033.231445,899.224243,250.225372,769.532593,835.835571,33.696056,831.129456,784.569336,33.637142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,903.393250,834.337952,66.975357,1033.285522,899.312622,250.177490,769.495361,835.831726,33.720089,831.063782,784.552917,33.747967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,903.348755,834.351685,66.929283,1033.265869,899.357483,250.193924,769.497253,835.833984,33.734150,831.034607,784.564575,33.772182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,903.387573,834.346497,66.962257,1033.208740,899.336548,250.230148,769.488281,835.821289,33.779682,831.012878,784.561890,33.772816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,903.353394,834.352051,66.928734,1033.154053,899.351807,250.254669,769.461975,835.837341,33.753963,830.981567,784.549805,33.787746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,903.344177,834.354797,66.918663,1033.188477,899.442810,250.244995,769.464355,835.842346,33.735493,830.966370,784.578186,33.751110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,903.345642,834.354675,66.919868,1033.115967,899.470947,250.154510,769.420593,835.828308,33.764462,830.943420,784.618530,33.614567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,903.346619,834.354187,66.921234,1033.133301,899.571899,250.208725,769.394104,835.825195,33.793446,831.023010,784.617676,33.558243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,903.311768,834.365601,66.937508,1033.074707,899.570923,250.258179,769.421265,835.820129,33.796814,831.070862,784.569824,33.676105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,903.339722,834.442139,66.929413,1033.084351,899.541443,250.262665,769.439209,835.819031,33.782578,831.031128,784.591675,33.627922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,903.351563,834.374695,66.916656,1033.108643,899.558716,250.213272,769.488403,835.831116,33.727261,831.048584,784.609985,33.543392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,903.349915,834.348877,66.917877,1033.052612,899.557556,250.249146,769.470459,835.821838,33.742405,831.030884,784.632263,33.506634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,903.346619,834.350403,66.921387,1033.086060,899.572510,250.254974,769.494751,835.832214,33.737915,831.053589,784.576660,33.677406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,903.390442,834.344482,66.966972,1033.122803,899.659790,250.233810,769.493774,835.821960,33.773979,830.989990,784.574707,33.748642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,903.353333,834.351440,66.931267,1033.090454,899.689392,250.268738,769.496643,835.832153,33.745888,831.052979,784.580627,33.749599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,903.432251,834.343323,66.992577,1033.068237,899.682861,250.289642,769.461182,835.827515,33.775814,831.074951,784.572693,33.726559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,903.372070,834.353333,66.993668,1033.062866,899.660156,250.297714,769.528931,835.845093,33.704830,831.037170,784.599609,33.603508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,903.380493,834.344238,66.981422,1033.102173,899.744995,250.253647,769.585876,835.851135,33.658672,831.096191,784.629089,33.513973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,903.394104,834.342041,66.971725,1033.063965,899.785278,250.247131,769.594360,835.847290,33.632332,831.113464,784.625916,33.495064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
