Grasp03
Date:,2025/04/08
Time:,12:52:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
29,246.272537,584.707031,84.831863,228.886475,725.019775,91.223839,156.372345,905.107849,317.363831,140.078873,904.542725,181.688629,,,,325.781891,687.437439,95.965584,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,248.110825,583.695740,85.667702,230.074875,724.332703,91.451927,156.599197,904.371094,316.717041,141.189285,903.293274,181.488876,,,,326.797974,687.376404,96.790207,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,250.082123,582.819458,86.660027,231.656265,723.290222,91.360497,157.027664,903.686157,316.202301,142.243301,902.517090,180.936768,,,,328.257751,686.863098,97.786346,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,251.809586,581.987976,86.897614,232.864044,722.310608,91.516014,157.357056,903.067688,315.833710,143.137009,901.601501,179.773743,,,,329.260712,686.469177,98.294525,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,254.315842,581.285034,87.083084,234.120102,721.232971,91.865929,157.643387,902.406616,315.514618,143.983871,900.458008,178.952484,,,,330.668304,685.784912,98.569824,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,256.009521,580.827026,87.275581,235.248352,720.381042,91.931496,157.955536,901.647644,315.102905,144.575775,899.699219,178.072281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,258.239868,580.135864,87.361511,236.467316,719.530884,91.800125,158.321945,900.947815,314.580872,144.934784,898.649414,177.904755,,,,,,,333.790619,684.373169,97.382187,,,,,,,,,,,,,,,,,,,,,,,,
36,259.841888,579.481262,87.335136,237.962753,718.557312,91.837379,158.602264,900.285767,314.168793,145.297745,897.375427,177.897354,,,,,,,335.095459,683.927002,98.185753,,,,,,,,,,,,,,,,,,,,,,,,
37,262.455811,578.559875,86.830902,239.631134,717.712769,91.191147,159.041489,899.549866,313.419495,146.016632,896.558716,177.412964,,,,,,,336.614502,682.770081,97.646843,,,,,,,,,,,,,,,,,,,,,,,,
38,264.489044,577.941467,86.557785,240.782761,716.961914,91.194702,159.112656,898.767090,313.104675,146.693024,895.624146,176.373093,,,,,,,338.207916,681.606201,96.019547,,,,,,,,,,,,,,,,,,,,,,,,
39,266.280975,577.418701,86.658890,242.034439,715.879028,91.348068,159.250153,898.065491,312.753967,147.617950,894.458313,175.514969,,,,,,,339.361755,680.318848,94.940720,,,,,,,,,,,,,,,,,,,,,,,,
40,269.025238,576.895935,85.833893,243.139481,714.901611,90.770004,159.610306,897.373535,312.194794,148.249664,893.676575,174.907974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,271.286926,576.617065,85.213699,244.493851,714.168030,90.450294,160.213715,896.549561,311.661957,149.013901,892.642273,174.879562,,,,,,,,,,342.307281,677.525940,91.981430,,,,,,,,,,,,,,,,,,,,,
42,274.242340,576.433044,84.420235,246.086975,713.247620,89.731430,160.526169,895.765381,311.192688,149.326035,891.378052,174.744843,,,,,,,,,,342.945679,675.944153,90.747566,,,,,,,,,,,,,,,,,,,,,
