Grasp30
Date:,2025/04/16
Time:,11:09:47
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,918.701721,554.735596,64.197243,789.364136,512.434998,31.562099,863.252502,479.984741,30.498337,1112.786255,813.624695,327.185486,1027.193237,758.950928,132.769379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918.725281,554.678833,64.227509,789.415833,512.440491,31.520689,863.256958,480.081421,30.403648,1112.783447,813.670349,327.191101,1027.136230,759.074768,132.835968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918.735046,554.750732,64.216492,789.452271,512.426941,31.549253,863.242493,480.055237,30.449011,1112.819824,813.620850,327.221466,1027.037720,759.110229,132.785995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918.789001,554.740295,64.206055,789.365479,512.448975,31.523956,863.299500,479.995453,30.492805,1112.858032,813.652100,327.255432,1027.115601,759.158569,132.590363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918.806458,554.745972,64.206604,789.515991,512.418396,31.564867,863.314026,479.976440,30.501827,1112.970215,813.631592,327.317932,1027.221558,759.222534,132.466751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918.822937,554.818420,64.181984,789.401917,512.318115,31.431837,863.279480,479.973846,30.496033,1113.012451,813.671082,327.357391,1027.223145,759.273865,132.361374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918.890320,554.837830,64.188446,789.452332,512.392822,31.300760,863.316833,479.940216,30.531307,1113.006104,813.701355,327.412079,1027.053223,759.444336,131.922882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918.967896,554.846252,64.177223,789.496277,512.568359,31.523142,863.373962,479.941833,30.571148,1112.990967,813.697388,327.398865,1027.022949,759.573853,131.815521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,919.018738,554.937439,64.181480,789.564575,512.705444,31.612192,863.361938,479.915070,30.490416,1113.047852,813.741699,327.454865,1026.846802,759.694946,131.783997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,919.097290,555.083618,64.117455,789.644653,512.675476,31.675280,863.413452,479.847168,30.470938,1113.157593,813.797913,327.551453,1026.859375,759.840637,131.674850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
