Grasp123
Date:,2025/04/23
Time:,11:18:14
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,901.646362,523.338562,62.307140,771.785278,484.897797,30.103079,853.497925,450.556335,31.373447,1065.978027,821.717834,482.471558,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,901.646362,523.338562,62.307140,771.785278,484.897797,30.103079,853.572388,450.548035,31.322395,1066.080811,821.720947,482.412109,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,901.590637,523.347290,62.270985,771.735291,484.906464,30.123884,853.527527,450.558624,31.367029,1066.183594,821.720764,482.456970,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,901.624817,523.347412,62.319614,771.735413,484.914795,30.126293,853.545654,450.560333,31.380724,1066.195190,821.720520,482.470428,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,901.566650,523.324829,62.262577,771.774170,484.903870,30.160717,853.489990,450.596863,31.337420,1066.331299,821.716431,482.472107,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,901.621765,523.319824,62.276657,771.768921,484.907013,30.138134,853.433960,450.606689,31.336805,1066.388428,821.778809,482.479980,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,901.601257,523.247192,62.353416,771.778137,484.902710,30.157703,853.395508,450.582642,31.363008,1066.441772,821.780640,482.537018,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,901.552368,523.288940,62.383980,771.752136,484.904053,30.207165,853.420349,450.591492,31.357496,1066.502197,821.722778,482.451172,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,901.563477,523.240112,62.384377,771.720764,484.904205,30.149431,853.447144,450.583954,31.350573,1066.499634,821.817322,482.556152,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,901.516235,523.198120,62.457119,771.759277,484.909821,30.128675,853.436829,450.596558,31.345339,1066.582764,821.878540,482.560760,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,901.477295,523.182007,62.465229,771.768677,484.896179,30.162899,853.401367,450.581665,31.362110,1066.603638,821.875610,482.657288,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,901.427063,523.128540,62.515987,771.743958,484.910431,30.130209,853.392151,450.573608,31.372099,1066.802246,821.858032,482.734467,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,901.373047,523.082703,62.580318,771.727661,484.909393,30.125750,853.357971,450.592010,31.330492,1066.936401,821.852905,482.790588,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,901.360657,523.089478,62.569588,771.665405,484.959595,30.055775,853.354248,450.601990,31.316372,1067.062378,821.840088,482.799011,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,901.286377,523.073792,62.617741,771.643799,484.968231,30.109802,853.357117,450.601837,31.317398,1067.194824,821.912354,482.947906,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,901.260620,523.075134,62.615437,771.709229,484.909607,30.138306,853.313782,450.595795,31.333057,1067.280884,821.934753,483.016479,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,901.348816,523.135986,62.451084,771.676941,484.923737,30.127287,853.301331,450.592346,31.341579,1067.349487,821.917236,483.095398,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,901.366394,523.117859,62.564392,771.551086,485.010895,29.972622,853.260254,450.617340,31.377445,1067.437622,821.948608,483.203400,,,,,,,,,,,,,,,,,,,,,,,,,,,
