Grasp120
Date:,2025/04/26
Time:,15:57:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
17,850.013977,785.853333,73.343773,1136.617798,755.501892,319.905518,1186.580322,829.278748,189.895569,922.539917,695.940857,58.249332,982.454834,773.144043,82.511124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,849.328491,786.076782,75.727661,1136.265625,755.434265,319.576263,1185.991089,829.117188,189.636826,921.496094,694.707336,60.943420,981.556274,772.263977,83.124779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,847.814087,785.797729,78.289841,1135.772827,755.323425,319.060577,1185.554321,828.758789,189.391541,920.238953,693.526733,63.702858,980.157593,771.507629,84.556374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,847.203064,785.481934,79.705399,1135.442261,755.142578,318.670807,1184.695068,828.280945,188.603104,919.011475,692.375122,65.393730,979.219727,770.734192,85.486488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,846.027405,784.915588,82.426590,1134.940430,755.080383,318.390869,1183.707886,827.882324,187.583389,917.538208,691.554749,67.456703,977.801025,769.390137,86.385544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,844.435242,784.378723,84.683937,1134.292725,754.906677,317.916199,1182.944458,827.507019,186.874680,915.826233,690.268311,69.374840,976.649597,768.291443,86.975990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,843.481384,783.520020,86.633438,1133.630859,754.694946,317.422974,1182.406494,827.200500,186.187378,914.313354,689.223694,72.279358,975.677673,767.551086,87.275856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,842.111084,782.954590,89.008377,1132.920898,754.528564,317.047974,1181.644165,826.845032,185.488754,913.052673,687.892883,74.212753,974.276917,766.485901,88.670822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,840.768127,782.467468,90.605934,1132.290405,754.449341,316.698578,1180.646484,826.589539,184.515823,911.885254,686.473572,75.910881,972.606628,765.200989,90.004166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,839.413269,781.574219,92.748993,1131.690674,754.379578,316.279938,1179.610229,826.185303,183.870560,910.592163,685.224976,77.777481,971.059937,763.999268,91.196526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,838.048218,780.638855,94.369095,1131.150879,754.159302,315.894958,1178.252686,825.621704,182.978531,908.864136,684.138306,79.688416,969.294312,762.980164,92.171440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,836.561951,779.771973,96.353424,1130.346191,754.079956,315.215363,1176.840454,825.033203,182.084290,907.092224,682.911072,82.420135,968.042358,761.975464,92.515015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,835.422058,779.011719,97.775696,1129.624756,753.940857,314.673096,1175.472290,824.582092,181.598343,904.700806,681.286926,84.771126,966.803955,760.535095,93.026382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,833.437195,778.231628,99.562599,1129.216064,753.497375,314.580597,1174.348022,824.091492,181.226746,903.300476,680.152588,86.402573,965.578613,759.515320,93.701859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,832.347046,777.610779,100.787437,1128.519897,753.279297,314.010132,1172.801514,823.757141,180.153061,902.343750,678.840637,87.759819,964.012207,758.147034,94.401207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,830.681274,776.504272,102.144638,1127.546387,753.097351,313.436768,1171.744995,823.446167,179.488022,900.388611,677.491577,89.731461,962.210144,756.791199,95.245758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,829.368652,775.475098,103.393539,1126.716064,752.948730,312.910767,1170.484985,823.032532,178.358536,899.073486,676.050232,91.500694,960.316284,755.600098,96.461151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,827.885559,774.567261,105.047409,1126.014282,752.694214,312.484589,1169.077271,822.255432,177.247833,897.348450,674.702515,93.552284,958.218872,754.518982,97.492004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,826.443298,773.744507,105.846237,1125.393066,752.440796,312.070496,1168.010498,821.707947,176.698685,895.965454,673.231201,95.664780,956.946777,753.271912,97.912743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,824.891785,772.763672,107.122665,1124.478882,752.210571,311.358185,1166.063354,821.325867,175.969696,894.658203,671.985352,96.916031,955.229187,751.837158,98.807114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,823.612671,771.558411,108.589691,1123.437500,751.934998,310.526947,1164.062500,820.931396,175.260773,892.634644,670.635925,98.507919,953.924194,750.722473,99.257339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,821.825195,770.608459,109.698402,1122.711060,751.695435,310.178192,1162.963257,820.522461,174.785446,891.242676,669.156921,100.149940,952.423706,749.191223,99.517532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,820.447815,769.500183,110.523460,1121.895264,751.625061,309.809143,1161.395142,819.959839,173.446747,889.696655,667.785889,101.811417,950.730042,748.276978,100.228935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,818.639465,768.225891,111.221222,1120.823242,751.512329,309.719330,1160.010986,819.368469,172.659058,888.686035,666.495239,102.448814,948.632996,746.944275,101.315773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,817.153137,766.881714,112.392914,1119.625610,751.210266,309.216736,1158.605103,818.861572,171.741150,886.788025,665.133789,103.877075,947.044861,745.458008,101.773949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,815.877686,765.696533,113.529465,1118.542358,750.841248,308.689148,1156.755371,818.430176,171.183945,885.463135,663.423523,105.483093,945.509094,744.342102,102.249619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,814.120422,763.905701,114.435516,1117.811401,750.540588,308.267548,1155.135376,817.874084,170.697311,884.573914,662.122498,105.954971,943.665283,742.825684,102.873207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,812.785400,762.726440,114.880638,1117.168091,750.163086,308.026917,1153.533081,817.300049,169.941040,882.988098,660.555603,106.856339,942.438721,741.470276,102.790810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,810.866699,761.064636,116.104546,1116.213989,749.851868,307.418488,1152.096680,816.920349,168.966736,881.537659,658.719971,107.811378,941.302917,740.266846,102.729111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,809.717590,759.529053,116.654488,1114.779175,749.630737,306.766510,1150.813232,816.498291,168.195190,880.384521,657.652100,108.115799,940.125244,739.049683,102.790405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,808.628784,758.223206,116.896156,1113.587891,749.447632,306.387451,1149.269165,816.024231,167.549454,879.605652,656.041138,109.070526,938.481506,737.669861,103.328484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,806.760681,756.545776,117.910255,1112.696289,749.292236,306.221313,1147.493530,815.584961,167.527405,878.616211,654.688171,109.755875,936.345825,736.587769,104.083755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,805.101013,755.295776,118.460625,1111.807373,749.153809,305.882355,1145.821289,815.054871,166.667618,877.051514,653.438232,110.273155,935.250854,735.680176,104.337746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,803.960144,754.057678,118.255630,1110.853149,748.879822,305.456757,1144.583252,814.438843,165.744278,875.354553,651.745605,111.896217,933.510681,734.234314,104.806618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,802.408203,752.375366,118.976715,1109.828613,748.618286,305.311707,1143.393921,813.900146,165.040634,873.782043,650.664124,112.482666,931.825989,732.979492,105.165337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
