Grasp107
Date:,2025/04/23
Time:,10:06:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,1220.350342,884.424683,479.325928,833.728760,832.523560,36.239773,967.015259,828.530640,77.931694,1214.451050,918.117126,276.691376,899.345032,768.741516,33.601418,,,,,,,,,,,,,,,
33,1220.075928,884.368835,479.359802,833.228455,832.730957,36.563728,966.385437,828.264221,79.260101,1214.539551,918.183777,276.797424,899.049622,767.968628,33.756226,,,,,,,,,,,,,,,
34,1219.868286,884.360718,479.439789,832.502869,832.827576,37.150742,965.523804,827.915833,80.176758,1214.598267,918.277466,276.858185,899.019653,766.646179,34.083912,,,,,,,,,,,,,,,
35,1219.675293,884.349915,479.434723,831.957520,833.032227,37.839733,964.845154,827.302246,81.235527,1214.598145,918.348938,276.861938,898.205688,765.147034,35.028072,,,,,,,,,,,,,,,
36,1219.456177,884.299255,479.390045,831.420288,833.240845,38.848770,964.340088,826.702271,82.363564,1214.587280,918.345886,276.877838,897.780518,764.047485,36.041981,,,,,,,,,,,,,,,
37,1219.346191,884.277771,479.429413,830.857910,833.270569,40.552967,963.944031,826.044067,83.293419,1214.589600,918.383667,276.930786,897.513367,762.974060,37.085632,,,,,,,,,,,,,,,
38,1219.146973,884.228394,479.512695,830.215210,833.145264,42.343987,963.298035,825.277832,84.335808,1214.588135,918.342957,276.952820,897.076721,761.519104,38.499866,,,,,,,,,,,,,,,
39,1219.112793,884.212158,479.525543,829.274353,833.090393,44.406101,962.168152,824.462708,85.524757,1214.449463,918.333862,276.921722,896.964661,759.689453,40.239876,,,,,,,,,,,,,,,
40,1219.024536,884.142944,479.455109,827.804321,832.327454,47.106388,961.244080,823.530762,86.759697,1214.345581,918.309204,276.982880,896.415283,757.657776,42.472431,,,,,,,,,,,,,,,
41,1218.882813,884.075623,479.531281,826.615540,831.586365,49.141636,961.001892,822.646423,88.025696,1214.185059,918.253540,276.998901,896.073730,755.977112,43.966129,,,,,,,,,,,,,,,
42,1218.712891,884.011658,479.614838,826.129578,830.552063,51.501606,960.362610,821.674622,89.463516,1213.981567,918.166260,276.981018,896.714600,754.105164,45.096741,,,,,,,,,,,,,,,
43,1218.590820,883.954407,479.668152,825.023804,829.159180,53.997108,959.613220,820.282898,90.803589,1213.731934,918.038391,276.955170,895.953430,752.056030,47.307518,,,,,,,,,,,,,,,
44,1218.414917,883.869019,479.691406,824.084778,827.344482,56.722061,958.740540,819.128845,92.400635,1213.461426,917.927124,276.927582,895.913269,749.353455,49.620510,,,,,,,,,,,,,,,
45,1218.277588,883.811462,479.689880,823.111450,825.630859,58.686840,958.249512,818.108398,93.532784,1213.034180,917.800598,276.774750,896.672119,746.898926,51.068001,,,,,,,,,,,,,,,
