Grasp32
Date:,2025/04/16
Time:,10:32:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,900.913574,518.981018,56.178135,774.047424,475.614349,29.459362,841.710632,445.963776,30.244699,1007.428223,658.673950,241.099609,1042.355347,634.011475,387.133606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,900.691101,518.866211,56.260948,773.986938,475.504486,29.515625,841.673218,445.988495,30.198196,1007.273621,658.692688,241.276779,1042.485229,634.021729,387.157166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,900.558777,518.633728,56.471584,773.998901,475.385742,29.461840,841.638489,445.972168,30.208982,1007.148254,658.694946,241.386658,1042.611572,634.043884,387.186859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,900.382690,518.405151,56.571262,773.963989,475.175323,29.455053,841.559814,445.936249,30.193604,1006.895508,658.761841,241.463531,1042.803101,634.131470,387.292877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,900.197144,518.168579,56.708046,773.937622,475.039642,29.518009,841.440491,445.876648,30.140673,1006.813477,658.863525,241.507477,1043.007324,634.171204,387.355316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,899.844910,518.004456,56.808041,773.816528,474.821625,29.539864,841.348022,445.756348,30.134905,1006.869202,658.892395,241.590561,1043.201904,634.285583,387.381012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,899.836548,517.941284,56.786316,773.701721,474.701752,29.543941,841.275391,445.734222,30.149935,1007.060120,658.933167,241.650146,1043.482178,634.481384,387.402283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,899.421997,517.867615,57.197552,773.563721,474.604065,29.497854,841.136902,445.655396,30.114471,1006.941772,659.124146,241.705215,1043.820557,634.774048,387.252930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,898.936279,517.838074,57.509380,773.377319,474.412567,29.523535,840.907288,445.516388,30.178450,1006.954590,659.276733,241.913406,1044.248291,634.846313,387.700958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,898.548096,517.796448,57.960083,773.195129,474.286499,29.552090,840.665039,445.343689,30.218506,1007.026978,659.590881,242.084244,1044.418457,634.946594,387.899658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,898.035889,517.699463,58.595951,773.170471,474.040436,29.799583,840.616577,445.214691,29.809195,1007.124084,660.057556,242.262512,1044.638550,635.006958,387.951782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,897.453430,517.496155,59.235184,772.919983,473.953613,30.047153,840.496582,445.105957,29.730726,1007.091309,660.804443,242.534210,1044.807007,635.255798,387.973267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,896.687988,517.266724,60.026039,772.639465,473.865814,30.130951,840.303162,444.858978,29.583235,1007.437317,661.561340,242.800934,1044.945435,635.663391,387.995422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,895.771973,517.091003,61.408356,772.259766,473.718048,30.026012,840.050659,444.632172,29.500029,1007.843811,662.288940,243.008026,1045.136353,636.102173,388.008240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,894.646057,517.231323,62.581806,771.725037,473.405273,29.604692,839.841370,444.467621,29.321070,1008.640686,662.975159,243.082672,1045.400635,636.776062,387.964417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,893.469116,517.021179,63.630875,771.186157,473.602173,29.378250,839.705444,444.097321,28.959198,1009.444275,663.899231,242.983948,1045.580566,637.566101,387.876862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,892.178223,516.466370,65.436722,770.729004,473.558990,29.123322,839.440308,443.749176,28.860489,1009.981628,665.436829,243.025467,1046.099121,638.276672,387.419952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,891.313477,516.188293,67.317062,770.268494,473.378082,29.090309,839.065247,443.352722,28.862680,1010.714539,666.560303,243.229538,1046.798950,638.833130,387.055634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,890.365112,516.032837,69.034462,769.800537,473.194519,29.118172,838.937744,443.015198,29.008461,1011.891174,667.496887,243.268616,1047.628784,639.434814,386.743652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,889.282410,516.040955,70.899132,769.646851,473.025116,29.339943,838.773865,442.580292,29.310759,1012.790955,669.050354,243.210403,1048.245728,640.812073,386.437347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
