Grasp68
Date:,2025/04/22
Time:,16:06:55
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,788.761658,485.217743,30.619959,981.665894,692.361023,310.901703,1020.478333,803.380371,506.135986,884.639343,470.453888,31.891666,899.477051,556.553894,73.228539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,788.202576,484.786865,30.496544,982.413147,693.664490,310.844635,1021.377502,803.838623,505.969910,884.441040,469.743774,31.942448,898.725647,555.377014,75.059395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,787.563416,484.235046,30.440010,983.136536,694.768127,310.914581,1021.941833,804.398621,505.886475,884.122192,468.964600,32.113678,898.187744,554.065002,76.536316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,787.115601,483.579285,30.338140,983.485779,695.566284,311.045441,1022.267334,805.033386,505.713013,883.893188,468.054993,32.088097,897.805786,553.096924,77.944916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,786.661133,483.103485,30.332306,984.029968,696.460632,311.462341,1022.779663,805.723267,505.852386,883.877930,467.254669,32.246796,897.424866,551.842896,79.619308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,786.296631,482.692017,30.029936,984.650391,697.610962,311.253479,1023.372131,806.289856,505.931732,883.642395,466.656616,32.623161,896.628723,550.430359,81.686470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,786.190063,482.136505,30.101934,986.014709,698.496643,311.868561,1024.527344,806.750488,505.414459,883.747498,466.006256,33.165768,896.078979,549.504150,83.729767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,785.981628,481.698944,30.203735,986.679565,699.315063,312.289917,1025.072876,807.318359,505.469208,884.251160,465.108124,33.762119,895.729980,548.685974,85.566849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,785.841736,481.235840,30.240225,987.254395,700.454407,312.382202,1025.383789,807.810059,505.761902,884.820984,463.653809,34.639812,895.406799,547.261536,87.603104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,785.637268,480.896881,30.205269,987.984680,701.547302,312.601379,1026.015259,808.297607,505.931427,885.567566,462.117371,35.058117,894.774170,546.016174,89.823730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
