Grasp124
Date:,2025/04/30
Time:,17:42:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,824.822083,494.208069,32.530712,930.481567,547.031799,97.988777,887.597961,468.428009,39.031708,1117.152100,759.923462,464.267395,1049.968262,733.431030,261.748932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,828.433472,495.769806,33.174950,931.004272,549.234253,100.174515,886.148193,471.402374,41.585739,1118.825195,760.601196,464.625885,1052.109253,735.431641,261.801666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,832.083435,497.200439,33.870628,931.498169,551.450012,102.005798,884.962524,474.364197,44.302647,1120.620361,761.363037,464.883698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,835.428101,499.073822,34.564144,931.982483,553.737793,104.097862,883.890381,477.480316,47.049824,1122.487793,761.904358,464.435120,,,,1056.968262,739.541138,261.450256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,839.217407,500.666290,34.911823,932.820801,556.320984,105.836700,883.090820,480.391052,49.471485,1124.035156,762.683960,464.694275,,,,1058.528931,741.432861,262.283051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,842.516907,502.685791,36.703705,933.357483,558.925293,107.657059,882.531311,483.365936,51.998703,1126.058838,763.457764,465.232635,,,,1061.042114,743.513672,262.525391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,846.058716,504.305695,38.778282,934.645752,561.220276,109.217110,882.252991,486.382904,54.792011,1127.859741,764.154907,465.050629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,849.092468,506.313385,40.953625,935.459106,564.091553,111.209373,881.986877,489.443298,57.398540,1129.650269,764.810425,465.273651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,851.809937,508.029663,43.606583,936.436523,566.753479,112.994789,882.059326,492.279480,59.167824,1131.350708,765.475647,465.925903,,,,,,,1068.660645,749.799561,262.970886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,854.564758,509.920471,45.665146,937.883118,569.567871,114.443970,882.741760,495.460876,61.225311,1132.947876,766.328186,465.969910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,856.872986,512.029541,47.966759,939.126038,572.335327,115.883820,883.260315,498.699432,63.143368,1135.082886,766.810486,466.310547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,858.475586,514.349304,50.718018,940.622620,575.526733,117.390907,884.158569,501.661377,65.332970,1136.691162,767.556885,467.075836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,860.541138,516.886536,52.563335,941.817627,578.438354,118.425621,885.421631,504.628906,66.944801,1138.141968,768.247192,467.248169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,862.305542,519.614807,54.586960,943.802490,581.517517,119.641197,886.833557,507.543243,68.772621,1139.902954,769.126038,467.399689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,863.626587,522.409363,56.463356,945.290466,584.495483,120.809654,888.519592,510.286896,70.119011,1142.063354,769.783936,467.792297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,865.158630,525.433899,58.507942,947.234985,587.586670,121.780388,890.158752,512.946716,71.729080,1143.417847,770.448730,468.199127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,866.634033,528.697510,59.466606,949.223816,590.864929,122.648361,892.090576,515.705627,73.357056,1144.769531,771.092041,468.639404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,868.035034,532.191467,61.324505,950.952454,593.939148,123.784401,893.970154,518.714417,74.264481,1147.053711,772.052063,469.159088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,869.354004,535.817871,62.749187,953.105286,597.305664,124.213768,895.718994,521.913452,75.447510,1148.521118,772.753967,469.330292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,870.996216,539.368103,63.972252,955.117371,600.712341,125.011162,897.629395,524.997620,76.322006,1150.087891,773.299072,470.021088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,872.578247,543.008789,64.881020,956.928284,603.884766,125.296471,899.173096,528.643616,77.103325,1151.794434,773.973938,470.779175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,873.762573,546.961670,66.349777,959.413086,607.443970,125.693153,900.862000,532.280701,77.773384,1153.513306,774.853149,470.986664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,874.937439,550.953125,68.109161,961.677185,611.028809,125.943695,902.477417,535.880066,77.979134,1155.352661,775.553589,471.321503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,876.058960,555.098816,69.000610,963.311707,614.578247,126.675179,904.007751,539.949524,78.730064,1156.834961,776.136230,472.061981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,877.047058,559.553894,69.792465,965.320068,618.146362,126.736328,905.290405,544.000366,79.143768,1158.003296,776.837219,472.289612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,877.995361,564.105774,71.138458,967.360168,622.236816,127.648880,906.496765,548.105774,80.221046,1159.950562,777.616821,472.644531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
