Grasp118
Date:,2025/04/26
Time:,15:57:11
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,1135.840332,755.740845,326.898224,1186.624756,833.668152,199.516907,862.671326,779.548340,46.304241,931.397217,709.720154,35.409378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1135.523438,755.802673,326.893524,1186.587891,833.651917,199.302353,862.872681,780.221069,47.741386,930.688293,708.175903,35.978222,991.136108,779.077759,74.901482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1135.591431,756.627136,326.989441,1186.336426,833.577820,198.867676,858.615356,780.704468,53.589901,929.898376,706.713989,37.164146,990.955688,778.435913,75.703255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1135.476685,756.678955,326.882111,1185.927734,833.455017,198.315277,857.095459,781.280396,57.872158,929.000366,705.156555,38.358051,990.536926,777.835815,76.383415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1135.473145,755.877625,326.384094,1185.527100,833.427917,197.851028,856.689087,782.051880,60.149483,928.310974,704.075439,40.262779,989.748169,776.942139,77.147720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1135.446655,755.727844,326.125793,1185.062988,833.333740,197.257919,855.743713,782.340515,62.573929,927.328430,702.830994,42.766190,989.103210,776.210999,78.031219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1135.433960,755.693054,325.725830,1184.707520,833.109436,196.903900,854.990906,782.541504,64.653130,926.024414,701.589111,45.653675,988.330261,775.667419,79.068260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1135.239868,755.630554,325.314026,1184.444214,832.940796,196.739471,853.863220,782.546204,66.974464,924.582825,700.329773,48.350925,987.384216,774.773071,79.935020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1134.896851,755.570007,324.728149,1184.110962,832.610596,196.182007,852.824341,782.227173,69.775818,922.929443,699.271973,51.076874,986.228333,773.628113,81.043335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1134.585083,755.506531,324.366272,1183.401489,832.297974,195.431732,851.354736,782.062805,71.950447,920.943481,698.297363,54.237244,984.899475,772.669495,82.278976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1134.264404,755.350159,323.953705,1182.435791,831.944336,194.750061,850.143738,781.497620,74.522102,919.183289,697.218689,57.523338,983.724243,771.988831,83.220589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1133.585815,755.276245,323.342987,1181.616699,831.543884,193.958374,849.470581,781.148560,76.139740,917.090576,696.442993,60.286583,982.062805,770.841003,84.659332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
