Grasp75
Date:,2025/04/22
Time:,16:53:05
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,1103.706299,847.502869,466.573456,927.388977,825.923950,71.038902,854.161438,776.060059,33.859272,792.475159,818.012878,34.806870,1068.502808,896.958008,286.753723,,,,,,,,,,,,,,,
2,1103.610107,847.520752,466.560577,927.403503,825.916870,70.993141,854.092712,776.057434,33.882813,792.534180,818.004028,34.860699,1068.398560,896.955261,286.816559,,,,,,,,,,,,,,,
3,1103.437866,847.557678,466.735718,927.402649,825.925232,71.017006,854.079102,776.056091,33.891556,792.516663,818.021240,34.799435,1068.386841,896.955933,286.822723,,,,,,,,,,,,,,,
4,1103.493286,847.476440,466.794434,927.382935,825.984985,71.116905,854.086914,776.056213,33.888134,792.566040,818.050232,34.718761,1068.303467,896.952148,286.874268,,,,,,,,,,,,,,,
5,1103.331787,847.515686,466.707031,927.400024,826.000061,71.137283,854.092957,776.140198,33.868931,792.555969,818.039551,34.724842,1068.199585,896.903870,286.933929,,,,,,,,,,,,,,,
6,1103.284058,847.522827,466.716583,927.418823,826.033203,71.037994,854.094971,776.090637,33.867619,792.529419,818.029358,34.757881,1068.194580,896.853638,286.922668,,,,,,,,,,,,,,,
7,1103.293213,847.506042,466.813904,927.438599,826.012024,71.071999,854.149475,776.056335,33.864933,792.513123,818.025818,34.778446,1068.017944,896.833618,286.928436,,,,,,,,,,,,,,,
8,1103.190552,847.556885,466.839081,927.535461,826.046936,71.525291,854.114014,776.051270,33.874310,792.564270,818.018494,34.828255,1067.884766,896.804504,286.980286,,,,,,,,,,,,,,,
9,1103.139893,847.520020,466.856476,927.392700,826.075378,71.266510,854.090149,776.055298,33.884235,792.495850,818.013489,34.808071,1067.788452,896.751587,287.040070,,,,,,,,,,,,,,,
10,1103.051758,847.519287,466.812622,927.406738,826.099243,71.096138,854.070984,776.155273,33.928078,792.497559,818.023071,34.786991,1067.634766,896.697388,287.043610,,,,,,,,,,,,,,,
11,1103.006226,847.517090,466.841858,927.446045,826.107056,71.063477,854.080078,776.174133,33.881008,792.553772,818.030762,34.871243,1067.543701,896.691650,286.994934,,,,,,,,,,,,,,,
12,1103.005859,847.455750,466.845947,927.381653,826.122437,71.191780,854.077698,776.183350,33.907639,792.579834,818.108398,34.850334,1067.448608,896.691650,287.040375,,,,,,,,,,,,,,,
13,1102.965210,847.441711,466.779388,927.298950,826.115967,71.182266,854.086487,776.163879,33.874477,792.586304,818.041443,34.818890,1067.442749,896.645508,287.048828,,,,,,,,,,,,,,,
14,1102.862915,847.388794,466.790802,927.411743,826.150269,71.525497,854.021729,776.162964,33.975777,792.595337,818.103699,34.811493,1067.362305,896.634033,287.102631,,,,,,,,,,,,,,,
15,1102.805054,847.328430,466.761993,927.283752,826.129395,71.290009,853.984802,776.156006,34.033401,792.545898,818.136353,34.762524,1067.313843,896.628174,287.113586,,,,,,,,,,,,,,,
16,1102.754150,847.278076,466.757446,927.242004,826.170898,71.113739,853.961426,776.108704,33.982052,792.504211,818.125793,34.773422,1067.172485,896.570557,287.136017,,,,,,,,,,,,,,,
17,1102.743652,847.273865,466.763519,927.262756,826.191101,71.081947,854.045898,776.154419,33.942455,792.571106,818.120117,34.822952,1067.083252,896.524292,287.060699,,,,,,,,,,,,,,,
18,1102.755493,847.189758,466.741516,927.285461,826.270569,71.064514,854.042664,776.161621,33.940193,792.597046,818.121033,34.824154,1067.055054,896.510193,287.169281,,,,,,,,,,,,,,,
19,1102.611084,847.165527,466.736572,927.282776,826.260986,71.165871,854.063538,776.174194,33.933960,792.552063,818.133240,34.841442,1066.973755,896.502808,287.159698,,,,,,,,,,,,,,,
20,1102.575439,847.175598,466.729858,927.265747,826.269836,71.110329,854.054199,776.186829,33.973278,792.503540,818.140564,34.840492,1066.829102,896.437378,287.219147,,,,,,,,,,,,,,,
21,1102.518799,847.086792,466.674652,927.312012,826.290344,71.074379,854.042725,776.185486,33.993229,792.477356,818.161926,34.848495,1066.695923,896.433777,287.262421,,,,,,,,,,,,,,,
22,1102.456055,847.044189,466.712250,927.296570,826.292969,71.077164,854.001343,776.162903,34.014690,792.546143,818.137207,34.892792,1066.680176,896.439453,287.265472,,,,,,,,,,,,,,,
23,1102.383423,847.043213,466.631775,927.281311,826.383240,71.122543,854.044250,776.164490,33.960728,792.566711,818.140320,34.849991,1066.692871,896.439941,287.261230,,,,,,,,,,,,,,,
24,1102.326416,846.990967,466.594177,927.245544,826.411377,71.125328,854.055847,776.183838,33.969509,792.650269,818.247437,34.819759,1066.695435,896.422485,287.259430,,,,,,,,,,,,,,,
25,1102.267822,846.912354,466.596588,927.214478,826.420715,71.187378,854.066406,776.178772,33.939766,792.656799,818.267395,34.813442,1066.632690,896.424561,287.316681,,,,,,,,,,,,,,,
26,1102.219482,846.912415,466.620453,927.198669,826.414795,71.215416,854.053772,776.185181,33.970387,792.668762,818.267944,34.807121,1066.589600,896.419006,287.329773,,,,,,,,,,,,,,,
