Grasp17
Date:,2025/04/08
Time:,13:42:52
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,473.633698,598.500244,21.845049,427.220886,722.223267,55.152943,500.466431,673.032776,21.305435,139.404587,899.111572,446.205872,252.667206,815.903381,273.173676,,,,,,,,,
2,473.882416,598.539185,22.039423,427.090607,722.195801,55.302055,500.630829,673.057129,21.158361,139.442490,899.234985,446.020813,252.586716,815.899658,273.180389,,,,,,,,,
3,473.870605,598.640808,21.938683,427.159821,722.207397,55.212261,500.626007,673.042236,21.140560,139.469437,899.253967,445.990265,252.517990,815.908020,273.142242,,,,,,,,,
4,473.827881,598.664978,21.935946,427.278931,722.209534,55.217876,500.512421,673.059631,21.299377,139.415985,899.424377,445.954895,252.440521,816.004639,273.120850,,,,,,,,,
5,473.869934,598.559937,22.053869,427.253876,722.205261,55.241768,500.637024,673.083862,21.238541,139.373215,899.538452,445.897736,252.303925,816.036621,272.997955,,,,,,,,,
6,473.859070,598.604614,21.990101,427.204681,722.204834,55.321293,500.707275,673.099182,21.207035,139.377258,899.635559,445.779480,252.191116,816.118652,272.989563,,,,,,,,,
7,473.838562,598.636108,21.963520,427.203033,722.171692,55.357059,500.589874,673.063293,21.342791,139.341782,899.634766,445.781860,252.047379,816.135925,272.899139,,,,,,,,,
8,473.848877,598.546326,22.069262,427.185883,722.177979,55.388458,500.669434,673.129333,21.273012,139.337250,899.813721,445.711945,251.873169,816.239746,272.825531,,,,,,,,,
9,473.847534,598.526062,22.099894,427.318878,722.155273,55.557404,500.709198,673.112793,21.168056,139.305038,899.935059,445.591125,251.667465,816.263184,272.707642,,,,,,,,,
10,473.862305,598.539063,22.086870,427.323273,722.066467,55.631424,500.774536,673.106934,21.179213,139.336411,900.132996,445.415039,251.405136,816.278381,272.594269,,,,,,,,,
11,473.858490,598.537598,22.078644,427.287292,722.041565,55.679298,500.778046,673.063721,21.232979,139.347595,900.233765,445.408234,251.187424,816.346130,272.373596,,,,,,,,,
12,473.850342,598.541016,22.101254,427.297302,722.037903,55.790379,500.799896,673.072998,21.261919,139.263947,900.413208,445.266357,251.004959,816.370728,272.229340,,,,,,,,,
13,473.814514,598.463989,22.113626,427.208923,721.975464,55.890419,500.808380,673.063293,21.209421,139.228149,900.612183,445.192841,250.702301,816.398926,271.966797,,,,,,,,,
14,473.756775,598.507996,22.002256,427.206543,721.918457,55.986687,500.811035,673.113098,21.188749,139.128464,900.805054,445.075684,250.398026,816.407959,271.827667,,,,,,,,,
15,473.758911,598.522827,22.045437,427.229187,721.809998,56.158623,500.806152,673.140930,21.242205,138.860123,900.909851,445.273071,249.971542,816.548828,271.850830,,,,,,,,,
16,473.714508,598.428711,22.132912,427.176910,721.807678,56.364544,500.947937,673.073975,21.268709,138.650635,901.073975,445.332367,249.513184,816.607544,271.655518,,,,,,,,,
17,473.661652,598.361877,22.206854,427.115814,721.635315,56.577621,500.998535,673.076721,21.297737,138.592148,901.259460,445.216431,249.068192,816.744019,271.354279,,,,,,,,,
18,473.635284,598.303528,22.229961,426.962189,721.507568,56.826496,500.985229,673.117859,21.335342,138.438217,901.550110,445.061249,248.782654,816.843872,271.079224,,,,,,,,,
19,473.533539,598.317383,22.228933,426.729980,721.409302,57.257446,501.071899,673.091980,21.330957,138.337067,901.817749,445.013245,248.427017,816.973572,270.853210,,,,,,,,,
20,473.471832,598.238892,22.308687,426.683838,721.371887,57.541370,501.079163,673.109436,21.414251,138.279953,901.996887,445.006775,248.114899,817.080017,270.769043,,,,,,,,,
21,473.321533,598.197937,22.403622,426.622620,721.258484,57.832497,501.131622,673.222778,21.550072,138.212830,902.158386,444.633820,247.309998,817.147034,270.635162,,,,,,,,,
22,473.195221,598.188782,22.400101,426.552551,721.204895,57.965862,501.346954,673.329285,21.594343,138.117111,902.373779,444.755188,246.700211,817.405945,270.379700,,,,,,,,,
23,473.080811,598.213074,22.365191,426.531494,721.138306,58.197411,501.388092,673.653931,21.697624,137.822021,902.533630,444.957397,246.159653,817.576660,269.798492,,,,,,,,,
24,472.985565,598.218811,22.357229,426.499969,721.112854,58.373821,501.482117,673.833862,21.796925,137.650940,902.706848,444.923096,245.562424,817.875427,269.643372,,,,,,,,,
25,472.869415,598.179810,22.394131,426.288025,721.116333,58.743340,501.528412,674.071716,22.095694,137.554428,902.979980,444.787079,245.028381,818.041504,269.623291,,,,,,,,,
26,472.684113,598.270813,22.360537,426.026886,721.159058,59.286423,501.591583,674.319153,22.167852,137.390152,903.270264,444.650604,244.200638,818.383423,269.447754,,,,,,,,,
27,472.504547,598.346375,22.307404,425.760712,721.252991,59.766048,501.558838,674.675537,22.329906,137.285324,903.625854,444.517212,243.368362,818.738708,269.051422,,,,,,,,,
28,472.231354,598.359680,22.147301,425.451080,721.266418,60.213284,501.512909,675.000854,22.390831,137.130920,903.998718,444.356354,242.414902,819.053284,268.925781,,,,,,,,,
29,471.859985,598.642334,22.440228,425.142700,721.402893,60.587097,501.565796,675.497986,22.522242,136.998840,904.283020,444.288635,241.450958,819.245972,268.655273,,,,,,,,,
30,471.458496,598.891235,22.636005,424.848755,721.607422,60.991764,501.554169,676.016418,22.794191,136.774200,904.625610,444.256775,240.469315,819.619812,268.438721,,,,,,,,,
31,470.906555,599.211609,22.843132,424.383057,721.714539,61.649837,501.550842,676.689819,23.072916,136.589340,905.000305,444.011627,239.487213,820.013672,268.160278,,,,,,,,,
32,470.353821,599.540833,23.296486,423.965698,721.947510,62.074497,501.559845,677.369751,23.189108,136.259796,905.214539,443.884186,238.424149,820.350586,267.821442,,,,,,,,,
33,469.810028,599.842407,23.805622,423.669373,722.346802,62.367008,501.597534,678.060303,23.400791,135.937592,905.450378,443.986572,236.978363,820.762390,267.408508,,,,,,,,,
34,469.279816,600.187073,24.335218,423.373169,722.948181,63.043098,501.550507,678.782837,23.745489,135.612457,905.768372,444.086700,236.195114,821.233032,267.003479,,,,,,,,,
35,468.905090,600.597107,25.115154,423.047241,723.375793,63.968464,501.450409,679.570374,24.296654,135.230911,906.096069,444.235626,234.912094,821.865295,266.331665,,,,,,,,,
36,468.757599,601.152710,25.883738,422.624451,723.833313,64.617241,501.325378,680.447876,24.803289,134.788864,906.508850,444.332733,233.470261,822.478516,265.979889,,,,,,,,,
37,468.323334,601.872253,27.138201,421.916321,724.491699,65.635262,501.020355,681.455505,25.409046,134.396713,907.024902,444.409424,232.127228,823.003784,265.565918,,,,,,,,,
38,467.788544,602.743469,28.584347,421.225098,725.444275,66.267952,500.845703,682.531860,26.438480,134.368713,907.459351,444.048248,230.785965,823.731567,265.077423,,,,,,,,,
39,467.504547,603.553406,30.157251,420.399689,726.523987,66.794937,500.935028,683.546448,27.479298,134.077072,907.903625,443.842163,229.094040,824.406738,264.199310,,,,,,,,,
40,467.479340,604.737793,31.285717,419.745972,727.406372,67.732681,500.881348,684.475281,29.374868,133.706665,908.185364,443.763153,227.893036,825.398193,263.765411,,,,,,,,,
41,467.445770,605.999634,32.853580,419.181915,728.361694,68.431503,500.874298,685.861389,30.551718,133.348862,908.540344,443.797882,226.361938,826.335083,262.962006,,,,,,,,,
42,467.242218,607.232422,34.298038,418.376190,729.932251,69.005875,500.391602,687.433655,31.802578,133.032867,909.112000,443.855133,224.713272,827.173096,262.929108,,,,,,,,,
43,467.301208,608.703186,35.286259,417.501678,731.355042,69.443626,499.803650,689.027222,32.838169,132.644760,909.631714,443.905640,222.871262,827.897827,262.541412,,,,,,,,,
44,467.197174,610.625610,36.310627,416.937866,732.638245,70.256660,499.485443,691.085815,33.794594,132.176529,910.229553,443.927460,221.381134,828.980896,262.394226,,,,,,,,,
45,466.777740,612.436157,37.420544,416.013306,734.277344,71.384277,499.324890,693.102295,34.433483,131.721985,910.588745,444.024139,219.722534,830.082031,261.820343,,,,,,,,,
46,466.494690,614.290894,38.350506,415.224609,735.902222,71.847733,499.014893,695.354370,35.090809,131.547516,911.025940,444.024414,218.089188,831.140381,261.358429,,,,,,,,,
47,466.492004,616.075500,39.411049,414.787354,737.617676,72.072029,498.548737,697.497070,35.775860,131.149277,911.565674,444.062408,216.417023,832.331970,260.660980,,,,,,,,,
48,466.509216,618.234192,40.322441,414.018433,739.825012,72.396866,498.434113,700.286560,36.201485,130.750610,912.099548,444.111359,214.659988,833.516052,259.903259,,,,,,,,,
49,466.769135,620.448425,40.811722,412.858917,741.671997,73.367729,498.211395,702.389282,36.897320,130.357285,912.669861,444.270599,212.877274,834.605530,259.625458,,,,,,,,,
50,466.782684,622.619080,41.268433,412.031677,743.497620,74.213844,497.757751,705.210327,37.439838,129.957428,913.188965,444.362305,210.595566,836.098145,258.945313,,,,,,,,,
