Grasp36
Date:,2025/04/16
Time:,14:17:27
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,935.080322,838.638306,69.489037,795.569702,822.950256,35.910297,887.024536,763.894104,36.820370,1114.053711,941.059998,298.340393,1118.600342,908.582764,440.158966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,935.155273,838.605896,69.612625,795.603638,823.047913,35.925621,886.966980,763.922119,36.754704,1114.144531,941.087402,298.447754,1118.457397,908.540955,440.267181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,935.174316,838.579285,69.556343,795.568420,822.958984,35.945801,886.935181,763.961548,36.794834,1114.014893,941.067444,298.422516,1118.412231,908.528992,440.276794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,935.140930,838.605103,69.503784,795.547729,822.926270,35.962177,886.902710,763.934570,36.794930,1114.001709,940.984009,298.479950,1118.351807,908.484253,440.314575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,935.143250,838.609680,69.588463,795.561951,822.936584,35.958344,886.939148,763.938660,36.771049,1113.960938,940.981812,298.438843,1118.224854,908.464722,440.372437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,935.151367,838.607971,69.519974,795.556152,822.935547,35.955585,886.972168,763.906616,36.827850,1113.956421,940.968567,298.454041,1118.114502,908.431152,440.468475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,935.158142,838.592834,69.418259,795.524414,822.957520,35.873112,886.917847,763.912292,36.803604,1113.929321,940.977905,298.430939,1118.001587,908.432983,440.512939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,935.127197,838.620972,69.518784,795.569458,823.040894,35.896423,886.932800,763.913757,36.892521,1113.860474,940.985107,298.479736,1117.982788,908.387695,440.506287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,935.100647,838.609253,69.397758,795.556091,822.952820,35.949806,886.878723,763.923401,36.875271,1113.847534,940.986206,298.493042,1118.013062,908.354309,440.588196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,935.139832,838.615356,69.468208,795.522583,822.955994,35.881943,886.952759,763.912170,36.744495,1113.852783,940.985535,298.490753,1117.804932,908.286072,440.542694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
