Grasp120
Date:,2025/04/23
Time:,11:17:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,771.008057,860.276245,35.205109,907.213867,849.613159,66.844749,837.867859,791.288635,35.607052,1115.413818,906.253113,337.347626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,771.025940,860.265686,35.153194,907.168579,849.613281,66.823433,837.791992,791.292480,35.689919,1115.335571,906.245667,337.310272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,771.072388,860.246704,35.062069,907.202515,849.613159,66.843895,837.858765,791.291504,35.622837,1115.391846,906.304871,337.251984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,771.080017,860.240906,34.998253,907.176819,849.583923,66.970634,837.859375,791.280762,35.603905,1115.437256,906.355835,337.254150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,771.043701,860.258728,35.117527,907.161438,849.562805,66.982979,837.895996,791.289429,35.575653,1115.501099,906.386475,337.328979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,771.045715,860.285583,35.173100,907.165222,849.476013,66.964149,837.632935,791.329102,35.560520,1115.506592,906.505371,337.307495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,771.012329,860.263916,35.177673,907.068481,849.509766,66.920517,837.680054,791.312622,35.577866,1115.583008,906.525879,337.235657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,771.028381,860.253662,35.195271,907.065430,849.526367,66.937668,837.706360,791.328674,35.489006,1115.701782,906.622131,337.292847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,771.036926,860.270752,35.224285,907.006287,849.462646,67.080315,837.698975,791.232483,35.490425,1115.778931,906.745972,337.339111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,771.035034,860.361633,35.236919,906.842834,849.361938,67.251892,837.664063,791.212280,35.492432,1115.848877,906.887390,337.220154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
