Grasp17
Date:,2025/04/15
Time:,13:41:56
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
23,807.492981,474.319244,30.975191,913.393494,566.712158,64.424591,895.464233,798.132385,260.389496,894.554688,472.922821,31.997330,907.133972,821.166748,440.005951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,807.448975,474.348389,30.908987,913.389099,566.734497,64.428200,895.454407,798.148132,260.405640,894.529053,472.907959,32.020374,907.122742,821.197327,439.974426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,807.403870,474.243103,30.863516,913.437134,566.686218,64.478867,895.511536,798.200806,260.388275,894.515503,472.907806,32.033318,907.124573,821.212463,439.940918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,807.437378,474.310974,30.892445,913.395935,566.703308,64.469658,895.487915,798.248352,260.375336,894.536682,472.889008,32.080784,907.168213,821.311951,439.918915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,807.417114,474.345825,30.946918,913.403198,566.695374,64.492447,895.541321,798.219666,260.344910,894.570068,472.951904,32.050045,907.182129,821.330139,439.910522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,807.547424,474.298523,30.993271,913.383667,566.699341,64.445442,895.523010,798.260132,260.304871,894.539612,472.911346,32.027637,907.153503,821.404541,439.631622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,807.493591,474.308685,30.895966,913.412964,566.729797,64.441643,895.513123,798.271790,260.302979,894.538696,472.884064,32.075428,907.207642,821.446899,439.861481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,807.420044,474.341278,30.929148,913.353271,566.737610,64.409462,895.598328,798.330444,260.256073,894.497253,472.869720,32.106133,907.237000,821.532776,439.863098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,807.413940,474.255402,31.001242,913.356140,566.730530,64.429054,895.666077,798.308960,260.239838,894.513611,472.943878,32.065266,907.201477,821.659607,439.763367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,807.517822,474.298828,30.982536,913.341248,566.732300,64.416069,895.608215,798.329102,260.266754,894.486572,472.890381,32.073490,907.216125,821.664734,439.791656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,807.454651,474.333069,30.970915,913.397400,566.728699,64.448540,895.608643,798.419373,260.263031,894.521606,472.895447,32.083588,907.274841,821.745667,439.784637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,807.493713,474.328491,30.974915,913.429016,566.726257,64.420654,895.508850,798.507751,260.359680,894.522034,472.906403,32.040684,907.304443,821.773621,439.736572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,807.428772,474.341339,30.949865,913.388672,566.712891,64.452904,895.584656,798.463928,260.315613,894.506409,472.895630,32.018917,907.241821,821.824890,439.603424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
