Grasp22
Date:,2025/04/16
Time:,11:09:00
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,901.732422,822.145508,66.864700,1207.563965,997.176697,334.382477,767.738281,802.677063,34.222172,833.766846,756.098022,33.817249,1067.585571,971.830383,147.926529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,901.551941,822.337158,67.183800,1207.312256,997.380981,334.238068,767.781372,802.640259,34.628738,834.568542,755.195557,32.882324,1067.333496,972.074585,147.932190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,901.768311,822.471802,66.988625,1207.009644,997.592590,334.058563,767.888794,802.627991,34.802227,835.615906,754.458374,32.772018,1067.026733,972.521240,147.883575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,902.047424,822.587830,66.924690,1206.519653,997.803162,334.114838,768.070862,802.528259,34.718418,836.624146,753.182617,33.096081,1066.741211,972.949585,147.934860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,902.167236,822.770874,66.974442,1206.112793,998.199036,334.178162,768.372009,802.395081,34.735229,837.536682,751.701233,33.251617,1066.486572,973.315918,147.957672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,902.215210,822.973328,67.192924,1205.329224,998.564636,333.672546,768.496155,802.270203,34.712685,838.412292,750.684814,32.590828,1066.193848,973.721985,147.831268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,902.379578,823.151794,67.388504,1204.835449,998.912964,333.579895,768.451294,802.228821,34.849018,839.920532,749.071777,32.776711,1065.848022,974.240601,147.512863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,902.580444,823.493225,67.416382,1204.538086,999.140625,333.719696,768.225647,802.141052,35.235901,840.678711,747.294434,34.327953,1065.709839,974.632019,147.337387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,902.830688,823.624573,67.532829,1204.114990,999.513672,333.674408,768.149719,801.947327,35.721619,842.535950,744.994812,35.012096,1065.799072,974.878296,147.044586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,903.230225,823.758423,67.735008,1203.516968,999.774780,333.539734,768.467529,801.588257,36.580132,844.812256,742.764893,35.365242,1065.988525,975.179443,146.744568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
