Grasp30
Date:,2025/04/16
Time:,14:07:30
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,799.331299,471.854767,28.993122,863.054138,545.106812,56.891235,727.795349,520.547363,28.657639,1104.996216,698.481506,424.697479,1015.267212,681.296509,172.716629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,799.223083,471.815216,29.026104,863.062378,545.099304,56.848637,727.894592,520.487366,28.367460,1104.952148,698.494202,424.663818,1015.308228,681.393555,172.741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,799.252319,471.813507,29.022449,863.065063,545.130859,56.896629,727.863281,520.542969,28.541265,1104.956055,698.491760,424.661041,1015.326843,681.395020,172.702438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,799.242554,471.891693,28.996553,863.092041,545.145447,56.920376,727.743103,520.557373,28.694468,1104.917114,698.558044,424.602905,1015.393005,681.409424,172.781235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,799.240051,471.915680,28.984335,863.065308,545.143555,56.937920,727.732666,520.640747,28.694242,1104.942383,698.599182,424.622253,1015.442322,681.397156,172.790634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,799.240295,471.911377,28.985691,863.027100,545.187805,57.055519,727.740234,520.651672,28.665586,1105.019165,698.597290,424.699432,1015.390625,681.406372,172.709396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,799.239807,471.906158,28.989193,862.984558,545.153931,57.002598,727.721130,520.661743,28.630302,1105.027954,698.600098,424.689850,1015.358459,681.416748,172.757523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,799.239441,471.905029,28.990332,863.010925,545.142334,56.993938,727.769409,520.661621,28.650490,1104.953125,698.600891,424.636292,1015.335754,681.505859,172.642578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,799.239441,471.905518,28.990032,863.000305,545.181152,57.109123,727.784546,520.642639,28.626892,1104.964600,698.666016,424.642517,1015.349670,681.463684,172.648499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,799.239563,471.905884,28.989672,863.015076,545.119385,56.982853,727.751953,520.636169,28.634436,1104.932373,698.624146,424.596161,1015.363953,681.501953,172.765991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,799.203064,471.926880,28.994263,863.074341,545.218445,56.975975,727.748413,520.648865,28.671505,1104.994385,698.698669,424.670654,1015.330200,681.541260,172.724304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,799.231262,471.910736,28.991747,863.046997,545.167053,56.912109,727.747437,520.651611,28.681210,1105.023438,698.709229,424.692810,1015.333374,681.546997,172.688553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,799.275635,471.886749,29.028082,863.009766,545.126587,56.966343,727.768860,520.658447,28.664831,1104.935791,698.733459,424.651733,1015.373169,681.551270,172.737228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,799.279663,471.879547,29.038393,863.018250,545.132141,56.938309,727.830566,520.632629,28.670052,1104.997681,698.708435,424.677521,1015.348816,681.543335,172.698776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,799.276123,471.881256,29.036940,863.099548,545.173828,56.956844,727.770203,520.646545,28.665705,1105.083618,698.698181,424.636383,1015.342285,681.540405,172.680481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,799.275391,471.883240,29.034925,863.103943,545.122742,56.873795,727.753723,520.554565,28.649973,1105.075562,698.703308,424.598694,1015.356506,681.518738,172.770966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,799.306335,471.813843,29.046930,863.083008,545.126343,56.882118,727.862122,520.517090,28.659756,1105.082031,698.769897,424.597870,1015.330933,681.535034,172.720184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,799.261963,471.799805,28.996201,863.060242,545.101929,56.854866,727.844849,520.530090,28.603771,1105.082397,698.725403,424.598755,1015.348938,681.520874,172.775726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,799.258789,471.796753,29.054386,863.104858,545.127136,56.872570,727.812866,520.530884,28.604576,1105.084229,698.768005,424.601593,1015.333374,681.536377,172.713882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,799.311829,471.791412,29.033234,863.073242,545.106201,56.848736,727.874146,520.469604,28.417627,1105.082275,698.723572,424.599365,1015.350769,681.436401,172.765366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,799.239624,471.813019,29.020350,863.060608,545.097961,56.846249,727.790588,520.543335,28.603060,1105.042480,698.723938,424.535614,1015.345703,681.405945,172.794937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,799.251282,471.800507,29.063145,863.075684,545.118103,56.859859,727.778320,520.535522,28.656618,1105.135498,698.695984,424.595917,1015.376221,681.406555,172.815201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,799.258423,471.790527,29.076302,863.065552,545.104065,56.849861,727.733887,520.549194,28.699205,1105.136230,698.697754,424.554352,1015.389221,681.410950,172.810989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,799.225464,471.807953,29.035442,863.076965,545.118347,56.858757,727.764954,520.549744,28.653923,1105.210571,698.690186,424.549316,1015.280640,681.411194,172.765564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,799.220764,471.817719,29.022095,862.976440,545.161926,56.869366,727.778870,520.540955,28.661953,1105.238403,698.680298,424.542999,1015.279297,681.396362,172.751434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,799.223022,471.817627,29.023264,863.001648,545.123474,56.872078,727.764404,520.540283,28.647224,1105.285889,698.673462,424.592346,1015.374695,681.397522,172.768051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,799.250732,471.810577,28.991970,863.015259,545.129211,56.819225,727.726257,520.538452,28.661455,1105.214966,698.688599,424.522888,1015.412231,681.399353,172.758423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,799.244141,471.893005,28.988470,863.048828,545.141235,56.912636,727.730286,520.624878,28.657055,1105.270508,698.676086,424.583099,1015.411438,681.399658,172.752792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,799.235107,471.959381,29.143290,863.001404,545.113342,56.929039,727.758057,520.560486,28.645910,1105.293945,698.673035,424.603363,1015.289063,681.408936,172.751328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,799.228394,471.909363,29.030317,863.041260,545.131226,56.950100,727.747131,520.621277,28.642944,1105.257446,698.621399,424.574280,1015.321533,681.411560,172.733795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,799.230042,471.918213,28.953074,863.017578,545.157043,56.898579,727.740417,520.642029,28.645029,1105.246094,698.614441,424.565765,1015.390869,681.317444,172.750397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,799.206299,471.934662,28.976952,863.012817,545.164856,56.881462,727.774231,520.642761,28.628675,1105.310547,698.612671,424.598511,1015.340454,681.368835,172.730194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
