Grasp127
Date:,2025/05/06
Time:,14:07:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,925.019104,519.556824,65.597595,810.057373,454.392212,29.673841,889.920288,434.779846,30.294043,,,,1083.112549,748.996399,404.753265,1031.666870,726.466003,221.107849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,924.763733,519.688721,65.999123,810.129089,454.772186,29.148016,889.803528,434.837128,30.383162,,,,1083.459961,749.137573,404.880035,1031.746582,726.929260,221.220398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,924.673828,519.958984,66.220184,810.173462,454.929413,28.943968,889.644470,434.846008,30.357719,,,,1083.716675,749.219910,405.011444,1031.740845,727.493530,221.331100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,924.223816,519.700439,67.254929,810.058716,454.929138,29.045950,889.428040,434.877014,30.421135,,,,1083.988770,749.371033,405.205872,1031.730347,728.006409,221.385590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,923.593262,519.567871,68.578484,809.866943,455.037445,29.122532,889.300415,434.912750,30.427769,,,,1084.458008,749.595642,405.334869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,923.139832,519.648499,69.350014,809.880859,454.953949,29.244694,888.927612,435.009033,30.739525,,,,1084.820068,749.938049,405.314575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,922.913330,519.972900,70.132301,809.281677,454.918274,29.820747,889.051147,435.063446,30.661682,,,,1085.288330,750.098022,405.391144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,922.605530,520.040344,71.193817,809.004761,455.080841,30.305902,888.976929,435.141815,30.721100,,,,1085.817261,750.280029,405.369293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,921.966980,520.034363,72.509399,808.695313,455.394073,30.389185,888.717773,435.244202,30.893665,,,,1086.473511,750.470276,405.207397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,921.073120,520.230042,74.067261,808.430664,455.836609,30.468321,888.522949,435.284332,31.158619,,,,1086.910034,750.594971,405.506805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,920.701233,520.425049,75.815475,808.167847,456.306427,30.496675,888.395935,435.344788,31.857096,,,,1087.326294,750.870239,405.823181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,920.288025,520.612488,77.508026,807.852905,456.734192,30.990683,888.283447,435.543152,32.570225,,,,1087.966309,751.389343,406.473633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,919.574158,520.720581,79.382065,807.505615,457.264343,31.979008,888.041138,435.746643,33.317772,,,,1087.765869,752.047363,407.041901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,919.531799,520.898438,81.688644,807.253235,458.048492,33.201862,887.738037,436.061981,34.537693,,,,1087.559692,752.662598,407.702515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,919.029358,521.345459,83.550385,806.701172,458.776550,34.720673,887.316345,436.361206,36.627361,,,,1088.162720,753.343811,408.048218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,918.534241,521.814636,85.863029,805.874329,459.435699,37.217392,886.843018,436.492950,39.001743,,,,1089.122314,754.043396,408.079498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,918.181396,522.506531,88.861176,805.049133,459.897583,40.559200,886.467163,436.194153,41.958858,,,,1089.866089,754.523315,408.101868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,917.387207,523.249023,91.162582,804.594849,460.481232,43.244572,885.956482,436.503326,45.188614,,,,1090.566528,755.091797,408.528381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,916.751343,523.787476,94.341286,803.959778,461.000641,46.878399,885.785950,436.308228,48.912102,,,,1091.110474,755.826172,409.127045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,916.596008,524.465576,96.772652,803.802002,461.460785,49.687298,885.632690,436.279053,52.816841,,,,1091.962402,756.577637,410.233185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,916.700256,525.254456,99.621277,803.498535,461.871887,53.021122,885.634583,436.383606,56.492123,,,,1092.855713,757.481934,410.115021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,916.813293,526.212158,102.135849,802.971863,462.359894,56.778713,885.535950,436.456177,60.106083,,,,1093.674316,758.022522,410.016998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,917.065674,526.808777,105.440094,802.860779,462.886932,60.457481,885.538879,436.823792,64.223671,,,,1094.567871,758.726868,410.626648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,917.173340,527.523438,108.122345,802.885254,463.284943,64.048569,885.551880,437.260681,68.530594,,,,1095.512817,759.471985,411.460663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
