Task;MaxVelocity;MedianVelocity;VelocityUnits;PeakVelocityPercent;PosAccelPeak;NegAccelPeak;AccelUnits;PosAccelPeakPercent;NegAccelPeakPercent
circle;241.1765550966383;162.2663421349261;m/s;30.201342281879196;3067.2125654261795;-2975.7978468714314;m/s^2;4.194630872483222;79.36241610738256
grasp;415.1704871778713;171.34427021183183;m/s;55.79514824797843;6088.304548157952;-6603.375621139914;m/s^2;78.97574123989219;81.67115902964959
ptp2;743.1561294277061;429.93853587917675;m/s;54.482758620689665;2591.604116792489;-2545.6524573158235;m/s^2;33.10344827586207;80.6896551724138
ptp3;635.1480801663296;413.0682976904691;m/s;52.27272727272727;2224.3682208632226;-2217.13915819328;m/s^2;26.704545454545453;78.97727272727272
ptp;348.5354660616865;262.1544729046933;m/s;37.56345177664975;1401.852384853316;-1043.971768908802;m/s^2;18.781725888324875;100.0
sequential;545.6797990793144;235.69875700223858;m/s;73.6;2831.070935119168;-2797.6460891080255;m/s^2;69.06666666666666;94.66666666666667
weight;457.1284999253732;162.4543823479222;m/s;37.72241992882562;14631.434650566942;-7587.369997034701;m/s^2;100.0;55.51601423487544
zigzag;373.4024873474381;216.87119198498033;m/s;8.123249299719888;1410.2173920463326;-1363.783718753219;m/s^2;39.635854341736696;36.554621848739494
