Weight62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:07:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
19;876.713135;674.610535;128.555435;1089.569458;804.733337;204.288620;1092.235596;794.165466;392.794769;795.084534;617.246826;122.481628;758.339722;689.519592;128.595810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;874.850464;675.383850;129.947403;1088.917480;804.990845;204.084045;1090.799438;794.292969;392.465973;793.562012;617.942749;124.543816;757.138428;690.321167;130.153366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;872.899719;675.677368;131.282883;1087.358276;805.364624;204.376373;1089.571289;794.344177;392.631195;791.901733;618.487488;125.942703;755.541443;690.861938;132.228622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;871.291443;676.244446;132.428360;1085.784546;805.716553;204.713150;1088.257446;794.322571;392.839233;789.640625;618.985840;128.530899;753.041565;691.433777;134.494720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;869.210449;676.973389;133.531906;1084.513184;805.843689;204.463943;1087.016724;794.490845;392.469025;787.533752;619.539368;130.441422;751.048523;692.087952;136.270737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;866.483337;677.523743;135.573715;1082.514404;806.231506;204.427048;1085.622681;794.570190;392.225616;784.989624;619.880371;132.436890;748.401062;692.555176;138.205353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;864.023804;677.995605;137.082870;1080.532593;806.663025;204.673340;1084.203735;794.429749;392.274139;782.526672;620.532043;134.595184;746.164124;692.925659;140.340714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;860.982422;678.419556;138.448959;1078.616821;806.984131;204.137894;1083.035156;794.349060;392.380127;779.543396;620.753723;136.437546;742.883972;693.095642;142.707138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;858.278564;678.952515;139.775482;1075.818237;807.537415;204.414520;1081.510742;794.485474;391.927643;776.645508;621.143738;137.893875;739.943909;693.573975;144.858612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;854.696045;679.525391;141.234589;1073.570190;807.783142;204.502106;1079.749390;794.635864;391.460571;773.298767;621.530701;140.261826;736.800537;693.908447;146.678436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;851.233337;679.856384;143.088531;1070.591919;808.205200;204.741577;1078.149414;794.507202;391.620636;770.173279;621.884705;142.148941;733.380371;694.128296;148.812653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;848.010864;680.469482;144.538452;1067.393188;808.823120;204.740723;1076.529419;794.512634;391.489227;766.293152;621.899292;143.801025;729.833374;694.315796;151.444016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;844.228271;681.049133;145.773651;1064.564697;809.087097;204.589340;1074.706665;794.609436;390.936859;762.817322;622.259705;145.617447;726.085754;694.621643;153.812057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;840.121826;681.441650;147.262894;1060.676880;809.504150;204.744049;1072.889771;794.467773;391.088379;759.033386;622.817627;147.224579;722.176331;694.891785;155.989151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;835.862366;681.967224;148.825226;1057.100220;810.057434;204.844299;1070.784058;794.639099;390.892151;755.210693;623.202332;149.240295;718.226746;695.115417;158.133728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;831.729614;682.484924;150.093658;1053.846924;810.376831;204.550049;1068.912231;794.677185;390.365417;750.957825;623.470093;150.871735;714.028381;695.408813;160.383820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;827.573547;683.121155;151.510880;1049.940308;810.596802;204.863602;1066.539795;794.787781;390.260040;746.566223;623.769226;152.893692;709.818298;695.730286;163.138824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;823.381165;683.392029;152.459564;1045.796509;811.006775;205.338013;1064.207275;794.962524;389.639130;742.279419;624.192261;154.184235;705.359985;696.175354;165.340973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;818.565063;684.061523;154.250443;1041.185669;811.616333;205.299271;1061.893311;794.804077;389.820465;737.735474;624.643311;155.814743;700.846680;696.514893;167.129730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;813.424988;684.513489;155.811951;1037.048340;811.861206;205.057968;1059.325562;795.018127;389.294464;733.299744;625.012451;157.329590;696.229431;696.915771;168.811813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;808.291992;684.937439;157.091354;1033.216797;811.997009;205.059448;1056.940063;794.808960;389.360413;728.391907;625.641357;159.277893;691.475037;697.293579;170.934479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;803.292358;685.665771;158.774719;1028.998657;812.154419;205.393631;1054.198975;795.118774;388.944031;723.305725;626.119202;160.572937;686.556824;697.792542;173.229767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;798.579529;686.303345;159.594177;1024.353882;812.537109;205.364807;1051.659546;794.990967;388.762573;717.980225;626.679688;162.599228;681.473816;698.313171;175.196503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;793.881470;686.799744;160.504608;1019.575134;812.844238;205.620239;1048.674438;795.367126;388.292877;712.939392;627.108093;163.966812;676.355957;698.845703;176.838211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;788.916199;687.293579;161.398483;1014.751709;813.208374;205.965576;1045.954468;795.089600;388.559998;707.798157;627.697327;165.295975;670.952576;699.605103;178.680054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;783.565918;687.833008;162.462280;1009.976074;813.410828;206.413620;1043.003784;795.509094;388.144714;702.602417;628.317444;166.588837;665.555054;700.383362;180.159943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;777.851501;688.664063;163.839935;1004.913025;813.668518;207.006363;1039.960327;795.230835;388.257111;697.103699;628.988220;167.951904;660.382141;700.952637;181.073349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;772.300171;689.244995;164.869171;999.834778;813.846985;207.248322;1037.075562;795.630554;387.617950;691.710266;629.683044;168.775803;655.235901;701.664368;181.854156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;766.663025;689.986023;165.288528;994.595215;814.121338;207.728287;1034.217896;795.485962;387.380585;686.217224;630.422424;169.623428;649.796997;702.452515;183.085388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;761.033630;690.511536;166.321671;989.534241;814.396606;207.787308;1030.768677;795.509277;387.723114;680.462280;631.023865;170.753799;644.111511;703.090820;184.283432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;755.677979;691.033142;166.776108;984.435303;814.397095;208.424210;1027.766235;795.444153;387.286591;674.931946;631.836548;171.864899;638.310242;703.830261;185.311844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;750.028870;691.816711;167.836288;979.510986;814.413391;208.909698;1024.455933;795.363281;387.605621;669.329651;632.601196;172.431274;632.654480;704.635986;186.208176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;744.129700;692.289429;168.749176;974.485840;814.299927;209.452118;1020.511047;795.431030;387.838928;663.779724;633.111084;172.833420;627.303894;705.612122;186.392151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;738.529114;692.775024;168.751312;969.384155;814.141479;210.025879;1017.314880;794.994934;387.821228;658.109619;633.895691;173.387558;621.642578;706.411865;187.389206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
