;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;899.764709;743.971497;89.065346;1075.532471;894.463440;212.575592;769.656006;713.479187;73.520882;1105.561035;845.205933;423.221680;858.678650;649.945984;67.555504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;899.390320;743.847168;89.866615;1075.403564;894.373413;212.426254;768.694397;713.150146;76.041908;1105.513794;845.109253;423.072510;858.392151;648.632690;70.529709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;898.878418;743.712158;91.181183;1075.302734;894.348816;212.326141;767.956116;713.056335;77.897629;1104.795166;845.365417;423.167664;857.871094;648.380554;72.912384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;898.207031;743.398376;92.516541;1075.241089;894.265198;212.130524;767.788025;712.804749;79.124069;1105.189575;845.061523;422.807098;857.325439;648.943970;74.307808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;897.013367;743.174683;94.255341;1075.116821;894.150940;211.955765;766.970459;712.391235;81.130966;1105.477295;845.119934;422.328339;856.193909;649.332642;75.827713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;896.064575;742.709595;95.192520;1074.925781;894.055603;211.784134;766.458008;711.762146;82.958847;1105.541748;844.924988;422.078400;855.651123;649.536011;77.461967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;895.477783;741.843323;96.691063;1074.874146;893.832458;211.645142;765.540588;711.063843;85.399178;1105.330078;845.045654;421.878296;855.901733;649.108093;78.990074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;894.861816;741.216003;97.834709;1074.990234;893.468201;211.223801;764.660767;710.252625;87.526711;1105.195313;845.105591;421.722595;855.658386;647.221252;81.671646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;894.810913;740.821289;98.809265;1074.937378;893.034241;211.033173;764.743835;709.124756;88.607971;1105.176025;845.074463;421.560059;855.397949;645.287537;84.290192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;894.490967;739.745056;100.372047;1074.731812;892.731262;210.935059;764.676392;707.887756;90.501419;1105.158325;844.957275;421.401337;854.568298;643.688843;86.045609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
