Weight62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;12:59:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
21;762.377686;674.487671;109.343445;874.020691;701.441101;97.913910;828.383362;619.365784;110.369980;1080.419800;806.052917;211.229370;1094.769531;788.480713;303.355042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;762.685730;674.372681;109.166023;874.324829;701.341003;97.901337;828.441040;619.420532;110.350533;1080.359863;806.114136;211.299942;1094.709717;788.515991;303.437836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;762.813599;674.357910;109.084068;874.101440;701.388794;97.815536;828.455200;619.493469;110.312256;1080.345459;806.120972;211.311234;1094.674072;788.518127;303.456177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;762.527039;674.472595;109.242859;874.015503;701.423523;97.826035;828.448792;619.548645;110.280891;1080.322388;806.108826;211.305450;1094.583618;788.513611;303.507660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;762.390686;674.497009;109.350052;874.050232;701.444641;97.915070;828.398987;619.505188;110.296669;1080.229370;806.182983;211.308319;1094.509766;788.521240;303.457977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;762.355774;674.491516;109.363304;874.027283;701.447144;98.014496;828.394958;619.486389;110.303040;1080.233398;806.229858;211.374420;1094.449707;788.507202;303.441742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;762.408020;674.470032;109.304153;874.013977;701.437866;97.918663;828.402283;619.489441;110.301369;1080.894043;807.267700;210.929092;1094.444336;788.504822;303.443390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;762.747803;674.373413;109.131584;874.056030;701.427612;97.915764;828.405273;619.503174;110.294411;1080.273315;806.450378;211.289856;1094.361328;788.503113;303.502502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;762.576904;674.465820;109.170235;874.090576;701.422974;97.911682;828.438293;619.522583;110.293121;1080.119995;806.300110;211.481964;1094.387085;788.541931;303.591095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;762.437988;674.508667;109.286667;874.080383;701.436707;97.944298;828.404968;619.467041;110.318901;1080.089233;806.393738;211.552750;1094.366943;788.546692;303.576782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
