Weight32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:07:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23;882.819763;729.968079;128.106400;1066.062378;856.634277;522.568848;1029.505981;813.697083;319.571991;840.577881;639.720215;96.073189;764.182129;686.695740;102.349449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;882.787109;730.042603;128.184265;1066.000488;856.627075;522.577209;1029.549561;813.680359;319.503082;840.395325;640.491882;95.679131;764.237976;686.598450;102.376472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;882.648987;730.085510;128.321899;1065.879150;856.625854;522.601013;1029.542358;813.767761;319.568939;840.377808;640.592529;95.621216;764.160522;686.667542;102.423439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;882.625977;730.069275;128.350922;1065.810303;856.615845;522.543640;1029.555176;813.793274;319.485168;840.430725;640.243225;95.862793;764.076660;686.702332;102.433090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;882.556274;730.037903;128.445358;1066.027344;856.570801;522.527100;1029.575928;813.791809;319.449097;840.476746;639.590271;96.239235;764.084900;686.613037;102.500587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;882.576782;730.065918;128.481506;1065.763550;856.598633;522.447754;1029.621948;813.888855;319.427185;840.581421;638.978943;96.664001;764.016479;686.582642;102.513153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;882.531799;730.150269;128.493973;1065.637329;856.601440;522.440918;1029.613647;813.929626;319.484009;840.669800;638.559631;96.989479;764.082581;686.566650;102.492989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;882.567139;730.123718;128.590683;1065.638672;856.580383;522.359741;1029.626831;814.020081;319.438812;840.683289;638.413269;97.095566;764.041565;686.584839;102.480507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;882.461548;730.166809;128.582703;1065.530396;856.626038;522.379578;1029.674194;814.040405;319.479675;840.633484;638.415222;97.070114;764.038147;686.590332;102.512260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;882.432251;730.115967;128.683319;1065.506592;856.583435;522.338135;1029.685791;814.154968;319.405365;840.562561;638.578674;96.971962;764.034302;686.583557;102.496933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;882.427673;730.232544;128.733078;1065.527954;856.549377;522.254333;1029.898193;814.113831;319.417633;840.510193;638.827148;96.888252;764.026794;686.572266;102.577271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;882.464355;730.192993;128.770813;1065.427979;856.550598;522.181519;1029.849487;814.155640;319.308929;840.478088;639.017883;96.757149;764.015625;686.580322;102.528900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;882.447388;730.224304;128.751511;1065.170044;856.703735;522.169617;1029.863770;814.288391;319.327209;840.398254;639.239807;96.743851;763.993896;686.573486;102.513687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;882.514282;730.094788;128.825729;1065.116089;856.621460;522.140320;1029.868164;814.312927;319.340393;840.350647;639.379089;96.718742;763.987183;686.576843;102.551758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;882.497498;730.138367;128.882050;1065.126953;856.658386;522.080811;1029.899536;814.414734;319.238678;840.340576;639.421814;96.694267;763.973694;686.573547;102.545883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;882.571594;730.101807;128.942871;1065.039063;856.614014;521.972717;1029.903320;814.453674;319.258423;840.305603;639.409729;96.706291;763.976074;686.572083;102.535362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;882.668152;730.039185;128.992294;1064.899536;856.596924;521.938843;1029.936035;814.532227;319.220581;840.176453;639.805298;96.442886;764.082275;686.573486;102.549088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;882.608337;730.164856;129.011627;1064.775269;856.658691;521.894165;1029.939697;814.558044;319.145569;840.190796;639.885376;96.377594;764.051270;686.563232;102.491959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;882.878906;729.880798;129.097748;1064.543701;856.649292;521.802063;1029.842163;814.564453;319.160706;840.275452;639.744507;96.610077;764.074158;686.569519;102.451271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;882.950684;729.793762;129.101593;1064.535645;856.703613;521.746033;1029.775513;814.668701;319.110229;840.276672;639.525391;96.819626;764.154175;686.570190;102.513687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;882.785339;729.817749;129.229263;1064.503052;856.714111;521.665588;1029.804199;814.673035;319.286743;839.567017;641.410034;95.649246;764.159668;686.564209;102.509399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;882.559631;729.860352;129.442276;1064.780396;856.570007;521.443359;1029.712158;814.768616;319.117645;838.497009;645.155884;93.523491;764.083801;686.561768;102.547775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;882.609375;729.840698;129.490906;1064.829956;856.541992;521.149719;1029.766113;814.825623;319.018372;837.656921;648.830688;91.585938;764.143921;686.560364;102.549591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;882.443054;729.886047;129.634109;1064.695923;856.547119;521.086182;1029.826782;814.929504;318.977936;836.529114;652.617249;89.671677;764.128540;686.570801;102.525215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;882.380127;729.901062;129.641479;1064.626953;856.444519;521.036926;1029.785034;814.948547;319.017487;835.596985;655.298340;88.369545;764.072754;686.564880;102.553932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;882.387817;729.960510;129.588287;1064.543091;856.420166;520.957520;1029.718506;815.046326;319.083344;835.423950;656.021790;88.162239;764.040466;686.563477;102.588570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;882.595032;729.860046;129.399261;1064.477051;856.444641;520.861389;1029.606934;815.068604;319.017212;836.711121;652.973694;89.846657;764.066589;686.560547;102.607491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;882.787903;729.941589;129.245819;1064.404541;856.462341;520.799316;1029.659302;815.141541;319.119659;838.579651;647.160889;92.923134;763.923218;686.569580;102.587967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;882.208313;730.063965;129.608536;1064.347046;856.429810;520.736267;1029.675171;815.201477;319.046051;839.857666;641.017029;96.259285;763.840271;686.584290;102.607231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;881.854980;730.116821;129.916290;1064.215942;856.467834;520.567017;1029.604248;815.319641;318.982819;840.913208;636.065857;98.946617;763.810974;686.572510;102.689056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;881.891968;730.087158;129.957657;1064.133789;856.437988;520.514465;1029.638550;815.383911;319.149780;841.511169;633.226257;100.573807;763.838867;686.577820;102.694191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;881.586121;730.079590;130.211365;1064.265991;856.382874;520.435852;1029.589233;815.442017;319.097595;841.537109;632.581360;100.945801;763.712097;686.586853;102.597542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;881.808716;730.087280;130.043335;1064.266846;856.368713;520.347290;1029.572754;815.566528;319.119843;841.312317;633.828552;100.361290;763.657410;686.574158;102.651848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;881.795715;730.267395;130.000412;1064.148438;856.419739;520.331421;1029.464478;815.758606;319.272827;840.729309;636.221741;99.254387;763.514648;686.774353;102.297363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;881.692200;730.301514;130.035431;1063.940186;856.439331;520.354553;1029.420410;815.765137;319.055969;839.558105;638.957581;98.589409;763.569092;686.832458;101.984161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;881.658813;730.298950;130.093704;1063.804199;856.377319;520.400879;1029.444458;815.838196;318.992462;838.565979;641.331299;97.596939;763.458069;686.855835;101.964310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;881.490417;730.351135;130.129074;1063.676025;856.368774;520.353088;1029.432495;815.945679;318.996735;;;;763.317444;686.839844;102.057098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;881.479614;730.433228;130.137039;1063.505493;856.443970;520.208130;1029.226563;816.053162;319.000275;;;;763.100952;686.947388;102.184776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;881.373596;730.462708;130.148956;1063.352905;856.459534;520.167419;1029.015625;816.112915;319.153137;;;;762.949646;686.982422;102.328690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
