;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
16;795.745056;687.597229;217.463577;826.042114;974.749573;280.556580;907.032288;988.705933;473.317169;;;;802.899414;632.916626;129.478119;751.355103;611.931702;136.569931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;793.205261;687.361572;218.849045;824.570129;974.720947;281.202789;906.253784;988.520203;473.554077;;;;799.268372;632.851013;131.057129;747.987305;611.345642;138.372360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;789.886536;687.152893;220.382401;822.985718;974.878723;281.824921;905.471619;988.321228;473.739594;;;;795.740906;632.534058;131.493454;744.714050;611.580078;139.602432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;787.141541;687.276001;220.961212;821.423035;974.764465;282.515503;904.689026;988.156555;474.065796;;;;793.284058;632.182129;132.991928;741.661072;611.828796;140.515762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;784.061890;687.201904;222.009888;819.770996;974.523682;282.947601;904.696655;987.720947;474.242493;;;;789.168518;632.134338;133.751770;737.931519;612.118591;141.270889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;780.518616;687.124695;223.746338;818.244568;974.453491;283.502350;904.626831;987.543518;474.134796;;;;785.317078;632.197021;134.985947;734.184448;613.000305;142.366653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;777.368713;687.248108;224.774841;816.481079;974.293579;284.248169;904.403015;987.266663;474.161957;;;;782.402954;631.644104;136.639954;730.613831;613.816895;143.713867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;773.897095;687.111023;225.964157;815.260193;973.877380;285.300629;903.691895;986.974548;474.514160;;;;779.071594;631.073853;138.157715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;770.419006;687.187256;226.695862;813.843384;973.726990;285.884888;902.991577;986.711670;474.872406;;;;774.897888;631.076721;139.142197;;;;722.907288;612.808655;146.271591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;767.011353;687.438965;227.915039;811.622864;973.635681;286.637482;902.331787;986.402527;475.177917;;;;770.068604;631.250305;139.440308;;;;719.015198;613.625366;146.979935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
