Weight60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:17:12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
18;827.469604;702.608032;124.492638;777.244934;611.453552;125.582466;712.654358;661.438599;131.986038;1089.144409;838.627319;364.455933;1049.227783;859.789246;193.285934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;823.836121;702.543518;125.897041;774.045654;611.824463;127.366646;709.569641;661.736938;133.930161;1087.438965;838.723145;364.523987;1046.780151;860.005676;193.532700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;820.915039;702.972351;126.890907;770.623474;612.279907;129.024002;706.297668;662.388428;135.065430;1085.917969;838.824158;364.545593;1044.012573;859.848450;193.543640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;817.335876;703.333923;128.341537;766.903320;612.797974;131.085861;702.976685;663.139404;136.919846;1083.891357;838.660278;364.273315;1041.623901;859.836365;193.384583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;813.333008;704.049866;130.498657;763.391418;613.431641;132.970200;699.025818;663.794128;138.843307;1081.958130;838.711731;364.438171;1038.274536;860.044678;193.540527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;810.313171;704.523438;131.645767;759.463379;614.025208;134.811340;695.084778;664.634888;140.845047;1080.156860;838.777466;364.184448;1035.342163;860.078918;194.069244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;806.173645;704.630432;132.530685;755.368530;614.608582;137.560516;691.420288;665.370422;142.609802;1077.753662;838.778564;364.084747;1031.695801;860.042297;194.180161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;802.235413;704.793457;133.637558;751.083069;614.984741;139.532455;687.468384;665.924866;144.213409;1075.911377;838.871765;363.934509;1029.212891;859.936523;194.585037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;798.168945;705.422302;134.962814;747.200562;615.605347;141.310379;683.247437;666.755737;145.774124;1073.643311;838.805786;363.875549;1025.327759;859.842163;194.755325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;794.429565;705.901306;136.304810;742.781677;616.173279;142.906082;679.212036;667.830505;147.373093;1071.653687;838.559509;363.454956;1021.762451;859.633972;195.162766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
