PTP-1161;;;;;;;;;
Date:;2025/04/23;;;;;;;;
Time:;14:00:23;;;;;;;;
Type:;test;;;;;;;;
Description:;"";;;;;;;;
Notes:;"";;;;;;;;
TRAJECTORIES;;;;;;;;;
200.000000;Hz;;;;;;;;
;*1;;;*2;;;*3;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z
162;689.055908;663.389709;163.987122;;;;;;
163;686.768860;663.126587;163.168198;;;;;;
164;684.630859;662.759521;163.508041;;;;;;
165;682.267944;662.494080;162.656906;;;;;;
166;680.507874;662.253967;162.138748;;;;;;
167;678.352478;662.188049;161.846375;;;;;;
168;675.972290;661.866882;161.678635;;;;;;
169;674.388123;661.313416;161.480072;;;;;;
170;672.437256;661.265808;160.314529;;;;;;
171;670.137146;661.336914;159.834198;;;;;;
172;668.274292;660.847107;159.756622;;;;;;
173;666.264343;660.477661;158.969254;;;;;;
174;664.833435;660.208313;158.821594;;;;;;
175;662.954407;660.118347;157.681442;;;;;;
176;660.777832;659.926941;157.310272;;;;;;
177;658.822510;659.844360;156.901978;;;;;;
178;657.107300;659.628967;155.838089;;;;;;
179;655.397278;659.507629;154.941025;;;;;;
180;653.781128;659.131958;154.300049;;;;;;
181;652.292175;658.985901;153.253403;;;;;;
182;650.630920;658.659180;152.267303;;;;;;
183;649.124268;658.483643;151.840591;;;;;;
184;647.679871;658.476990;150.885971;;;;;;
185;645.800598;658.293701;149.596725;;;;;;
186;644.327393;658.165894;148.736710;;;;;;
187;642.859497;657.758850;147.868958;;;;;;
188;641.652710;657.683655;147.273193;;;;;;
189;640.120728;657.488037;146.155807;;;;;;
190;638.857910;657.485107;145.316376;;;;;;
191;637.491760;657.400940;144.340256;;;;;;
192;636.577393;657.163086;143.167099;;;;;;
193;635.294189;656.960266;141.714493;;;;;;
194;634.153259;656.979980;140.831955;;;;;;
195;633.065552;656.802551;139.925385;;;;;;
196;632.079224;656.644470;138.617065;;;;;;
197;631.397522;656.525269;137.608902;;;;;;
198;630.249817;656.272827;136.069595;;;;;;
199;629.517212;656.126221;134.762054;;;;;;
200;628.554443;655.759216;133.963165;;;;;;
201;627.645630;655.589722;132.306671;;;;;;
202;627.223328;655.501282;131.362045;;;;;;
203;626.393005;655.542297;129.736832;;;;;;
204;625.776367;655.595093;128.515656;;;;;;
205;625.035034;655.660706;127.410210;;;;;;
206;624.231995;655.738586;126.160583;;;;;;
207;623.749817;655.542358;125.397232;;;;;;
208;623.159302;655.487488;124.497009;;;;;;
209;622.733826;655.845032;122.328568;;;;;;
210;622.635742;655.800720;120.985321;;;;;;
211;622.258911;655.838562;119.614769;;;;;;
212;621.626709;655.988220;118.370644;;;;;;
213;621.519226;656.181885;116.909622;;;;;;
214;621.493652;656.219238;115.403976;;;;;;
215;621.141418;656.223450;113.961899;;;;;;
216;620.730835;656.291931;112.661827;;;;;;
217;621.006287;656.422180;111.129089;;;;;;
218;620.924988;656.535583;109.667252;;;;;;
219;620.634521;656.566956;108.006691;;;;;;
220;620.952942;656.638000;105.872055;;;;;;
221;621.315918;656.634155;105.079300;;;;;;
222;621.249390;657.161743;103.874214;;;;;;
223;621.361389;657.853699;102.948441;;;;;;
224;621.554626;658.220886;102.358574;2409.374268;215.624603;-112.002434;;;
225;621.771912;658.330872;101.795349;;;;;;
226;621.976135;658.305603;100.924957;;;;;;
227;622.112244;658.203003;100.218880;;;;;;
228;622.171875;658.115356;99.785995;;;;;;
229;622.242859;657.996582;99.408752;;;;;;
230;622.178284;657.990784;99.183235;;;;;;
231;622.209595;657.959534;98.971695;;;;;;
232;622.207092;657.884521;98.851089;;;;;;
233;622.224121;657.861267;98.783745;;;;;;
234;622.206238;657.882202;98.710495;;;;;;
235;622.224915;657.880859;98.631996;;;;;;
236;622.297058;657.874023;98.539375;;;;;;
237;622.709045;658.001282;97.874634;;;;;;
238;622.466064;658.069519;98.148277;;;;;;
239;622.292542;658.028076;98.437294;;;;;;
240;622.267700;658.002930;98.445267;;;;;;
241;622.340881;658.021667;98.340935;;;;;;
242;622.300964;657.930786;98.057793;;;;;;
243;622.412048;657.905762;98.004601;;;;;;
244;622.379883;657.943787;97.942802;;;;;;
245;622.419739;657.865845;98.057220;;;;;;
246;622.439026;657.821594;98.051987;;;;;;
247;622.398010;657.839233;97.983482;;;;;;
248;622.423096;657.932373;98.003693;;;;;;
249;622.324707;657.939392;97.993240;;;;;;
250;622.475403;657.943298;97.979942;;;;2409.506592;215.421173;-111.787239
251;622.530518;657.948547;97.951637;;;;;;
252;622.508850;658.045959;97.939240;;;;;;
253;622.490540;658.038879;97.959885;;;;;;
254;622.523987;658.041931;97.939095;;;;;;
255;622.499634;658.028442;97.956772;;;;;;
256;622.545715;658.051758;97.924026;;;;;;
257;622.535889;658.157104;98.136581;;;;;;
258;622.517456;657.983826;98.002090;;;;;;
259;622.510315;658.041748;98.167229;;;;;;
260;622.517822;658.034180;98.271286;;;;;;
261;622.546814;657.854370;98.082161;;;;;;
262;622.535583;657.914795;98.227577;;;;;;
263;622.490784;657.937805;98.364006;;;;;;
264;622.417419;657.821655;98.418312;;;;;;
265;622.416626;657.794434;98.458626;;;;;;
266;622.779236;657.795532;97.952133;;;;;;
267;622.538147;657.758789;98.260391;;;;;;
268;622.299805;657.686584;98.565208;;;;;;
269;622.238831;657.578247;98.653397;;;;;;
270;622.259705;657.566956;98.629486;;;;;;
271;622.255798;657.567688;98.615837;;;;;;
272;622.238098;657.572754;98.648514;;;;;;
273;622.217041;657.485779;98.684525;;;;;;
274;622.197388;657.470642;98.731598;;;;;;
275;622.160828;657.467957;98.792488;;;;;;
276;622.204285;657.443848;98.819176;;;;;;
277;622.214111;657.446716;98.846603;;;;;;
278;622.215820;657.374268;98.884499;;;;;;
279;622.190430;657.434937;98.896515;;;;;;
280;622.173767;657.370972;98.912926;;;;;;
281;622.203979;657.337158;99.000015;;;;;;
282;622.204712;657.332886;99.021973;;;;;;
283;622.208557;657.272705;99.070168;;;;;;
284;622.234070;657.230347;99.119370;;;;;;
285;622.221558;657.230835;99.160278;;;;;;
286;622.247375;657.196960;99.209473;;;;;;
287;622.207520;657.132690;99.322189;;;;;;
288;622.156860;657.091431;99.357681;;;;;;
289;622.230530;657.078857;99.385384;;;;;;
290;622.234497;657.092224;99.443283;;;;;;
291;622.234131;657.178955;99.439301;;;;;;
292;622.296326;657.196228;99.465294;;;;;;
293;622.268616;657.263306;99.505470;;;;;;
294;622.353149;657.306702;99.596359;;;;;;
295;622.350769;657.300537;99.685944;;;;;;
296;622.356201;657.312805;99.723129;;;;;;
297;622.315369;657.326599;99.845123;;;;;;
298;622.325317;657.295288;99.915062;;;;;;
299;622.275635;657.262146;99.938568;;;;;;
300;622.275330;657.274597;99.993050;;;;;;
301;622.289673;657.279236;100.027878;;;;;;
302;622.298706;657.263794;100.128365;;;;;;
303;622.303040;657.179504;100.168221;;;;;;
304;622.335571;657.270813;100.166725;;;;;;
305;622.352478;657.229492;100.187347;;;;;;
306;622.331665;657.247131;100.243469;;;;;;
307;622.320313;657.292542;100.211365;;;;;;
308;622.399475;657.358215;100.339256;;;;;;
309;622.409546;657.348267;100.326157;;;;;;
310;622.314270;657.282776;100.217384;;;;;;
311;622.344299;657.307007;100.171707;;;;;;
312;622.382690;657.288757;100.225250;;;;;;
313;622.421631;657.288452;100.191605;;;;;;
314;622.416016;657.298889;100.209717;;;;;;
315;622.361023;657.315063;100.177345;;;;;;
316;622.354431;657.293884;100.119026;;;;;;
317;622.343689;657.262024;100.071388;;;;;;
318;622.361450;657.311951;100.153259;;;;;;
319;622.345764;657.301636;100.164162;;;;;;
320;622.282532;657.267944;100.181114;;;;;;
321;622.302856;657.354858;100.326775;;;;;;
322;622.342529;657.271851;100.288292;;;;;;
323;622.324707;657.186646;100.323174;;;;;;
324;622.284485;657.158752;100.362694;;;;;;
325;622.307312;657.157898;100.343048;;;;;;
326;622.274109;657.164368;100.379845;;;;;;
