PTP-1165;;;;;;
Date:;2025/04/23;;;;;
Time:;14:00:37;;;;;
Type:;test;;;;;
Description:;"";;;;;
Notes:;"";;;;;
TRAJECTORIES;;;;;;
200.000000;Hz;;;;;
;*1;;;*2;;
Field #;X;Y;Z;X;Y;Z
1;871.957703;654.976074;104.319862;;;
2;871.957703;654.976074;104.319862;;;
3;871.957703;654.976074;104.319870;;;
4;871.935547;654.989319;104.300072;;;
5;871.955078;654.975220;104.336494;;;
6;871.972961;654.975098;104.341019;;;
7;872.002625;654.967224;104.353958;;;
8;871.980164;654.975220;104.338112;;;
9;871.972839;654.979431;104.334030;;;
10;871.999023;654.975281;104.291283;;;
11;871.983704;654.980103;104.321693;;;
12;871.923157;654.986877;104.306129;;;
13;871.942322;654.961487;104.330032;;;
14;871.936157;654.988159;104.300827;;;
15;871.971497;654.984985;104.327179;;;
16;871.977661;654.978516;104.336578;;;
17;871.908691;654.983398;104.289650;;;
18;871.881531;654.979553;104.287628;;;
19;871.909485;654.992615;104.279030;;;
20;871.740723;655.092407;103.996910;;;
21;871.899414;655.031189;104.226860;;;
22;871.916016;654.973694;104.324707;;;
23;871.880066;654.987488;104.283974;;;
24;871.868164;654.973694;104.294395;;;
25;871.908936;654.990051;104.281998;;;
26;871.921326;654.971558;104.265427;;;
27;871.948181;654.981384;104.250450;;;
28;871.895813;654.961487;104.252449;;;
29;871.879211;654.954224;104.261360;;;
30;871.750977;654.834229;104.479515;;;
31;871.879211;654.927979;104.337845;;;
32;871.933716;654.996277;104.282104;;;
33;871.784302;655.136108;103.997856;;;
34;871.855469;655.045837;104.193352;;;
35;871.877136;654.977356;104.364174;;;
36;871.833374;654.964844;104.454262;;;
37;871.800842;654.984741;104.486153;;;
38;871.836975;654.975830;104.522583;;;
39;871.860657;654.972351;104.632957;;;
40;871.821472;655.059448;104.647194;;;
41;871.790771;655.112305;104.687935;;;
42;871.697998;655.206360;104.703346;;;
43;871.634644;655.304321;105.072311;;;
44;871.639648;655.364502;105.263443;;;
45;871.554504;655.381042;105.484497;;;
46;871.518250;655.397888;105.746475;;;
47;871.454346;655.491699;106.049065;;;
48;871.308899;655.522156;106.428467;;;
49;871.222900;655.617004;106.663673;;;
50;871.092163;655.730469;107.051201;;;
51;870.957214;655.750793;107.565468;;;
52;870.746338;655.732971;107.933861;;;
53;870.589661;655.785095;108.284012;;;
54;870.464417;655.835999;108.628723;;;
55;870.344971;655.851440;109.088470;;;
56;870.140259;655.940247;109.656891;;;
57;869.775757;656.085083;110.064049;;;
58;869.373840;656.284363;110.651749;;;
59;868.894165;656.528503;111.099892;;;
60;868.223083;656.852905;111.966072;;;
61;867.740784;657.005432;112.573586;;;
62;867.124023;657.161072;112.957535;;;
63;866.445984;657.390442;113.122894;;;
64;865.733521;657.681580;113.350357;;;
65;864.755249;658.075745;113.734222;;;
66;863.695313;658.258545;114.712807;;;
67;862.569092;658.328003;115.967804;;;
68;861.480652;658.518250;116.854492;;;
69;860.073242;659.148987;117.370155;;;
70;858.860474;659.618530;117.850677;;;
71;857.477966;659.749390;118.577568;;;
72;855.736755;659.970886;119.245033;;;
73;854.083496;660.431458;119.804436;;;
74;852.622070;660.781250;120.676628;;;
75;850.721863;661.249817;121.783775;;;
76;849.067810;661.552185;122.732819;;;
77;846.902222;662.155762;123.592926;;;
78;845.166016;662.532715;124.393799;;;
79;843.402344;662.866638;125.269783;;;
80;841.158325;663.382874;126.795959;;;
81;839.271057;663.592651;127.636551;;;
82;837.098206;663.848145;128.144669;;;
83;835.417114;663.714233;129.369431;;;
84;833.157532;663.841614;130.617737;;;
85;831.228699;663.924011;132.014313;;;
86;828.799377;664.177429;132.862473;;;
87;826.383667;664.394287;133.668243;;;
88;824.583557;664.412170;134.835678;;;
89;822.182800;664.491272;135.778534;;;
90;820.053772;664.560486;136.367172;;;
91;817.542786;664.914185;137.660309;;;
92;815.188904;664.846191;138.754211;;;
93;812.928711;665.070374;139.378311;;;
94;810.371033;665.006470;140.193878;;;
95;808.076660;665.125122;141.037537;;;
96;805.501831;665.040833;142.037766;;;
97;802.977051;665.303040;143.485413;;;
98;800.802368;665.413757;144.413452;;;
99;798.101624;665.237732;145.720413;;;
100;795.620544;665.337036;146.143265;;;
101;793.222839;665.336548;147.377777;;;
102;790.940979;665.130737;148.249481;;;
103;788.154602;665.242004;149.385178;;;
104;785.728271;664.941528;150.288254;;;
105;783.509766;664.846008;151.483124;;;
106;780.936768;664.542847;152.065643;;;
107;778.766907;664.321899;152.735718;;;
108;776.923950;663.983948;153.548508;;;
109;774.838318;663.863647;154.462540;;;
110;773.042114;663.946899;155.089874;;;
111;771.297363;663.975525;155.944794;;;
112;769.668518;663.671997;157.136353;;;
113;768.104858;663.525452;158.259476;;;
114;766.804688;663.390381;159.004272;;;
115;765.316833;662.985657;159.580780;;;
116;763.772583;663.191284;160.233337;;;
117;762.345825;663.057556;161.095825;;;
118;760.756653;662.993530;161.977859;;;
119;758.721191;663.090393;163.514847;;;
120;757.087952;663.300354;164.657913;;;
121;755.152832;663.384399;165.874374;;;
122;752.917664;663.642151;167.123932;;;
123;750.792969;664.015259;168.555771;;;
124;748.637634;664.597839;169.595062;;;
125;746.274902;665.139099;170.687119;;;
126;744.148743;665.652466;171.632919;;;
127;741.656250;666.209534;172.773499;;;
128;739.263855;666.728821;174.104095;;;
129;736.696533;667.567444;174.733978;;;
130;734.472534;668.116516;175.329086;;;
131;732.365234;668.696289;175.913651;;;
132;729.923096;669.201599;176.035965;;;
133;727.640076;669.637512;177.190063;;;
134;725.407898;670.270386;176.559219;;;
135;723.148804;670.618591;177.475601;;;
136;721.056824;671.123047;177.482712;;;
137;718.043640;671.623657;177.781342;;;
138;716.103333;671.741089;177.776901;;;
139;713.612915;672.205383;177.753937;;;
140;711.487061;672.132507;177.134247;;;
141;709.381653;672.647156;176.395828;;;
142;707.029175;672.886902;176.190445;;;
143;704.677551;673.006653;175.963638;;;
144;702.174255;673.302124;175.564209;;;
145;699.939941;673.406189;175.407608;;;
146;697.594910;673.957825;173.918686;;;
147;695.409485;674.097229;173.141296;;;
148;692.987366;674.437988;172.585602;;;
149;690.736694;674.630432;172.193588;;;
150;688.269775;674.912354;171.270294;;;
151;685.996094;675.042725;170.467896;;;
152;683.588379;675.249756;169.876663;;;
153;681.204102;675.572388;169.142899;;;
154;679.179993;675.647339;168.314758;;;
155;676.722351;675.868958;166.865189;;;
156;674.826355;675.807556;166.006332;;;
157;672.778748;675.938721;165.237991;;;
158;670.445129;675.913208;163.964859;;;
159;668.253052;675.870911;163.690384;;;
160;666.267883;676.101624;162.510162;;;
161;663.989197;676.167114;161.744186;;;
162;662.196045;675.965027;161.159195;;;
163;660.387878;676.073120;159.899979;;;
164;658.206177;676.095581;158.969345;;;
165;656.609863;675.780457;157.926071;;;
166;655.201904;675.720398;156.896515;;;
167;653.105469;675.343140;156.873886;;;
168;651.304443;675.243652;155.935516;;;
169;649.873779;675.036072;154.596695;;;
170;648.352173;674.545837;154.292221;;;
171;646.482056;673.913818;153.340302;;;
172;645.399353;673.788025;151.586884;;;
173;644.181091;673.799377;150.494919;;;
174;642.720886;673.331665;150.519272;;;
175;641.164490;672.735535;149.822617;;;
176;639.827332;672.148621;148.569489;;;
177;638.668457;671.592957;147.449478;;;
178;637.397278;671.293457;146.357407;;;
179;636.266357;670.918640;145.393066;;;
180;635.124573;670.263245;144.741882;;;
181;633.965515;669.589172;144.481689;;;
182;633.007629;669.015991;142.598129;;;
183;631.936157;668.723450;141.148026;;;
184;630.993103;668.479309;140.168365;;;
185;630.139832;667.954285;139.708572;;;
186;629.012024;667.701843;138.284317;;;
187;628.344604;667.086060;136.979919;;;
188;627.652466;666.623352;135.461731;;;
189;627.037598;666.069031;134.110535;;;
190;626.496521;665.824585;133.369354;;;
191;625.550598;665.634216;132.296143;;;
192;625.082336;665.345581;130.736511;;;
193;624.790283;664.797119;129.690796;;;
194;623.975769;664.725769;128.394852;;;
195;623.390259;664.185120;126.954132;;;
196;622.951782;663.810303;126.131363;;;
197;622.615051;663.543884;125.085876;;;
198;622.191956;663.210693;123.723793;;;
199;621.979797;662.999146;122.465080;;;
200;621.722290;662.876404;121.666473;;;
