Circle64
Date:,2025/04/28
Time:,14:11:10
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2
Field #,X,Y,Z,X,Y,Z
148,668.339783,-133.565445,18.716908,,,
149,666.595703,-133.117996,18.973675,,,
150,664.942749,-132.803253,18.778763,,,
151,662.986572,-132.193451,18.786875,,,
152,661.342896,-131.608017,18.958424,,,
153,659.646484,-131.089355,18.806433,,,
154,657.690857,-130.610138,18.654957,,,
155,656.082397,-130.000229,18.519077,,,
156,654.523987,-129.250137,18.340004,,,
157,652.645996,-128.638412,18.332178,,,
158,651.206116,-128.182678,18.459373,,,
159,649.187439,-127.255615,18.491779,,,
160,647.641968,-126.503838,18.576834,,,
161,646.092651,-125.716827,18.542355,,,
162,644.234375,-124.991653,18.424629,,,
163,642.463013,-124.166176,18.303776,,,
164,641.089539,-123.240829,18.582729,,,
165,639.170288,-122.134682,18.528881,,,
166,637.662170,-121.382141,18.527294,,,
167,635.900391,-120.628830,18.387047,,,
168,634.371216,-119.714203,18.208950,,,
169,632.990417,-118.775970,18.233271,,,
170,631.277649,-117.789352,18.178471,,,
171,629.716370,-116.788391,18.230873,,,
172,628.378723,-115.859497,18.192173,,,
173,626.608887,-114.993919,18.296654,,,
174,625.118958,-114.138634,18.145695,,,
175,623.896484,-113.068581,18.083683,,,
176,622.412598,-111.831680,17.861042,,,
177,620.678589,-110.932091,17.883743,,,
178,619.563965,-109.552277,18.030354,,,
179,618.288452,-108.596489,17.917105,,,
180,616.741760,-107.439178,17.776901,,,
181,615.525635,-106.315903,17.981806,,,
182,614.296265,-105.201637,17.974213,,,
183,612.867859,-103.915756,18.076450,,,
184,611.535095,-102.585236,17.977936,,,
185,610.416199,-101.504181,18.064579,,,
186,609.189941,-100.122528,17.826736,,,
187,607.864441,-98.905350,17.742706,,,
188,606.731323,-97.612839,17.992567,,,
189,605.416931,-96.500481,17.990295,,,
190,604.277832,-95.116615,17.730473,,,
191,603.043701,-93.897545,17.616785,,,
192,602.132813,-92.731674,17.765892,,,
193,600.893250,-91.625656,17.596130,,,
194,599.933472,-90.210556,17.419512,,,
195,598.696655,-88.800743,17.718245,,,
196,597.687622,-87.601707,17.846777,,,
