Circle63
Date:,2025/04/24
Time:,16:06:22
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2
Field #,X,Y,Z,X,Y,Z
1,807.824829,-23.327032,23.123720,,,
2,807.824829,-23.327032,23.123720,,,
3,807.831970,-23.242537,23.096151,,,
4,807.823975,-23.303606,23.112902,,,
5,807.861084,-23.234764,23.082859,,,
6,807.837524,-23.311165,23.099161,,,
7,807.875183,-23.341848,23.111370,,,
8,807.838501,-23.335754,23.121155,,,
9,807.826294,-23.331865,23.116251,,,
10,807.821594,-23.415796,23.140755,,,
11,807.820007,-23.435369,23.159637,,,
12,807.818542,-23.429300,23.161444,,,
13,807.822876,-23.429470,23.149933,,,
14,807.807495,-23.544052,23.150131,,,
15,807.894226,-23.720194,22.892595,,,
16,807.931213,-23.724384,22.849651,,,
17,807.913391,-23.786917,22.903770,,,
18,807.902466,-23.803228,22.931124,,,
19,807.894226,-23.882971,22.959433,,,
20,807.884460,-23.875931,23.009556,,,
21,807.897583,-23.947973,22.900547,,,
22,807.879211,-24.063560,22.901482,,,
23,807.881592,-24.151428,22.956064,,,
24,807.875244,-24.236740,22.891764,,,
25,807.870667,-24.650787,22.878311,,,
26,807.886108,-25.279675,22.887428,,,
27,807.974060,-25.872082,22.633076,,,
28,808.064514,-26.295410,22.589626,,,
29,808.096191,-26.586657,22.538633,,,
30,808.091064,-27.018486,22.415953,,,
31,808.059021,-27.641380,22.398485,,,
32,808.053406,-28.268066,22.431223,,,
33,808.005371,-28.875175,22.510319,,,
34,808.041016,-29.410944,22.570578,,,
35,808.032166,-29.873098,22.622780,,,
36,808.007324,-30.414560,22.514650,,,
37,808.056824,-30.902889,22.581486,,,
38,808.036072,-31.613184,22.743277,,,
39,808.009521,-32.438683,22.679642,,,
40,807.949402,-33.375702,22.625374,,,
41,808.162048,-34.420403,22.820089,,,
42,807.891724,-35.126175,22.847973,,,
43,807.753540,-35.739647,22.298862,,,
44,807.620605,-36.484161,22.040865,,,
45,807.478455,-37.223988,22.134983,,,
46,807.387634,-37.891281,22.172440,,,
47,807.298889,-38.475498,22.231085,,,
48,807.182068,-39.065224,22.168030,,,
49,806.999023,-39.838123,22.255722,,,
50,806.670105,-40.635372,22.338327,,,
51,806.290100,-41.433701,22.388380,,,
52,806.079285,-42.227299,22.777113,,,
53,805.769470,-42.674736,22.486584,,,
54,805.601257,-43.292706,22.163488,,,
55,805.382263,-44.098442,22.081154,,,
56,805.034668,-45.000801,21.982159,,,
57,804.807068,-45.738960,22.090946,,,
58,804.476440,-46.305706,22.050768,,,
59,803.998596,-46.997200,21.853813,,,
60,803.880920,-47.859383,21.878277,,,
61,803.702209,-48.780788,22.079525,,,
62,803.443970,-49.494247,21.952709,,,
63,803.109619,-50.214363,22.052715,,,
64,802.736328,-50.972973,22.148720,,,
65,802.219727,-51.819321,22.229801,,,
66,801.962952,-52.677006,22.278633,,,
67,801.784973,-53.493946,22.093376,,,
68,801.416016,-54.195358,22.096323,,,
69,800.979126,-55.009655,22.075485,,,
70,800.669922,-55.930225,22.050745,,,
71,800.321350,-56.654846,22.124136,,,
72,800.085510,-57.613991,22.598608,,,
73,799.829468,-58.337902,22.294207,,,
74,799.534973,-59.072372,22.118778,,,
75,799.172607,-60.038250,22.263315,,,
76,798.685486,-60.851974,22.289085,,,
77,798.130798,-61.654171,22.065163,,,
78,797.711426,-62.327236,21.870384,,,
79,797.489502,-63.248299,21.936373,,,
80,796.989136,-64.054626,22.177622,,,
81,796.616821,-64.880173,22.222969,,,
82,796.308472,-65.854698,21.965462,,,
83,795.850403,-66.801193,21.890366,,,
84,795.497314,-67.664291,21.753847,,,
85,795.144653,-68.513023,21.733664,,,
86,794.781555,-69.329361,21.917862,,,
87,794.253906,-70.203781,22.147598,,,
88,793.713440,-71.219856,22.177744,,,
89,793.417175,-72.000328,22.098505,,,
