file,task,rmse,mae,max,hausdorff,nrmse_percent,nmae_percent,hausdorff_percent,ref_bbox_diag,scale,rot_deg,tx,ty,n_points
Clustered\AgeOnly\21-25\circle\mean.csv,circle,45.552344124265844,43.58318407560663,64.4731614659763,62.49740068013723,13.718787751202441,13.125744972064485,18.822051672987886,332.0435081465067,1.5223924594907587,-166.3105396889575,640.1250327141232,-15.374048055165293,200
Clustered\AgeOnly\21-25\zigzag\mean.csv,zigzag,124.59803476580949,113.71665346670783,254.1882568219089,92.8977323109398,25.221025488060548,23.018425779278818,18.804277923010766,494.02445917511676,1.2170806972631925,-90.56613569914244,624.4261090957484,282.6992872813935,200
Clustered\AgeWithinGender\Male_21-25\circle\mean.csv,circle,45.552344124265844,43.58318407560663,64.4731614659763,62.49740068013723,13.718787751202441,13.125744972064485,18.822051672987886,332.0435081465067,1.5223924594907587,-166.3105396889575,640.1250327141232,-15.374048055165293,200
Clustered\AgeWithinGender\Male_21-25\zigzag\mean.csv,zigzag,124.59803476580949,113.71665346670783,254.1882568219089,92.8977323109398,25.221025488060548,23.018425779278818,18.804277923010766,494.02445917511676,1.2170806972631925,-90.56613569914244,624.4261090957484,282.6992872813935,200
Clustered\Gender\Male\circle\mean.csv,circle,45.552344124265844,43.58318407560663,64.4731614659763,62.49740068013723,13.718787751202441,13.125744972064485,18.822051672987886,332.0435081465067,1.5223924594907587,-166.3105396889575,640.1250327141232,-15.374048055165293,200
Clustered\Gender\Male\zigzag\mean.csv,zigzag,124.59803476580949,113.71665346670783,254.1882568219089,92.8977323109398,25.221025488060548,23.018425779278818,18.804277923010766,494.02445917511676,1.2170806972631925,-90.56613569914244,624.4261090957484,282.6992872813935,200
