cluster,deviation_percent
AgeOnly/21-25,19.469906619631494
AgeWithinGender/Male_21-25,19.469906619631494
Gender/Male,19.469906619631494
TOTAL (over clusters),19.469906619631494
TOTAL (over all entries),19.469906619631494
